geoid,medianCR
25017352800,1289.0
25017352900,1565.0
25017353000,1334.0
25017353101,1589.0
25017353102,1450.0
25017353200,1588.0
25017353300,1510.0
25017353400,1117.0
25017353500,1388.0
25017353600,1441.0
25017353700,1397.0
25017353800,1620.0
25017353900,1446.0
25017354000,1475.0
25017354100,1520.0
25017354200,1400.0
25017354300,1410.0
25017354400,1474.0
25017354500,1394.0
25017354600,1202.0
25017354700,1712.0
25017354800,1290.0
25017354900,1037.0
25017355000,950.0
25017356100,1288.0
25017356300,1158.0
25017356400,1188.0
25017356500,1082.0
25017356601,1066.0
25017356602,1057.0
25017356701,1296.0
25017356702,893.0
25017357100,1421.0
25017357200,1234.0
25017357300,1434.0
25017357400,1426.0
25017357500,1581.0
25017357600,1293.0
25017357700,1153.0
25017357800,593.0
25017358100,1527.0
25017358300,1957.0
25017358400,1665.0
25017358500,333.0
25017358600,1572.0
25017358700,
25017359100,1209.0
25017359300,1218.0
25017360100,
25017360200,1612.0
25017361100,1560.0
25017361200,1500.0
25017361300,931.0
25017362100,1807.0
25017363102,1000.0
25017363103,1192.0
25017363104,925.0
25017363201,733.0
25017363202,967.0
25017364101,841.0
25017364102,887.0
25017365100,1719.0
25017365201,572.0
25017365202,276.0
25017366100,1200.0
25017366201,
25017366202,1689.0
25017367100,1264.0
25017367200,
25017368101,1787.0
25017368102,1298.0
25017368200,1582.0
25017368300,1002.0
25017368400,1299.0
25017368500,978.0
25017368600,1072.0
25017368700,973.0
25017368800,958.0
25017368901,1304.0
25017368902,1296.0
25017369000,1082.0
25017369100,1134.0
25017370101,881.0
25017370102,1194.0
25017370201,1327.0
25017370202,1383.0
25017370300,1263.0
25017370400,1284.0
25017373100,1379.0
25017373200,1255.0
25017373300,1447.0
25017373400,1662.0
25017373500,1568.0
25017373600,1604.0
25017373700,1194.0
25017373800,1483.0
25017373900,1631.0
25017374000,406.0
25017374100,1351.0
25017374200,1406.0
25017374300,731.0
25017374400,1219.0
25017374500,1299.0
25017374600,1328.0
25017374700,1392.0
25017374800,1714.0
25017382100,839.0
25017382200,1238.0
25017382300,1046.0
25017382400,792.0
25017382500,1167.0
25017382601,1185.0
25017382602,286.0
25017383101,913.0
25017383102,592.0
25017383200,949.0
25017383300,940.0
25017383400,953.0
25017383501,810.0
25017383502,920.0
25017383600,1095.0
25017383700,1082.0
25017383800,1081.0
25017383901,974.0
25017383902,760.0
25017384001,1219.0
25017384002,1200.0
25017385100,912.0
25017385201,1134.0
25017385202,902.0
25017386100,1339.0
25017387100,791.0
25017387201,903.0
25017387202,907.0
25017388100,934.0
25017388200,929.0
25017388300,424.0
25017980000,
25021400100,1455.0
25021400200,1762.0
25021400300,1756.0
25021400400,1515.0
25021400500,1867.0
25021400600,1696.0
25021400700,1723.0
25021400800,1376.0
25021400900,1565.0
25021401000,1220.0
25021401100,1590.0
25021401200,1720.0
25021402101,1215.0
25021402102,1005.0
25021402200,1303.0
25021402300,1344.0
25021402400,1167.0
25021402500,1365.0
25021403100,1142.0
25021403300,1321.0
25021403400,531.0
25021403500,1685.0
25021404100,639.0
25021404201,1946.0
25021404202,1760.0
25021404301,
25021404302,1677.0
25021404400,829.0
25021405100,
25021406101,979.0
25021406102,834.0
25021407100,1060.0
25021408101,539.0
25021408102,806.0
25021409101,675.0
25021409102,406.0
25021410100,758.0
25021410300,1190.0
25021410400,1122.0
25021411100,1081.0
25021411200,1137.0
25021411301,
25021411302,896.0
25021412100,527.0
25021412200,1325.0
25021412300,
25021413100,1020.0
25021413200,895.0
25021413300,1253.0
25021413401,1061.0
25021413402,1269.0
25021413500,1280.0
25021414100,1623.0
25021414200,
25021414300,808.0
25021415101,1128.0
25021415102,1089.0
25021415200,1238.0
25021415300,1279.0
25021416101,715.0
25021416102,725.0
25021416200,1166.0
25021416300,1102.0
25021416400,1141.0
25021417100,954.0
25021417200,1008.0
25021417300,1181.0
25021417400,1125.0
25021417501,1213.0
25021417502,1058.0
25021417601,1001.0
25021417602,921.0
25021417701,931.0
25021417702,1064.0
25021417801,996.0
25021417802,327.0
25021417901,807.0
25021417902,1031.0
25021418002,1179.0
25021418003,1551.0
25021418004,1058.0
25021418101,1087.0
25021418102,1108.0
25021418200,1112.0
25021419100,1238.0
25021419200,1116.0
25021419300,1063.0
25021419400,898.0
25021419500,877.0
25021419600,1547.0
25021419700,855.0
25021419800,965.0
25021420100,1063.0
25021420201,525.0
25021420202,1130.0
25021420301,801.0
25021420302,1005.0
25021421100,941.0
25021421200,880.0
25021422100,938.0
25021422200,1017.0
25021422301,491.0
25021422302,1173.0
25021422400,986.0
25021422501,967.0
25021422502,883.0
25021422600,863.0
25021422700,1069.0
25021422800,1138.0
25021423100,636.0
25021440100,960.0
25021441202,950.0
25021441203,895.0
25021441204,842.0
25021442101,1010.0
25021442102,1043.0
25021442103,
25021442201,1211.0
25021442202,965.0
25021443101,1250.0
25021443102,921.0
25021456101,596.0
25021456102,790.0
25021456200,1165.0
25021456301,1057.0
25021456302,1104.0
25021456401,844.0
