geoid,medianInc
25017350200,59978.0
25017350300,71383.0
25017350400,75000.0
25017350500,80050.0
25017350600,76050.0
25017350700,48155.0
25017350800,60647.0
25017350900,76175.0
25017351000,76710.0
25017351100,56187.0
25017351203,79241.0
25017351204,74886.0
25017351300,56658.0
25017351403,35453.0
25017351404,40783.0
25017351500,39343.0
25017352101,105264.0
25017352102,74185.0
25017352200,33583.0
25017352300,60543.0
25017352400,29315.0
25017352500,70408.0
25017352600,56940.0
25017352700,32702.0
25017352800,80256.0
25017352900,71667.0
25017353000,52192.0
25017353101,50714.0
25017353102,54914.0
25017353200,61590.0
25017353300,94526.0
25017353400,49844.0
25017353500,65577.0
25017353600,60144.0
25017353700,53649.0
25017353800,80620.0
25017353900,38043.0
25017354000,65139.0
25017354100,68160.0
25017354200,132976.0
25017354300,74323.0
25017354400,101406.0
25017354500,79514.0
25017354600,59327.0
25017354700,90238.0
25017354800,86122.0
25017354900,41649.0
25017355000,68409.0
25017356100,85188.0
25017356300,61415.0
25017356400,98720.0
25017356500,92731.0
25017356601,74527.0
25017356602,85950.0
25017356701,75438.0
25017356702,84304.0
25017357100,95605.0
25017357200,117083.0
25017357300,82457.0
25017357400,104250.0
25017357500,79348.0
25017357600,92125.0
25017357700,68234.0
25017357800,116976.0
25017358100,131382.0
25017358300,115656.0
25017358400,138750.0
25017358500,152961.0
25017358600,122238.0
25017358700,135234.0
25017359100,104353.0
25017359300,109201.0
25017360100,77083.0
25017360200,143792.0
25017361100,114869.0
25017361200,112845.0
25017361300,131453.0
25017362100,155000.0
25017363102,84559.0
25017363103,116033.0
25017363104,116538.0
25017363201,130238.0
25017363202,109205.0
25017364101,73205.0
25017364102,79569.0
25017365100,155568.0
25017365201,158472.0
25017365202,140104.0
25017366100,98438.0
25017366201,204435.0
25017366202,135500.0
25017367100,164972.0
25017367200,138750.0
25017368101,78333.0
25017368102,90000.0
25017368200,89583.0
25017368300,56228.0
25017368400,63125.0
25017368500,44676.0
25017368600,61250.0
25017368700,43036.0
25017368800,61489.0
25017368901,75551.0
25017368902,45259.0
25017369000,54942.0
25017369100,72724.0
25017370101,72800.0
25017370102,67340.0
25017370201,87453.0
25017370202,85571.0
25017370300,62037.0
25017370400,85170.0
25017373100,79205.0
25017373200,60729.0
25017373300,98438.0
25017373400,94750.0
25017373500,140893.0
25017373600,136875.0
25017373700,204156.0
25017373800,100648.0
25017373900,113276.0
25017374000,114081.0
25017374100,77115.0
25017374200,121429.0
25017374300,189265.0
25017374400,142105.0
25017374500,95987.0
25017374600,100106.0
25017374700,107212.0
25017374800,121083.0
25017382100,97234.0
25017382200,93750.0
