medianInc,geoid
100313.0,25017350200
105526.0,25017350300
118056.0,25017350400
116875.0,25017350500
141169.0,25017350600
59922.0,25017350700
150192.0,25017350800
138958.0,25017350900
109873.0,25017351000
97833.0,25017351100
103268.0,25017351203
98871.0,25017351204
88868.0,25017351300
79464.0,25017351403
63419.0,25017351404
76538.0,25017351500
101250.0,25017352101
100847.0,25017352102
47045.0,25017352200
113158.0,25017352300
68875.0,25017352400
116212.0,25017352500
88906.0,25017352600
73250.0,25017352700
115000.0,25017352800
136310.0,25017352900
89702.0,25017353000
120732.0,25017353101
88750.0,25017353102
99375.0,25017353200
125542.0,25017353300
82238.0,25017353400
96236.0,25017353500
111357.0,25017353600
80238.0,25017353700
82990.0,25017353800
61184.0,25017353900
86042.0,25017354000
114087.0,25017354100
182328.0,25017354200
113984.0,25017354300
168313.0,25017354400
126198.0,25017354500
109879.0,25017354600
136071.0,25017354700
128558.0,25017354800
92575.0,25017354900
102500.0,25017355000
129669.0,25017356100
98564.0,25017356300
134014.0,25017356400
105380.0,25017356500
102798.0,25017356601
119600.0,25017356602
95577.0,25017356701
103346.0,25017356702
132708.0,25017357100
170909.0,25017357200
133920.0,25017357300
181544.0,25017357400
139432.0,25017357500
98158.0,25017357600
83615.0,25017357700
151875.0,25017357800
203094.0,25017358100
170664.0,25017358300
161607.0,25017358400
194593.0,25017358500
185568.0,25017358600
212875.0,25017358700
114464.0,25017359100
136447.0,25017359300
108056.0,25017360100
141875.0,25017360200
146909.0,25017361100
126979.0,25017361200
180000.0,25017361300
195889.0,25017362100
104837.0,25017363102
146979.0,25017363103
157153.0,25017363104
152750.0,25017363201
137301.0,25017363202
105313.0,25017364101
105172.0,25017364102
193864.0,25017365100
197821.0,25017365201
163125.0,25017365202
151136.0,25017366100
236181.0,25017366201
183906.0,25017366202
245599.0,25017367100
181528.0,25017367200
127014.0,25017368101
136667.0,25017368102
116048.0,25017368200
78850.0,25017368300
97766.0,25017368400
65787.0,25017368500
83859.0,25017368600
64875.0,25017368700
92338.0,25017368800
98036.0,25017368901
69853.0,25017368902
88750.0,25017369000
109531.0,25017369100
104211.0,25017370101
98702.0,25017370102
135966.0,25017370201
104250.0,25017370202
88182.0,25017370300
98516.0,25017370400
115825.0,25017373100
92097.0,25017373200
131591.0,25017373300
138542.0,25017373400
179155.0,25017373500
171750.0,25017373600
236167.0,25017373700
164808.0,25017373800
161567.0,25017373900
147724.0,25017374000
132333.0,25017374100
162639.0,25017374200
236354.0,25017374300
221789.0,25017374400
128705.0,25017374500
139625.0,25017374600
123833.0,25017374700
125833.0,25017374800
134406.0,25017382100
116543.0,25017382200
160263.0,25017382300
125000.0,25017382400
102109.0,25017382500
92917.0,25017382601
108984.0,25017382602
41397.0,25017383101
42117.0,25017383102
69748.0,25017383200
83924.0,25017383300
70901.0,25017383400
62917.0,25017383501
76667.0,25017383502
98235.0,25017383600
93160.0,25017383700
121792.0,25017383800
100364.0,25017383901
157969.0,25017383902
111552.0,25017384001
77462.0,25017384002
140938.0,25017385100
81625.0,25017385201
107133.0,25017385202
198681.0,25017386100
133773.0,25017387100
124722.0,25017387201
160000.0,25017387202
115395.0,25017388100
76875.0,25017388200
15500.0,25017388300
,25017980000
105884.0,25021400100
83875.0,25021400200
122882.0,25021400300
115662.0,25021400400
133220.0,25021400500
156797.0,25021400600
150700.0,25021400700
87139.0,25021400800
85833.0,25021400900
123295.0,25021401000
189643.0,25021401100
174667.0,25021401200
101759.0,25021402101
87611.0,25021402102
115682.0,25021402200
127390.0,25021402300
91863.0,25021402400
127734.0,25021402500
188711.0,25021403100
178750.0,25021403300
142734.0,25021403400
128686.0,25021403500
192450.0,25021404100
,25021404201
186923.0,25021404202
,25021404301
175500.0,25021404302
160125.0,25021404400
,25021405100
149321.0,25021406101
164375.0,25021406102
106164.0,25021407100
152847.0,25021408101
104902.0,25021408102
146932.0,25021409101
155382.0,25021409102
93662.0,25021410100
100353.0,25021410300
96186.0,25021410400
113690.0,25021411100
132826.0,25021411200
133378.0,25021411301
107039.0,25021411302
172778.0,25021412100
152031.0,25021412200
151292.0,25021412300
98919.0,25021413100
73158.0,25021413200
115430.0,25021413300
89545.0,25021413401
90513.0,25021413402
85865.0,25021413500
133077.0,25021414100
164833.0,25021414200
118333.0,25021414300
133693.0,25021415101
93500.0,25021415102
85833.0,25021415200
130833.0,25021415300
150585.0,25021416101
149167.0,25021416102
117744.0,25021416200
143056.0,25021416300
134453.0,25021416400
109300.0,25021417100
76031.0,25021417200
94545.0,25021417300
110078.0,25021417400
89318.0,25021417501
78750.0,25021417502
70329.0,25021417601
76556.0,25021417602
64872.0,25021417701
89286.0,25021417702
107368.0,25021417801
28725.0,25021417802
56957.0,25021417901
66864.0,25021417902
81710.0,25021418002
91111.0,25021418003
60167.0,25021418004
80186.0,25021418101
62813.0,25021418102
85435.0,25021418200
100127.0,25021419100
103696.0,25021419200
69833.0,25021419300
103977.0,25021419400
106250.0,25021419500
106029.0,25021419600
106514.0,25021419700
67332.0,25021419800
92031.0,25021420100
81713.0,25021420201
78654.0,25021420202
76964.0,25021420301
69844.0,25021420302
75449.0,25021421100
80350.0,25021421200
108158.0,25021422100
87927.0,25021422200
116071.0,25021422301
82036.0,25021422302
75243.0,25021422400
76517.0,25021422501
66073.0,25021422502
97117.0,25021422600
82455.0,25021422700
78964.0,25021422800
145679.0,25021423100
96066.0,25021440100
168958.0,25021441202
101351.0,25021441203
129554.0,25021441204
116111.0,25021442101
133406.0,25021442102
153194.0,25021442103
147102.0,25021442201
93032.0,25021442202
100479.0,25021443101
103014.0,25021443102
116000.0,25021456101
68939.0,25021456102
94412.0,25021456200
58462.0,25021456301
60662.0,25021456302
84792.0,25021456401
116825.0,25021456402
85200.0,25021457100
145161.0,25021457200
102150.0,25023500101
77237.0,25023500103
85824.0,25023500104
149500.0,25023501101
146136.0,25023501102
168281.0,25023501201
131708.0,25023501202
77843.0,25023502101
88098.0,25023502102
67019.0,25023502200
133493.0,25023503101
123683.0,25023503102
134688.0,25023504101
165380.0,25023504102
119279.0,25023505101
127083.0,25023505102
139952.0,25023505200
128594.0,25023506101
100880.0,25023506102
106563.0,25023506202
99118.0,25023506203
83101.0,25023506204
124474.0,25023507101
