total (education),geoid,noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
3881,25021405100,0,0,37,411,143,1199,1124,659,308
3908,25021406101,11,0,25,799,334,1433,1047,209,50
4214,25021406102,0,38,26,642,260,1480,1209,434,125
5910,25021407100,30,16,116,2151,501,2025,832,161,78
5625,25021408101,35,45,209,1317,367,2251,1209,44,148
3360,25021408102,31,0,65,1292,321,986,542,65,58
4832,25021409101,11,150,527,1976,329,1220,474,58,87
3617,25021409102,0,0,52,800,339,1388,801,150,87
5152,25021410100,153,17,307,1826,255,1426,831,155,182
3147,25021410300,37,62,71,1025,272,975,593,95,17
4240,25021410400,0,18,81,1340,451,1357,750,116,127
5652,25021411100,80,141,245,2002,455,1753,671,118,187
4705,25021411200,124,80,46,1512,312,1542,852,190,47
4000,25021411301,42,31,118,1176,210,1607,615,85,116
2818,25021411302,0,34,64,1163,212,882,311,102,50
4622,25021412100,0,0,134,912,399,1537,1043,362,235
2644,25021412200,0,12,45,419,119,1172,561,166,150
3542,25021412300,0,28,57,664,294,1414,650,329,106
3742,25021413100,36,31,147,1521,339,1124,451,81,12
5346,25021413200,60,17,256,2417,438,1556,474,71,57
3583,25021413300,7,70,7,1159,323,1225,537,211,44
2388,25021413401,0,0,85,984,221,674,358,48,18
3204,25021413402,10,41,89,738,207,1196,785,50,88
3317,25021413500,16,127,151,1591,263,793,284,56,36
3953,25021414100,0,0,96,777,444,1026,1010,306,294
4953,25021414200,48,50,58,620,184,1731,1394,571,297
3492,25021414300,16,52,47,740,212,987,851,380,207
3434,25021415101,0,12,86,1176,152,1128,593,157,130
6047,25021415102,0,155,193,1940,582,1696,1212,166,103
4315,25021415200,3,56,74,1363,462,1328,602,341,86
2916,25021415300,13,0,66,851,314,950,476,202,44
3838,25021416101,12,13,77,910,206,1494,737,218,171
1917,25021416102,5,37,60,550,37,571,398,173,86
4742,25021416200,53,134,125,1534,467,1355,795,139,140
3291,25021416300,16,10,128,806,180,972,756,236,187
4032,25021416400,86,8,185,1046,268,1284,864,158,133
3726,25021417100,23,175,444,924,328,1012,617,97,106
6397,25021417200,182,261,410,2184,286,1614,1196,100,164
2718,25021417300,34,86,45,639,199,762,668,207,78
1891,25021417400,0,9,81,728,177,508,263,96,29
3708,25021417501,233,147,183,1312,218,1120,375,82,38
3573,25021417502,225,165,314,1200,215,1053,351,17,33
3574,25021417601,240,179,286,1166,311,958,311,43,80
3928,25021417602,127,238,241,1401,303,1062,396,65,95
4612,25021417701,149,106,132,1730,212,1157,901,92,133
2098,25021417702,20,7,63,776,112,653,342,106,19
3764,25021417801,0,0,117,1839,364,891,456,34,63
2151,25021417802,83,249,219,951,214,235,123,33,44
5415,25021417901,54,317,170,2101,432,1393,781,60,107
2655,25021417902,71,88,166,1160,247,556,302,13,52
5620,25021418002,82,216,216,2038,461,1368,988,86,165
2070,25021418003,8,9,68,676,140,698,310,81,80
3490,25021418004,111,297,311,1419,120,709,322,69,132
3866,25021418101,124,179,118,876,207,1515,594,223,30
2521,25021418102,18,12,151,1089,110,589,457,34,61
5261,25021418200,52,120,223,2091,484,1723,436,65,67
3937,25021419100,80,34,176,1319,255,1256,647,150,20
3706,25021419200,24,13,156,1601,260,1217,351,40,44
3007,25021419300,52,148,113,1656,195,545,249,29,20
2321,25021419400,17,22,100,1249,136,585,164,38,10
2262,25021419500,42,48,53,852,242,519,383,61,62
4921,25021419600,20,66,48,1894,453,1442,659,223,116
3208,25021419700,51,59,110,1248,257,798,604,50,31
2981,25021419800,6,10,177,1303,352,722,340,48,23
6386,25021420100,148,198,576,2695,582,1526,399,170,92
2335,25021420201,56,114,220,1041,253,430,181,20,20
4538,25021420202,183,48,214,2110,565,860,494,13,51
5114,25021420301,98,336,164,2792,596,856,232,40,0
5583,25021420302,268,68,659,2824,410,788,441,125,0
4027,25021421100,26,78,296,2318,644,384,201,57,23
3882,25021421200,24,0,92,1883,317,1082,375,36,73
3896,25021422100,11,91,84,1632,402,1173,393,101,9
5988,25021422200,7,75,336,2504,639,1561,669,116,81
2296,25021422301,0,16,95,1013,272,549,210,63,78
5432,25021422302,94,82,141,2032,558,1660,689,90,86
6030,25021422400,108,25,257,3089,435,1396,601,45,74
3686,25021422501,27,17,147,1791,565,706,369,64,0
3552,25021422502,40,66,290,1696,221,872,330,23,14
4913,25021422600,3,29,250,2348,308,1204,579,116,76
2865,25021422700,29,26,154,1397,261,671,230,69,28
3197,25021422800,29,17,58,1376,296,977,313,82,49
5572,25021423100,6,29,43,1238,309,2048,1279,520,100
6527,25021440100,27,0,125,2803,728,1604,991,108,141
2047,25021441202,12,0,9,497,256,811,325,92,45
2856,25021441203,0,5,94,1292,302,761,286,68,48
3284,25021441204,15,21,66,1166,244,1225,433,88,26
3292,25021442101,4,0,25,1086,286,1177,515,88,111
5437,25021442102,13,59,128,1705,552,1662,932,207,179
4387,25021442103,0,33,31,1037,350,1691,1077,68,100
2863,25021442201,0,25,60,910,154,918,638,57,101
5827,25021442202,2,66,140,2563,424,1536,933,74,89
5537,25021443101,14,53,209,2790,528,1214,655,47,27
6502,25021443102,35,108,198,2862,937,1346,801,166,49
3120,25021456101,32,45,82,1358,347,736,431,81,8
3761,25021456102,89,111,183,1509,428,877,546,9,9
2950,25021456200,23,124,185,1349,319,589,293,46,22
1448,25021456301,18,11,91,719,80,421,99,9,0
3944,25021456302,69,164,237,2055,148,689,461,71,50
1922,25021456401,38,21,101,775,334,462,167,16,8
3797,25021456402,43,73,127,1394,394,1091,541,82,52
3389,25021457100,95,0,177,1956,250,699,182,5,25
4179,25021457200,0,0,67,749,192,1192,1420,335,224
3040,25023500101,11,28,25,1108,257,933,475,164,39
1807,25023500103,0,0,49,646,206,448,350,93,15
3581,25023500104,42,0,169,1706,318,865,371,67,43
2331,25023501101,4,0,54,427,87,866,667,178,48
6093,25023501102,23,21,65,1348,291,2143,1370,719,113
2669,25023501201,0,0,20,571,107,1097,615,226,33
5237,25023501202,3,20,41,1170,460,1892,1159,407,85
4390,25023502101,24,37,145,2598,277,1002,245,21,41
3823,25023502102,77,12,76,1833,312,1043,383,32,55
4485,25023502200,29,14,243,2160,578,1104,280,55,22
4590,25023503101,26,8,113,1508,534,1603,543,229,26
4937,25023503102,31,52,104,2116,393,1335,614,182,110
3899,25023504101,0,76,43,1167,270,1425,769,93,56
3470,25023504102,2,0,68,675,248,1420,795,223,39
4668,25023505101,14,0,31,992,401,1914,900,220,196
3660,25023505102,8,0,26,1074,184,1414,689,188,77
5411,25023505200,14,85,169,1817,652,1431,851,339,53
4797,25023506101,19,10,67,1517,540,1617,811,165,51
4080,25023506102,0,1,214,1497,301,1154,753,49,111
1880,25023506202,25,5,21,657,187,626,289,26,44
3926,25023506203,59,16,139,1842,274,1211,249,47,89
3644,25023506204,7,0,13,1675,449,969,430,81,20
3832,25023507101,0,0,24,970,275,1406,923,149,85
2971,25023507103,0,10,30,444,102,1222,776,245,142
3957,25023507104,0,30,31,831,216,1651,873,268,57
4916,25023508101,4,71,53,2154,439,1573,432,154,36
3634,25023508102,0,51,127,2062,419,594,331,27,23
4306,25023508200,25,20,114,1706,623,1201,497,108,12
4985,25023509101,3,45,119,1982,421,1699,553,87,76
4346,25023509102,7,48,146,2022,481,1115,429,47,51
3339,25023510100,38,86,143,2065,347,416,244,0,0
4189,25023510200,73,206,398,2359,371,470,246,27,39
2568,25023510300,168,113,286,1492,157,310,40,2,0
2125,25023510400,239,266,213,877,231,206,86,0,7
1989,25023510501,70,83,134,1096,159,319,110,8,10
4073,25023510502,379,310,513,2010,236,465,145,15,0
3048,25023510503,21,199,335,1533,330,465,139,0,26
2287,25023510600,52,81,108,1126,224,517,107,57,15
3887,25023510700,214,205,323,1580,378,778,277,98,34
4105,25023510800,348,195,581,2256,227,428,59,11,0
1508,25023510900,46,180,280,776,122,93,11,0,0
1991,25023511000,177,116,116,1111,92,255,107,17,0
3723,25023511100,18,29,187,2405,313,521,110,0,140
3377,25023511200,138,213,306,2023,190,363,133,11,0
3233,25023511301,113,64,280,1966,294,419,79,18,0
2174,25023511302,11,75,134,1341,147,295,120,41,10
2445,25023511400,127,320,215,1428,125,196,34,0,0
2678,25023511500,187,314,343,1431,89,249,65,0,0
4552,25023511600,95,441,695,2290,398,500,121,12,0
3114,25023511701,61,142,196,1609,216,697,161,0,32
2006,25023511702,19,38,127,1073,104,420,189,31,5
4913,25023520100,38,25,186,2370,392,1355,431,116,0
2752,25023520201,40,57,95,1203,293,698,300,66,0
4128,25023520202,44,51,91,1777,516,1132,424,71,22
3096,25023521101,9,12,187,1646,396,523,269,0,54
2267,25023521102,23,34,112,1213,187,533,132,26,7
2300,25023521201,15,20,120,1296,201,518,97,19,14
2508,25023521202,20,23,30,1392,289,547,132,75,0
3183,25023522101,19,57,132,1609,323,700,231,75,37
4427,25023522102,24,17,217,2332,409,1074,354,0,0
2272,25023523100,39,19,104,1152,248,435,207,47,21
2048,25023523201,5,15,51,1218,190,347,192,26,4
5484,25023523202,15,52,98,3066,539,1037,551,114,12
2259,25023524101,0,17,58,1125,206,581,201,45,26
2828,25023524102,7,29,82,1398,362,607,253,75,15
4117,25023525101,97,9,76,1734,466,1075,516,135,9
4439,25023525104,0,33,42,1898,334,1544,385,92,111
3918,25023525203,2,32,170,2189,448,638,385,0,54
2640,25023525204,0,17,81,1386,255,632,220,23,26
1569,25023525300,0,102,308,975,91,41,36,16,0
5461,25023526100,14,50,170,3010,544,984,566,71,52
3239,25023530100,10,64,92,1905,345,588,199,36,0
2968,25023530200,30,140,47,1658,318,610,112,42,11
2932,25023530300,34,11,116,1370,361,672,294,64,10
4279,25023530400,6,0,58,2162,545,999,393,87,29
4112,25023530500,23,129,160,2080,189,857,535,68,71
4891,25023530600,0,67,264,2342,539,1001,598,37,43
4914,25023530700,2,82,59,1400,452,1730,977,162,50
4608,25023530801,0,48,117,2102,338,1299,610,59,35
3637,25023530802,17,0,170,1550,335,1019,442,27,77
6052,25023530901,46,34,217,2823,953,1257,574,39,109
3228,25023530902,0,8,53,1421,352,792,460,56,86
3050,25023540101,9,22,109,1511,263,705,213,162,56
1893,25023540102,17,52,51,938,197,394,203,29,12
3216,25023540103,8,31,86,1170,494,887,377,69,94
3740,25023541100,15,9,210,1333,382,1079,524,121,67
5824,25023542101,44,0,146,3128,1054,1087,227,94,44
1901,25023542102,12,20,93,1005,210,358,153,28,22
5272,25023542200,0,0,187,3024,623,929,469,40,0
4981,25023542300,45,147,139,2941,454,860,352,32,11
2147,25023543100,2,0,72,1160,199,454,232,17,11
3941,25023544100,41,47,158,2141,500,677,335,16,26
4256,25023544200,59,61,260,2817,324,281,412,42,0
4914,25023545100,40,155,326,2812,346,815,375,33,12
4530,25023545200,23,92,233,3035,393,560,136,47,11
3292,25023545300,0,148,148,1737,472,533,213,16,25
4095,25023545400,23,117,149,1988,538,765,370,102,43
4831,25023560100,21,0,66,1813,576,1354,710,160,131
3745,25023561100,41,83,108,1348,241,1083,622,128,91
252,25023561200,0,4,0,100,25,79,32,0,12
0,25023990003,0,0,0,0,0,0,0,0,0
4394,25025000100,156,232,120,1309,213,1444,612,108,200
3074,25025000201,29,53,47,696,141,1355,566,99,88
2842,25025000202,162,62,190,827,134,936,438,34,59
2305,25025000301,31,3,69,669,25,1085,304,72,47
2609,25025000302,60,57,90,545,74,947,440,98,298
4608,25025000401,90,201,40,910,202,1955,704,235,271
2660,25025000402,0,82,25,334,61,1161,685,170,142
2244,25025000502,11,0,20,277,64,963,643,134,132
1674,25025000503,8,0,8,220,15,704,479,51,189
3961,25025000504,21,92,135,741,163,1469,720,323,297
2939,25025000601,26,39,97,770,46,1334,507,65,55
2961,25025000602,39,62,151,901,131,906,434,160,177
3379,25025000701,0,78,74,627,59,1316,1012,82,131
1101,25025000703,0,1,30,89,67,419,316,35,144
3281,25025000704,0,0,57,522,85,1143,866,280,328
4279,25025000802,94,127,242,974,199,1731,630,92,190
1771,25025000803,0,0,20,74,7,1045,455,124,46
497,25025010103,0,0,2,53,30,218,108,46,40
2286,25025010104,12,0,75,281,35,856,631,205,191
3863,25025010203,6,39,164,645,124,1445,540,435,465
1279,25025010204,0,9,61,87,10,545,148,272,147
531,25025010300,0,17,0,71,0,208,111,71,53
2012,25025010403,16,39,123,547,98,474,270,271,174
1090,25025010404,0,21,64,265,39,300,248,63,90
1064,25025010405,34,77,98,399,27,309,96,15,9
1111,25025010408,0,0,0,143,20,344,308,127,169
2073,25025010500,7,39,81,244,93,786,569,138,116
2910,25025010600,0,33,46,365,93,1001,728,434,210
1740,25025010701,0,2,0,92,54,818,411,252,111
2125,25025010702,0,9,12,181,49,898,602,221,153
2294,25025010801,8,1,4,195,62,789,752,369,114
2649,25025010802,0,42,0,209,89,1104,714,328,163
4201,25025020101,0,0,74,176,86,1770,1023,618,454
3080,25025020200,0,62,33,234,30,1586,439,417,279
1773,25025020301,24,7,0,259,53,408,379,478,165
922,25025020302,0,0,0,28,13,459,234,125,63
3910,25025020303,11,39,252,603,66,1325,985,441,188
1813,25025030100,0,0,84,178,27,886,484,100,54
1396,25025030200,0,35,6,242,10,785,220,44,54
4606,25025030300,0,55,164,765,330,1556,855,436,445
1926,25025030400,0,6,9,265,59,1076,308,153,50
2001,25025030500,0,11,34,341,47,879,461,153,75
2054,25025040100,0,53,21,463,61,864,329,147,116
1301,25025040200,59,34,73,416,34,343,216,90,36
3420,25025040300,27,0,153,484,45,1280,1032,319,80
2190,25025040401,0,55,109,578,130,701,376,207,34
2649,25025040600,11,25,3,407,56,1066,846,107,128
3455,25025040801,123,322,124,957,87,733,637,280,192
3835,25025050101,221,562,441,1422,139,692,224,98,36
3785,25025050200,329,489,308,1503,51,772,222,96,15
1993,25025050300,79,234,216,860,78,324,158,0,44
1923,25025050400,51,235,75,801,44,442,153,60,62
1458,25025050500,39,229,161,325,41,312,253,42,56
1814,25025050600,125,286,130,698,11,385,142,29,8
3990,25025050700,516,764,419,1107,107,738,229,68,42
3338,25025050901,193,762,221,1428,149,350,186,35,14
3457,25025051000,121,198,105,1898,333,488,293,21,0
5553,25025051101,174,850,244,2736,192,1010,273,42,32
2438,25025051200,29,231,152,808,120,778,199,46,75
3058,25025060101,9,7,63,669,50,1365,652,170,73
1770,25025060200,10,0,52,428,62,822,326,57,13
3139,25025060301,0,79,25,722,74,1455,604,125,55
5061,25025060400,6,61,96,948,253,2676,754,167,100
3494,25025060501,0,29,97,453,216,1813,622,130,134
3826,25025060600,3,66,11,406,171,1762,938,240,229
1417,25025060700,81,278,199,668,73,118,0,0,0
4261,25025060800,11,198,143,712,154,2009,823,87,124
2157,25025061000,67,55,186,1010,41,585,191,12,10
1514,25025061101,98,196,162,679,50,304,15,0,10
3860,25025061200,0,119,23,449,129,1709,969,204,258
5107,25025070101,205,328,109,794,140,1192,1288,693,358
3009,25025070200,292,637,173,663,52,579,345,191,77
3710,25025070300,109,62,49,453,44,1208,965,591,229
2249,25025070402,245,191,134,578,121,488,273,148,71
4554,25025070500,296,346,4,785,167,1268,1022,409,257
2025,25025070600,25,0,9,205,22,870,584,259,51
2261,25025070700,13,12,125,531,32,702,531,189,126
3125,25025070800,0,148,109,537,102,1145,492,382,210
2278,25025070900,39,171,103,474,99,521,524,188,159
3350,25025071101,173,75,120,735,140,981,611,389,126
2750,25025071201,109,138,289,863,68,558,401,191,133
1848,25025080100,68,119,292,961,36,275,76,17,4
1545,25025080300,21,56,237,676,81,336,126,0,12
1861,25025080401,122,134,237,831,127,179,164,46,21
1938,25025080500,74,127,257,1027,96,245,112,0,0
1234,25025080601,76,124,269,450,57,204,40,8,6
1913,25025080801,149,148,372,907,73,214,41,5,4
1891,25025080900,10,12,36,250,175,686,352,214,156
2805,25025081001,141,231,278,928,84,556,242,181,164
2984,25025081100,71,111,103,855,38,864,415,204,323
2525,25025081200,139,213,338,968,64,516,126,90,71
3545,25025081300,205,298,529,1544,120,712,102,19,16
1808,25025081400,37,7,139,676,82,536,221,34,76
1762,25025081500,35,184,256,756,76,320,106,29,0
2537,25025081700,115,211,327,1180,149,346,156,0,53
2024,25025081800,78,142,200,1042,124,224,144,35,35
2315,25025081900,31,169,166,1289,121,373,96,54,16
2112,25025082000,21,119,178,1015,102,479,178,11,9
4226,25025082100,47,502,246,2422,371,325,188,114,11
3075,25025090100,96,251,343,1768,145,324,123,11,14
1326,25025090200,75,103,159,728,52,163,29,17,0
1775,25025090300,50,185,67,1038,159,204,50,0,22
2756,25025090400,67,325,277,1273,299,294,190,11,20
1735,25025090600,136,92,231,938,69,193,54,12,10
3214,25025090700,140,102,191,1044,127,1080,381,114,35
1792,25025090901,20,111,95,409,145,482,456,39,35
2367,25025091001,35,196,30,558,80,792,490,130,56
3779,25025091100,69,78,342,1221,126,1338,435,130,40
2635,25025091200,96,202,104,1070,91,673,313,86,0
1608,25025091300,145,165,108,813,84,257,36,0,0
2194,25025091400,86,221,202,1112,183,262,99,29,0
3351,25025091500,127,463,326,1658,82,438,160,89,8
2019,25025091600,80,107,184,1056,129,275,107,66,15
2069,25025091700,45,420,161,932,84,298,129,0,0
2186,25025091800,133,180,158,1369,207,79,46,0,14
2949,25025091900,135,197,233,1737,291,227,119,0,10
3777,25025092000,132,324,406,2090,110,523,103,50,39
5538,25025092101,287,280,804,2520,262,822,441,75,47
2257,25025092200,87,61,159,1006,165,409,241,112,17
2146,25025092300,32,139,247,1104,220,297,83,15,9
3626,25025092400,71,265,323,2203,316,405,43,0,0
4189,25025100100,68,353,371,2288,386,614,109,0,0
1998,25025100200,67,83,268,1147,133,223,59,18,0
2791,25025100300,55,158,294,1552,261,302,145,0,24
3800,25025100400,171,411,209,1823,255,570,353,8,0
4546,25025100500,137,404,322,2073,216,753,474,150,17
4963,25025100601,94,178,348,2131,203,1303,564,75,67
1622,25025100603,21,30,74,613,54,631,151,35,13
3351,25025100700,106,37,180,1352,180,940,423,71,62
5069,25025100800,69,63,245,1998,195,1411,901,97,90
3382,25025100900,64,65,155,1741,165,716,311,125,40
4440,25025101001,23,216,348,2863,275,344,307,42,22
4447,25025101002,108,156,449,2531,395,541,251,0,16
2390,25025101101,35,105,241,1232,263,228,259,27,0
3152,25025101102,34,273,317,1832,271,257,134,34,0
5135,25025110103,120,142,280,1815,192,1477,784,39,286
1675,25025110201,7,175,187,749,135,275,131,16,0
1995,25025110301,6,116,124,772,132,471,333,23,18
2690,25025110401,51,141,105,1140,149,538,409,65,92
3492,25025110403,29,72,172,1169,241,971,629,105,104
2685,25025110501,13,65,38,851,218,807,380,172,141
3504,25025110502,43,60,213,1415,135,613,759,163,103
2415,25025110601,27,66,35,614,95,666,610,232,70
4506,25025110607,14,62,73,1306,110,1393,1075,232,241
1398,25025120103,0,22,8,133,20,389,337,312,177
1912,25025120104,34,0,0,326,75,503,504,304,166
1833,25025120105,6,26,15,346,14,528,487,271,140
2952,25025120201,55,82,150,592,147,934,696,163,133
4074,25025120301,25,136,166,1200,90,1304,768,245,140
5386,25025120400,21,101,100,895,137,1687,1212,730,503
2178,25025120500,39,61,43,626,46,735,453,82,93
2024,25025120600,0,23,43,387,54,773,433,168,143
1802,25025120700,17,57,28,271,47,453,462,134,333
5318,25025130100,57,67,131,1471,209,1432,1396,241,314
3829,25025130200,15,72,43,912,166,1347,903,152,219
3328,25025130300,0,22,73,904,176,1014,775,254,110
3750,25025130402,16,43,66,1482,298,878,587,295,85
2705,25025130404,21,135,144,1183,305,468,294,66,89
3931,25025130406,29,196,392,1665,420,787,364,35,43
3904,25025140102,64,76,324,1681,323,923,409,92,12
2924,25025140105,69,106,170,1473,195,584,272,34,21
1414,25025140106,40,79,142,789,91,141,60,41,31
2106,25025140107,18,24,125,917,206,403,350,21,42
1840,25025140201,58,26,109,885,229,342,151,22,18
4893,25025140202,58,243,229,2436,480,962,375,72,38
5106,25025140300,227,229,389,2582,526,917,226,10,0
6467,25025140400,278,279,658,3370,457,886,329,118,92
5135,25025160101,327,1131,501,2246,257,451,171,36,15
2441,25025160200,147,753,149,1093,59,199,36,0,5
1927,25025160300,93,98,127,717,108,467,193,107,17
2364,25025160400,183,335,233,975,82,298,215,18,25
3918,25025160501,219,619,480,1768,136,386,198,66,46
3354,25025160502,247,496,276,1637,209,359,107,0,23
3364,25025160601,158,162,298,1837,133,502,202,53,19
3751,25025160602,270,494,361,1765,231,354,199,38,39
5617,25025170100,123,354,301,3816,194,505,285,0,39
3285,25025170200,93,143,170,2143,125,487,88,11,25
6844,25025170300,286,329,310,3886,290,1117,518,77,31
3613,25025170400,230,234,213,1805,249,470,368,44,0
3074,25025170501,109,48,222,1267,276,736,237,83,96
2073,25025170502,6,16,84,1084,82,479,201,114,7
4190,25025170601,158,222,501,2091,267,601,237,62,51
1653,25025170701,54,78,151,824,85,292,138,31,0
4290,25025170702,250,435,145,2589,150,449,250,0,22
4352,25025170800,428,400,136,2518,92,458,236,33,51
4049,25025180101,54,19,142,2099,347,986,362,40,0
3311,25025180200,64,28,72,1804,217,780,260,59,27
2093,25025180301,23,3,24,777,148,730,322,47,19
1467,25025180400,10,15,38,692,104,340,209,36,23
3343,25025180500,34,0,109,1648,333,721,323,93,82
446,25025980101,0,19,121,254,0,46,6,0,0
342,25025980300,7,52,91,185,0,7,0,0,0
0,25025980700,0,0,0,0,0,0,0,0,0
0,25025981000,0,0,0,0,0,0,0,0,0
284,25025981100,0,0,43,168,23,23,13,4,10
0,25025981201,0,0,0,0,0,0,0,0,0
71,25025981202,0,0,0,17,9,37,8,0,0
363,25025981300,0,33,6,39,17,122,112,28,6
0,25025981501,0,0,0,0,0,0,0,0,0
0,25025981502,0,0,0,0,0,0,0,0,0
0,25025981600,0,0,0,0,0,0,0,0,0
0,25025981700,0,0,0,0,0,0,0,0,0
26,25025981800,0,0,0,3,0,5,8,10,0
23,25025990101,0,0,0,23,0,0,0,0,0
