total (occupation),geoid,top_occ,service,sales,nat_construction,production
1767,25025010701,1179,184,383,10,11
1738,25025010702,1278,86,299,7,68
1859,25025010801,1444,63,310,7,35
2297,25025010802,1784,143,335,21,14
3183,25025020101,2696,87,327,28,45
2908,25025020200,2327,157,394,30,0
1350,25025020301,1084,80,178,0,8
745,25025020302,544,44,144,6,7
2564,25025020303,2046,119,342,0,57
1737,25025030100,1256,68,327,61,25
1327,25025030200,966,76,258,27,0
3305,25025030300,2456,115,543,71,120
1915,25025030400,1357,159,305,44,50
1908,25025030500,1297,133,441,22,15
1459,25025040100,1012,68,308,28,43
909,25025040200,472,159,199,27,52
3015,25025040300,1998,392,486,75,64
1715,25025040401,1020,155,451,20,69
2440,25025040600,1649,92,595,53,51
2340,25025040801,1350,364,422,87,117
2885,25025050101,893,826,462,324,380
3327,25025050200,669,1397,724,120,417
1212,25025050300,406,364,232,36,174
1609,25025050400,617,602,229,57,104
1323,25025050500,447,574,187,84,31
1756,25025050600,377,586,258,284,251
3414,25025050700,538,1746,163,431,536
2815,25025050901,439,1250,419,301,406
2559,25025051000,786,828,599,164,182
4435,25025051101,1024,1828,651,608,324
1982,25025051200,937,537,287,83,138
2710,25025060101,1830,178,549,120,33
1599,25025060200,994,94,377,40,94
2719,25025060301,1788,202,590,34,105
3892,25025060400,2810,295,664,71,52
3252,25025060501,2142,235,742,79,54
3316,25025060600,2401,200,580,19,116
790,25025060700,150,482,75,33,50
3499,25025060800,2506,35,807,40,111
1605,25025061000,746,411,267,68,113
874,25025061101,179,354,195,66,80
3648,25025061200,2658,230,636,52,72
4097,25025070101,2809,422,611,27,228
2272,25025070200,1053,744,443,0,32
3014,25025070300,2228,257,411,52,66
1342,25025070402,779,319,188,6,50
3435,25025070500,2177,581,476,0,201
1681,25025070600,1262,72,276,31,40
1638,25025070700,1261,139,171,57,10
2640,25025070800,1775,287,514,0,64
2010,25025070900,1216,246,454,43,51
2139,25025071101,1588,245,246,9,51
1594,25025071201,952,141,345,79,77
793,25025080100,263,273,193,6,58
1073,25025080300,249,297,383,28,116
1127,25025080401,449,237,228,65,148
1443,25025080500,376,548,249,14,256
1563,25025080601,651,390,422,4,96
1838,25025080801,542,578,534,48,136
2133,25025080900,1293,214,530,22,74
2455,25025081001,1085,772,460,62,76
2205,25025081100,1588,308,237,37,35
1422,25025081200,645,359,245,45,128
1963,25025081300,914,698,197,0,154
1778,25025081400,862,282,276,90,268
1234,25025081500,406,389,274,12,153
1697,25025081700,408,493,520,61,215
1371,25025081800,445,400,295,59,172
1737,25025081900,512,555,413,122,135
1463,25025082000,572,450,246,68,127
2538,25025082100,681,803,615,136,303
2263,25025090100,485,569,627,91,491
794,25025090200,163,241,153,96,141
1163,25025090300,229,484,248,111,91
2262,25025090400,666,474,451,251,420
1340,25025090600,331,413,331,69,196
2248,25025090700,1406,253,276,177,136
1649,25025090901,750,334,468,36,61
1807,25025091001,1199,171,291,39,107
3084,25025091100,1634,610,541,183,116
1917,25025091200,748,446,316,152,255
1373,25025091300,408,464,310,38,153
1562,25025091400,362,564,441,32,163
2379,25025091500,729,661,399,204,386
1671,25025091600,463,590,286,143,189
1614,25025091700,442,517,251,74,330
1654,25025091800,290,566,422,134,242
2020,25025091900,480,573,469,249,249
2820,25025092000,772,867,630,129,422
4124,25025092101,842,1468,772,338,704
1975,25025092200,730,529,420,177,119
1708,25025092300,548,515,322,75,248
2690,25025092400,493,976,663,149,409
2996,25025100100,802,921,670,132,471
1491,25025100200,339,624,295,33,200
2121,25025100300,572,805,441,99,204
2941,25025100400,734,923,824,237,223
3108,25025100500,1398,845,549,85,231
3728,25025100601,1499,584,1138,249,258
1400,25025100603,625,311,299,82,83
2357,25025100700,1079,533,466,249,30
3859,25025100800,2081,634,678,194,272
2426,25025100900,860,777,406,124,259
3039,25025101001,797,984,699,167,392
3200,25025101002,1190,626,946,165,273
1620,25025101101,492,611,324,55,138
2586,25025101102,573,838,638,94,443
3902,25025110103,1860,950,761,52,279
1178,25025110201,346,307,276,85,164
1587,25025110301,664,358,358,84,123
1905,25025110401,806,419,416,117,147
2861,25025110403,1670,458,619,53,61
2211,25025110501,1216,319,460,125,91
2971,25025110502,1400,661,515,175,220
1347,25025110601,1000,145,155,21,26
3398,25025110607,2006,552,605,86,149
1153,25025120103,995,69,67,0,22
1516,25025120104,1122,112,230,22,30
1311,25025120105,978,89,186,58,0
2586,25025120201,1868,239,315,78,86
3529,25025120301,1997,772,562,16,182
3996,25025120400,2973,473,313,155,82
1775,25025120500,1010,340,324,35,66
2008,25025120600,1338,332,278,24,36
1498,25025120700,1042,149,203,47,57
4187,25025130100,2474,613,775,138,187
2773,25025130200,1726,286,459,227,75
2426,25025130300,1597,244,296,136,153
2580,25025130402,1316,472,429,199,164
1909,25025130404,741,388,407,107,266
2966,25025130406,1063,607,804,134,358
2994,25025140102,1272,751,675,95,201
2445,25025140105,930,594,388,156,377
1027,25025140106,321,412,181,42,71
1583,25025140107,703,363,386,37,94
1481,25025140201,508,393,269,146,165
3793,25025140202,1340,728,874,414,437
3444,25025140300,1286,783,705,239,431
4474,25025140400,1326,1212,1042,185,709
4419,25025160101,1055,1495,549,522,798
1960,25025160200,352,612,180,228,588
1226,25025160300,579,276,191,65,115
2066,25025160400,524,570,393,192,387
3270,25025160501,643,1143,671,165,648
2541,25025160502,570,769,466,269,467
2406,25025160601,554,667,438,290,457
2798,25025160602,739,788,392,228,651
3911,25025170100,951,1162,601,599,598
2190,25025170200,607,668,436,256,223
4937,25025170300,1652,1271,982,508,524
2574,25025170400,673,738,568,192,403
2293,25025170501,759,784,365,132,253
1135,25025170502,423,256,272,77,107
3185,25025170601,786,1076,617,329,377
1181,25025170701,358,403,220,80,120
3412,25025170702,748,1163,495,447,559
3074,25025170800,716,1160,527,276,395
2875,25025180101,1136,609,905,125,100
2496,25025180200,1086,306,746,139,219
1495,25025180301,804,230,377,35,49
1210,25025180400,527,181,360,41,101
2617,25025180500,903,494,704,280,236
88,25025980101,2,14,6,29,37
34,25025980300,0,0,0,0,34
0,25025980700,0,0,0,0,0
0,25025981000,0,0,0,0,0
134,25025981100,98,14,5,4,13
0,25025981201,0,0,0,0,0
52,25025981202,16,36,0,0,0
336,25025981300,241,35,33,21,6
0,25025981501,0,0,0,0,0
0,25025981502,0,0,0,0,0
0,25025981600,0,0,0,0,0
0,25025981700,0,0,0,0,0
17,25025981800,13,0,4,0,0
67,25025990101,14,12,0,23,18
