total (occupation),geoid,top_occ,service,sales,nat_construction,production
2953,25017310601,981,716,695,243,318
2866,25017310602,786,602,567,286,625
2488,25017310700,593,507,718,193,477
1314,25017311100,390,271,196,87,370
1469,25017311200,334,284,209,161,481
2206,25017311300,562,625,379,113,527
3468,25017311400,1363,702,608,128,667
1625,25017311500,714,401,208,95,207
2882,25017311600,1148,565,428,161,580
2778,25017311700,740,548,538,256,696
1641,25017311800,442,469,164,230,336
1027,25017311900,253,143,203,50,378
1325,25017312000,286,361,251,129,298
1380,25017312100,512,381,186,71,230
2549,25017312200,669,689,532,300,359
2990,25017312300,1033,592,658,335,372
950,25017312400,176,247,169,80,278
2535,25017312501,1071,456,417,117,474
2197,25017312502,936,414,493,182,172
3847,25017313101,2068,528,840,237,174
3320,25017313102,1387,638,796,165,334
3824,25017314101,1523,749,838,210,504
4170,25017314102,1839,873,565,369,524
2700,25017314200,1264,571,381,222,262
4430,25017314301,1838,687,914,464,527
1869,25017314302,861,266,451,124,167
3102,25017315100,1543,450,642,222,245
5022,25017315200,2739,746,920,406,211
1853,25017315401,895,220,435,169,134
1861,25017315402,881,322,364,134,160
984,25017315403,400,100,234,146,104
4480,25017315500,1878,618,1216,398,370
3041,25017316101,1276,559,580,381,245
3557,25017316102,1941,356,705,298,257
2431,25017316201,1095,427,447,221,241
2336,25017316202,984,350,499,320,183
5911,25017316300,2561,953,1353,429,615
3684,25017316400,1581,508,888,456,251
3289,25017316500,1688,366,601,292,342
3748,25017317101,2347,252,839,106,204
2493,25017317102,1596,170,429,164,134
2320,25017317103,1459,134,411,169,147
1710,25017317201,1059,148,376,80,47
1754,25017317202,1152,181,308,69,44
2145,25017317203,1297,212,410,119,107
1443,25017317301,643,269,271,129,131
2961,25017317302,1623,430,582,145,181
3690,25017318100,2199,293,799,189,210
2889,25017318200,1895,259,361,201,173
4114,25017318300,2581,514,758,129,132
2278,25017318400,1567,277,350,39,45
2758,25017320102,1772,185,482,194,125
1436,25017320103,961,201,188,32,54
4955,25017320104,3444,387,813,185,126
3280,25017321100,1334,753,791,140,262
3814,25017321200,1600,569,707,606,332
4805,25017321300,1675,1193,869,436,632
2119,25017321400,1181,256,402,117,163
3912,25017321500,1530,852,832,443,255
5204,25017321600,2443,1085,800,422,454
2792,25017322100,1308,401,703,189,191
2257,25017322200,1175,398,439,138,107
3508,25017322300,1711,630,682,266,219
2719,25017322400,1184,349,677,171,338
3821,25017323100,2516,263,705,179,158
3008,25017324101,1569,458,526,151,304
2369,25017324102,1485,212,350,127,195
4722,25017325100,2660,504,897,269,392
2498,25017326101,1261,443,458,157,179
3320,25017326102,1982,392,647,161,138
2358,25017327101,1286,310,521,137,104
2390,25017327102,930,299,617,225,319
1913,25017327103,914,333,371,143,152
1905,25017328100,1021,174,403,193,114
4949,25017330100,2725,689,1168,216,151
3705,25017330200,1947,409,914,399,36
