geoid,medianValue
25017350200,366300.0
25017350300,363800.0
25017350400,520700.0
25017350500,606900.0
25017350600,591200.0
25017350700,519700.0
25017350800,513500.0
25017350900,574100.0
25017351000,448300.0
25017351100,470300.0
25017351203,501000.0
25017351204,417900.0
25017351300,498800.0
25017351403,436600.0
25017351404,389500.0
25017351500,434900.0
25017352101,530200.0
25017352102,641000.0
25017352200,365100.0
25017352300,389000.0
25017352400,385700.0
25017352500,473900.0
25017352600,412000.0
25017352700,562500.0
25017352800,472700.0
25017352900,665400.0
25017353000,399400.0
25017353101,370700.0
25017353102,
25017353200,505700.0
25017353300,554800.0
25017353400,469400.0
25017353500,537700.0
25017353600,847600.0
25017353700,578000.0
25017353800,466300.0
25017353900,581500.0
25017354000,609800.0
25017354100,
25017354200,
25017354300,490700.0
25017354400,625000.0
25017354500,780000.0
25017354600,603000.0
25017354700,637500.0
25017354800,530900.0
25017354900,450500.0
25017355000,542300.0
25017356100,511500.0
25017356300,441400.0
25017356400,543000.0
25017356500,459400.0
25017356601,482600.0
25017356602,477700.0
25017356701,520900.0
25017356702,544400.0
25017357100,657100.0
25017357200,685000.0
25017357300,561300.0
25017357400,701500.0
25017357500,607600.0
25017357600,444700.0
25017357700,531300.0
25017357800,740000.0
25017358100,661000.0
25017358300,659600.0
25017358400,716400.0
25017358500,736300.0
25017358600,654300.0
25017358700,687800.0
25017359100,537400.0
25017359300,533000.0
25017360100,
25017360200,871600.0
25017361100,671600.0
25017361200,634200.0
25017361300,875400.0
25017362100,812300.0
25017363102,457300.0
25017363103,555900.0
25017363104,498800.0
25017363201,480100.0
25017363202,470400.0
25017364101,336600.0
25017364102,347000.0
25017365100,686600.0
25017365201,599100.0
25017365202,633300.0
25017366100,483500.0
25017366201,853700.0
25017366202,669200.0
25017367100,963300.0
25017367200,
25017368101,419600.0
25017368102,398300.0
25017368200,441000.0
25017368300,402600.0
25017368400,406900.0
25017368500,331500.0
25017368600,462400.0
25017368700,367100.0
25017368800,379600.0
25017368901,453400.0
25017368902,475000.0
25017369000,389400.0
25017369100,445100.0
25017370101,388900.0
25017370102,426600.0
25017370201,551000.0
25017370202,483800.0
25017370300,408200.0
25017370400,399800.0
25017373100,630600.0
25017373200,467800.0
25017373300,561900.0
25017373400,620200.0
25017373500,941900.0
25017373600,
25017373700,888500.0
25017373800,678600.0
25017373900,782200.0
25017374000,652100.0
25017374100,532000.0
25017374200,698800.0
25017374300,875700.0
25017374400,
25017374500,608300.0
25017374600,522200.0
25017374700,617400.0
25017374800,698500.0
25017382100,425200.0
25017382200,424000.0
25017382300,640400.0
25017382400,446400.0
25017382500,440700.0
25017382601,231500.0
25017382602,404800.0
25017383101,340700.0
25017383102,303300.0
25017383200,311000.0
25017383300,342600.0
25017383400,299500.0
25017383501,346800.0
25017383502,384500.0
25017383600,374700.0
25017383700,356400.0
25017383800,360600.0
25017383901,378900.0
25017383902,430600.0
25017384001,369400.0
25017384002,447800.0
25017385100,469000.0
25017385201,369600.0
25017385202,339900.0
25017386100,762700.0
25017387100,425400.0
25017387201,364400.0
25017387202,432500.0
25017388100,512700.0
25017388200,312000.0
25017388300,209000.0
25017980000,
25021400100,663800.0
25021400200,647500.0
25021400300,868800.0
25021400400,655800.0
25021400500,685200.0
25021400600,703600.0
25021400700,696500.0
25021400800,557800.0
25021400900,425700.0
25021401000,668600.0
25021401100,
25021401200,717000.0
25021402101,362700.0
25021402102,347800.0
25021402200,344000.0
25021402300,402200.0
25021402400,398200.0
25021402500,634900.0
25021403100,644000.0
25021403300,709400.0
25021403400,684800.0
25021403500,594400.0
25021404100,822500.0
25021404201,
25021404202,920300.0
25021404301,906700.0
25021404302,701500.0
25021404400,914800.0
25021405100,912000.0
25021406101,607700.0
25021406102,578800.0
25021407100,358800.0
25021408101,417800.0
25021408102,371600.0
25021409101,467800.0
25021409102,454700.0
25021410100,414500.0
25021410300,407600.0
25021410400,383200.0
25021411100,396600.0
25021411200,450300.0
25021411301,513000.0
25021411302,379600.0
25021412100,651100.0
25021412200,720900.0
25021412300,546500.0
25021413100,376400.0
25021413200,342900.0
25021413300,435900.0
25021413401,419300.0
25021413402,370500.0
25021413500,467400.0
25021414100,459500.0
25021414200,546700.0
25021414300,407400.0
25021415101,453600.0
25021415102,376800.0
25021415200,518900.0
25021415300,523700.0
25021416101,557600.0
25021416102,609300.0
25021416200,442600.0
25021416300,550300.0
25021416400,463000.0
25021417100,399700.0
25021417200,336900.0
25021417300,379200.0
25021417400,479700.0
25021417501,360500.0
25021417502,343700.0
25021417601,354000.0
