medianCR,geoid
1870.0,25017351204
1364.0,25017351300
1555.0,25017351403
1593.0,25017351404
1626.0,25017351500
2654.0,25017352101
2068.0,25017352102
1006.0,25017352200
2847.0,25017352300
938.0,25017352400
2106.0,25017352500
1723.0,25017352600
1214.0,25017352700
1988.0,25017352800
2027.0,25017352900
2194.0,25017353000
2588.0,25017353101
2935.0,25017353102
2140.0,25017353200
2252.0,25017353300
1819.0,25017353400
1923.0,25017353500
2130.0,25017353600
1999.0,25017353700
2201.0,25017353800
2165.0,25017353900
2172.0,25017354000
2253.0,25017354100
2586.0,25017354200
2086.0,25017354300
2231.0,25017354400
2261.0,25017354500
2272.0,25017354600
2219.0,25017354700
2211.0,25017354800
2025.0,25017354900
1803.0,25017355000
1823.0,25017356100
1653.0,25017356300
1749.0,25017356400
1358.0,25017356500
1462.0,25017356601
1509.0,25017356602
1691.0,25017356701
1611.0,25017356702
1867.0,25017357100
2149.0,25017357200
1754.0,25017357300
2046.0,25017357400
1971.0,25017357500
1764.0,25017357600
1550.0,25017357700
1650.0,25017357800
1638.0,25017358100
2700.0,25017358300
1893.0,25017358400
2021.0,25017358500
2514.0,25017358600
2274.0,25017358700
1690.0,25017359100
1722.0,25017359300
3138.0,25017360100
1673.0,25017360200
1786.0,25017361100
1967.0,25017361200
2307.0,25017361300
1125.0,25017362100
1365.0,25017363102
1224.0,25017363103
1770.0,25017363104
967.0,25017363201
1324.0,25017363202
942.0,25017364101
1248.0,25017364102
,25017365100
989.0,25017365201
1532.0,25017365202
777.0,25017366100
,25017366201
1219.0,25017366202
,25017367100
1668.0,25017367200
2223.0,25017368101
1706.0,25017368102
1703.0,25017368200
1392.0,25017368300
1867.0,25017368400
1360.0,25017368500
1409.0,25017368600
1299.0,25017368700
1664.0,25017368800
1443.0,25017368901
1769.0,25017368902
1544.0,25017369000
1357.0,25017369100
1621.0,25017370101
1902.0,25017370102
1723.0,25017370201
1735.0,25017370202
1632.0,25017370300
1681.0,25017370400
1826.0,25017373100
1623.0,25017373200
1753.0,25017373300
2061.0,25017373400
2192.0,25017373500
1412.0,25017373600
2794.0,25017373700
1918.0,25017373800
1886.0,25017373900
339.0,25017374000
2085.0,25017374100
1850.0,25017374200
2098.0,25017374300
1147.0,25017374400
1676.0,25017374500
1840.0,25017374600
1841.0,25017374700
1689.0,25017374800
1357.0,25017382100
1612.0,25017382200
1390.0,25017382300
1105.0,25017382400
1695.0,25017382500
1429.0,25017382601
462.0,25017382602
1112.0,25017383101
1010.0,25017383102
1017.0,25017383200
1189.0,25017383300
1148.0,25017383400
1417.0,25017383501
1139.0,25017383502
1541.0,25017383600
1721.0,25017383700
1623.0,25017383800
,25017383901
1460.0,25017383902
1560.0,25017384001
1599.0,25017384002
1081.0,25017385100
1514.0,25017385201
1636.0,25017385202
1145.0,25017386100
557.0,25017387100
954.0,25017387201
963.0,25017387202
1101.0,25017388100
682.0,25017388200
450.0,25017388300
,25017980000
2042.0,25021400100
2148.0,25021400200
1990.0,25021400300
1996.0,25021400400
2368.0,25021400500
2368.0,25021400600
2665.0,25021400700
2195.0,25021400800
2020.0,25021400900
1713.0,25021401000
1698.0,25021401100
2306.0,25021401200
1711.0,25021402101
1358.0,25021402102
1442.0,25021402200
2158.0,25021402300
1696.0,25021402400
1410.0,25021402500
,25021403100
1853.0,25021403300
,25021403400
1524.0,25021403500
1807.0,25021404100
1973.0,25021404201
2329.0,25021404202
3066.0,25021404301
2030.0,25021404302
1139.0,25021404400
2013.0,25021405100
1282.0,25021406101
1287.0,25021406102
1444.0,25021407100
1118.0,25021408101
1043.0,25021408102
1154.0,25021409101
945.0,25021409102
918.0,25021410100
2015.0,25021410300
1431.0,25021410400
1585.0,25021411100
1111.0,25021411200
1077.0,25021411301
1503.0,25021411302
1102.0,25021412100
1910.0,25021412200
2134.0,25021412300
1167.0,25021413100
792.0,25021413200
1898.0,25021413300
1273.0,25021413401
1746.0,25021413402
1382.0,25021413500
2234.0,25021414100
,25021414200
1029.0,25021414300
1406.0,25021415101
1487.0,25021415102
1811.0,25021415200
1360.0,25021415300
1014.0,25021416101
