geoid,total (education),noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
25021409101,4961,83,96,542,2349,304,1201,243,106,37
25021409102,2991,10,0,33,853,254,1154,562,68,57
25021410100,4066,17,33,166,1981,511,955,340,19,44
25021410300,2884,12,33,132,876,287,910,529,54,51
25021410400,4253,21,48,142,2002,388,857,593,110,92
25021411100,5498,60,42,72,2474,446,1493,703,96,112
25021411200,4092,0,45,66,1828,418,1179,356,75,125
25021411301,3648,0,33,79,1213,172,1271,638,153,89
25021411302,2846,29,86,138,1090,229,723,460,91,0
25021412100,3781,15,0,17,998,224,1325,650,471,81
25021412200,2577,0,22,9,536,256,878,510,281,85
25021412300,3182,23,52,88,951,297,892,695,138,46
25021413100,4337,43,231,222,1920,259,1132,474,44,12
25021413200,4559,15,128,149,2401,378,846,478,138,26
25021413300,3259,12,20,38,1296,358,1073,414,28,20
25021413401,2305,15,32,87,929,244,662,291,45,0
25021413402,2890,0,8,124,1088,252,687,584,83,64
25021413500,3058,51,58,92,1444,410,650,241,84,28
25021414100,3601,54,27,72,945,235,965,863,259,181
25021414200,4851,0,63,112,859,320,1874,1029,208,386
25021414300,3101,10,19,50,824,259,840,772,236,91
25021415101,2912,7,6,178,1113,233,766,476,86,47
25021415102,5227,16,38,94,2157,460,1398,853,112,99
25021415200,4358,12,32,107,1793,422,1198,442,232,120
25021415300,2381,11,18,57,678,218,914,330,112,43
25021416101,3750,33,21,150,1119,420,1223,498,177,109
25021416102,2020,0,14,34,564,117,779,344,71,97
25021416200,4457,31,53,183,1702,433,1053,725,119,158
25021416300,3166,0,93,166,652,152,879,701,367,156
25021416400,4282,0,26,149,1238,389,1420,703,286,71
25021417100,2892,153,44,154,1005,198,624,390,203,121
25021417200,5929,145,250,397,2228,442,1516,753,171,27
25021417300,2080,18,62,125,537,160,481,499,133,65
25021417400,1732,0,0,39,755,190,374,316,58,0
25021417501,4248,91,177,327,1722,357,913,454,85,122
25021417502,3459,124,237,225,1366,146,1012,225,56,68
25021417601,3709,10,56,311,1857,264,775,286,46,104
25021417602,3961,232,218,288,1465,390,952,289,127,0
25021417701,4373,44,169,402,1731,350,1050,528,16,83
25021417702,2013,0,14,106,809,130,626,214,95,19
25021417801,3617,0,15,192,2066,232,638,354,120,0
25021417802,2051,123,230,393,925,104,177,99,0,0
25021417901,4384,0,474,483,1995,184,669,392,19,168
25021417902,2357,91,155,161,1053,151,513,200,22,11
25021418002,5291,19,89,374,2105,323,1621,690,44,26
25021418003,1991,45,14,129,545,101,582,386,145,44
25021418004,2665,56,203,191,1281,199,483,193,30,29
25021418101,3419,115,94,110,1314,304,1108,209,105,60
25021418102,2613,14,13,81,1253,174,570,325,114,69
25021418200,4647,153,140,248,2182,362,1201,238,109,14
25021419100,4124,35,82,98,2015,354,1022,410,102,6
25021419200,3539,10,82,104,1799,317,862,268,97,0
25021419300,2357,24,20,143,1217,223,464,207,50,9
25021419400,2239,46,24,105,1191,275,440,122,26,10
25021419500,2246,10,40,103,1067,334,392,140,143,17
25021419600,4473,22,93,130,1878,438,1253,526,77,56
25021419700,2883,46,51,163,1106,258,964,226,53,16
25021419800,2900,14,21,197,1226,392,691,218,99,42
25021420100,5395,94,278,505,2520,587,1101,277,33,0
25021420201,2543,59,137,135,1335,168,403,241,65,0
25021420202,4041,61,211,303,1844,366,774,435,18,29
25021420301,4673,46,133,389,2697,328,750,248,32,50
25021420302,5646,105,76,469,2730,531,1234,469,32,0
25021421100,3711,53,8,197,2187,611,519,120,16,0
25021421200,4005,20,164,391,2067,396,671,258,38,0
25021422100,3610,3,28,131,1687,382,907,385,58,29
25021422200,4908,10,115,250,2597,616,919,327,44,30
25021422301,2072,11,72,59,1141,186,466,101,22,14
25021422302,4997,16,0,109,2228,469,1407,488,126,154
25021422400,5878,0,146,360,3231,667,1010,353,111,0
25021422501,3197,0,19,197,1908,248,535,215,63,12
25021422502,3698,43,38,38,2273,264,808,149,85,0
25021422600,4473,0,27,130,2178,389,1258,378,103,10
25021422700,2818,7,50,133,1494,329,680,102,23,0
25021422800,2916,20,31,137,1451,290,714,216,23,34
25021423100,4897,0,14,62,1323,313,1673,1056,350,106
25021440100,5494,19,83,339,2568,457,1274,568,109,77
25021441202,1686,0,0,21,534,128,587,315,91,10
25021441203,2553,0,5,63,1352,141,660,263,55,14
25021441204,2905,104,0,60,1009,352,922,407,39,12
25021442101,3097,0,34,94,1317,284,808,443,82,35
25021442102,4635,12,23,101,1876,411,1609,530,60,13
25021442103,4121,0,0,40,1238,485,1416,798,52,92
25021442201,2438,20,0,52,734,280,969,281,38,64
25021442202,5203,14,119,219,2446,554,1147,564,38,102
25021443101,5058,0,92,294,2536,226,1366,426,88,30
25021443102,5843,12,273,438,3128,452,961,409,85,85
25021456101,2749,56,110,198,1203,245,678,196,56,7
25021456102,3471,14,317,245,1668,238,553,375,38,23
25021456200,2116,0,43,179,967,193,509,154,18,53
25021456301,1177,0,0,225,706,38,80,128,0,0
25021456302,3651,121,112,140,1834,339,817,275,0,13
25021456401,1843,31,139,75,1020,108,310,118,42,0
25021456402,3598,23,105,143,1502,297,1002,376,108,42
25021457100,2982,9,77,198,1657,486,432,102,12,9
25021457200,4034,19,42,109,824,224,1284,1023,343,166
25023500101,2823,0,81,117,1350,207,675,288,52,53
25023500103,1977,0,0,34,984,134,596,164,41,24
25023500104,3047,10,18,105,1780,210,639,159,113,13
25023501101,2409,0,19,93,931,190,606,432,99,39
25023501102,5250,12,17,88,1636,230,1883,1049,309,26
25023501201,2361,20,10,39,525,150,881,609,108,19
25023501202,4666,10,11,57,1491,428,1404,814,326,125
25023502101,3669,49,40,381,2120,474,434,135,36,0
25023502102,3600,0,84,275,1858,407,825,111,29,11
25023502200,4838,50,15,164,2782,713,742,321,27,24
25023503101,4385,0,39,44,1898,438,1349,471,131,15
25023503102,4662,0,22,257,2116,428,1260,397,117,65
25023504101,3525,11,8,87,1384,365,1123,406,94,47
25023504102,3236,23,0,35,777,251,1265,696,152,37
25023505101,4774,0,44,22,1716,263,1702,723,212,92
25023505102,3147,0,0,120,1075,235,1161,463,61,32
25023505200,4618,21,14,61,1708,353,1518,727,124,92
25023506101,4543,0,11,41,1576,466,1479,799,132,39
25023506102,4102,0,0,140,1655,359,1303,501,78,66
25023506202,1797,0,22,42,576,104,717,270,66,0
25023506203,3341,0,0,65,1483,302,1056,382,13,40
25023506204,3498,38,47,52,1672,411,792,380,52,54
25023507101,3363,0,11,11,950,291,1200,701,121,78
25023507103,2747,0,0,9,539,135,1369,442,220,33
25023507104,3507,0,22,45,795,246,1481,695,186,37
25023508101,4360,40,57,115,2178,356,1259,317,38,0
25023508102,3454,0,19,208,2027,347,660,183,0,10
25023508200,3897,31,31,132,1931,302,1120,296,54,0
25023509101,4479,81,163,137,2014,447,1119,455,52,11
25023509102,4016,0,11,115,1846,399,1093,412,99,41
25023510100,3047,0,71,274,1856,404,194,222,26,0
25023510200,3756,14,167,219,2162,306,605,220,0,63
25023510300,2116,99,116,558,933,144,194,71,1,0
25023510400,1960,85,215,206,1038,197,148,40,0,31
25023510501,2345,0,162,266,1247,226,309,88,47,0
25023510502,3970,27,309,404,2149,476,468,106,11,20
25023510503,2692,0,139,180,1548,187,496,94,45,3
25023510600,1827,9,7,96,868,244,269,243,82,9
25023510700,3941,123,244,253,1845,506,646,264,25,35
25023510800,3548,65,406,523,2028,269,200,57,0,0
25023510900,1534,33,260,298,834,29,61,19,0,0
25023511000,1545,30,119,123,835,142,196,100,0,0
25023511100,3438,45,45,256,2203,307,444,128,0,10
25023511200,3584,55,215,429,2309,184,248,86,58,0
25023511301,3539,64,63,431,1873,439,517,125,0,27
25023511302,2173,66,34,141,1251,193,324,70,60,34
25023511400,2310,93,248,274,1165,144,299,46,41,0
25023511500,2713,102,190,256,1552,138,399,76,0,0
25023511600,4802,99,182,657,2710,460,578,100,16,0
25023511701,3237,13,69,225,1846,401,502,125,50,6
25023511702,1997,0,19,129,1251,136,384,39,25,14
25023520100,4536,0,18,248,2751,457,782,224,23,33
25023520201,2619,0,0,113,1683,283,431,78,20,11
25023520202,3709,20,20,184,1828,466,833,296,52,10
25023521101,2929,13,0,188,1588,329,678,69,64,0
25023521102,2084,8,32,115,1147,291,364,127,0,0
25023521201,1825,0,86,22,1205,223,193,96,0,0
25023521202,2705,12,0,117,1559,276,514,181,30,16
25023522101,2845,0,12,181,1395,453,560,217,15,12
25023522102,3753,26,28,177,2010,421,760,251,40,40
25023523100,2034,12,22,34,1140,217,368,219,16,6
25023523201,2042,7,32,238,1097,169,365,103,31,0
25023523202,4882,0,16,245,2939,517,674,441,46,4
25023524101,2063,0,18,143,1029,147,482,184,27,33
25023524102,2716,23,39,198,1452,368,340,226,43,27
25023525101,4185,14,64,195,2089,468,900,358,94,3
25023525104,3838,0,0,239,1712,309,958,471,117,32
25023525203,3588,0,58,107,1748,391,862,322,32,68
25023525204,1949,0,0,17,950,132,498,232,0,120
25023525300,2692,8,370,445,1444,119,259,39,8,0
25023526100,5208,12,44,240,3226,489,617,481,85,14
25023530100,2700,47,41,175,1360,234,570,224,40,9
25023530200,2743,27,157,264,1498,132,511,91,16,47
25023530300,2732,20,9,102,1457,378,501,205,60,0
25023530400,4221,15,14,201,2234,555,822,305,23,52
25023530500,4042,26,78,204,2047,249,840,411,129,58
25023530600,4519,9,297,513,2183,314,880,275,33,15
25023530700,3034,0,0,99,1311,229,752,457,138,48
25023530801,3667,0,8,101,1840,377,959,286,73,23
25023530802,3237,0,0,44,1775,393,584,321,43,77
25023530901,5271,0,55,167,2469,786,1226,325,140,103
25023530902,2992,0,0,60,1471,375,609,402,47,28
25023540101,2360,0,32,74,1299,189,559,207,0,0
25023540102,1822,15,35,106,925,173,275,214,62,17
25023540103,2786,18,0,40,1257,390,767,264,33,17
25023541100,3409,20,71,182,1723,295,655,372,44,47
25023542101,4718,13,126,256,2628,380,914,318,71,12
25023542102,1622,0,25,62,1129,128,254,13,11,0
25023542200,4018,8,84,191,2576,331,535,232,52,9
25023542300,4195,15,225,325,2476,425,465,253,11,0
25023543100,1926,11,81,132,989,114,375,158,55,11
25023544100,3763,36,54,295,2142,374,558,283,0,21
25023544200,4302,38,101,299,2758,392,469,219,26,0
25023545100,4295,27,159,315,2651,363,606,138,22,14
25023545200,4226,0,97,224,2784,374,414,276,14,43
25023545300,2611,0,22,157,1424,299,404,251,32,22
25023545400,4161,52,122,389,2153,296,655,354,113,27
25023560100,4474,64,76,176,1763,400,1043,566,303,83
25023561100,3608,5,47,185,1367,277,928,558,192,49
25023561200,321,0,33,0,185,20,42,41,0,0
25023990003,0,0,0,0,0,0,0,0,0,0
25025000100,2594,0,330,151,1322,136,429,171,20,35
25025000201,2650,66,29,139,1012,143,834,292,63,72
25025000202,2837,55,149,184,1071,129,680,484,34,51
25025000301,1959,0,37,81,521,87,868,285,45,35
25025000302,2396,27,51,77,614,125,1011,345,52,94
25025000401,3804,170,67,57,1104,79,1207,635,327,158
25025000402,1939,0,76,48,317,31,968,272,57,170
25025000502,1754,0,0,0,299,58,654,507,107,129
25025000503,1555,0,0,48,107,68,740,406,57,129
25025000504,3468,21,96,37,713,79,1257,875,115,275
25025000601,2440,32,103,131,625,106,842,424,119,58
25025000602,2547,209,99,132,758,64,506,563,127,89
25025000701,2972,0,107,122,586,63,1334,592,58,110
25025000703,913,0,0,0,190,36,513,121,14,39
25025000704,2934,35,174,155,481,36,1393,459,73,128
25025000802,3729,0,336,192,1140,206,1100,553,93,109
25025000803,1095,47,20,21,184,35,517,195,58,18
25025010103,408,0,0,0,83,0,181,99,17,28
25025010104,2041,0,83,23,419,82,755,343,153,183
25025010203,3122,0,32,45,515,27,1069,641,381,412
25025010204,942,0,0,0,150,31,228,446,20,67
25025010300,334,0,0,16,79,0,125,75,14,25
25025010403,1844,33,68,158,445,56,447,467,101,69
25025010404,1011,0,0,23,282,15,368,204,94,25
25025010405,1054,27,50,47,473,27,247,112,8,63
25025010408,874,0,0,0,88,0,406,179,160,41
25025010500,1882,42,12,68,327,42,689,441,142,119
25025010600,2357,11,0,31,381,97,795,692,255,95
25025010701,1710,0,0,0,110,23,643,671,182,81
25025010702,1973,0,0,0,139,128,661,704,159,182
25025010801,2144,39,0,0,136,135,757,724,226,127
25025010802,2360,0,0,0,157,21,1122,608,298,154
25025020101,3475,0,0,15,296,95,1547,793,547,182
25025020200,2360,0,0,18,339,12,923,646,252,170
25025020301,2064,0,17,36,271,94,402,673,327,244
25025020302,789,0,0,0,39,52,250,278,42,128
25025020303,2439,17,77,227,501,89,550,156,665,157
25025030100,1381,27,37,41,350,49,610,246,21,0
25025030200,962,0,39,122,185,45,450,121,0,0
25025030300,4010,34,111,215,550,113,1235,1170,348,234
25025030400,1567,0,0,24,314,53,670,340,133,33
25025030500,1889,23,0,0,307,69,909,362,160,59
25025040100,1899,0,0,75,187,32,783,477,234,111
25025040200,1032,0,54,59,447,24,239,104,99,6
25025040300,3201,104,84,44,680,113,1403,431,305,37
25025040401,1796,22,87,76,797,22,410,202,174,6
25025040600,2068,0,27,51,631,98,932,277,45,7
25025040801,2487,117,207,227,900,70,412,262,197,95
25025050101,3323,408,713,475,1169,168,268,108,14,0
25025050200,3359,215,625,356,1617,73,407,45,0,21
25025050300,1273,116,120,178,590,69,106,85,9,0
25025050400,1735,148,188,163,770,51,317,49,49,0
25025050500,1301,27,276,151,580,26,102,139,0,0
25025050600,1226,58,387,295,332,8,105,41,0,0
25025050700,3011,323,653,395,1243,43,255,64,35,0
25025050901,3066,148,583,430,1626,17,181,64,0,17
25025051000,2802,49,186,242,1666,184,350,112,13,0
25025051101,4538,186,661,450,2322,133,517,204,65,0
25025051200,1789,46,221,96,834,103,304,158,27,0
25025060101,2646,0,17,141,1167,115,833,276,77,20
25025060200,1608,0,27,0,538,66,748,187,32,10
25025060301,2138,10,11,72,789,89,764,271,118,14
25025060400,3725,19,120,104,1244,270,1253,548,167,0
25025060501,2603,10,114,136,559,129,1127,363,147,18
25025060600,1546,14,0,119,291,0,676,223,192,31
25025060700,1009,76,123,198,552,11,36,0,13,0
25025060800,2829,30,30,189,1117,107,967,257,83,49
25025061000,1901,71,188,216,853,62,381,111,19,0
25025061101,1388,60,268,277,634,16,85,10,38,0
25025061200,2368,16,101,18,694,135,968,254,111,71
25025070101,3311,98,294,161,614,39,955,663,441,46
25025070200,2940,253,694,391,985,69,398,111,28,11
25025070300,3590,28,52,160,539,73,1489,800,327,122
25025070402,1320,162,352,228,433,41,21,37,7,39
25025070500,5660,292,410,241,1599,135,1837,575,488,83
25025070600,1942,72,0,56,305,73,686,512,146,92
25025070700,1806,10,122,29,505,81,482,298,230,49
25025070800,2728,0,99,87,722,136,815,565,265,39
25025070900,2317,55,168,153,676,128,499,325,196,117
25025071101,3056,0,223,187,856,141,872,453,212,112
25025071201,2195,63,155,267,805,105,489,197,78,36
25025080100,1842,34,95,437,944,72,175,66,19,0
25025080300,854,25,59,262,301,75,132,0,0,0
25025080401,1401,63,146,125,803,53,123,67,21,0
25025080500,1480,10,260,254,735,72,149,0,0,0
25025080601,926,14,54,168,391,37,79,80,42,61
25025080801,1068,49,196,200,461,68,0,94,0,0
25025080900,1662,10,105,29,493,62,305,412,104,142
25025081001,2759,124,209,248,1053,229,498,187,133,78
25025081100,2058,22,112,166,720,99,608,223,48,60
25025081200,1500,49,147,171,704,94,137,153,45,0
25025081300,2864,210,349,680,1224,128,154,90,29,0
25025081400,2060,27,78,87,751,139,577,288,70,43
25025081500,1205,26,42,140,594,57,212,122,12,0
25025081700,2001,22,82,274,1156,76,236,124,23,8
25025081800,1686,9,73,232,800,161,293,77,0,41
25025081900,1734,8,39,107,990,135,302,141,12,0
25025082000,1619,0,105,207,908,41,203,155,0,0
25025082100,2630,73,360,318,1303,154,234,144,34,10
25025090100,2783,105,331,458,1408,183,176,122,0,0
25025090200,1108,0,61,120,643,111,87,86,0,0
25025090300,1322,18,147,205,693,180,40,39,0,0
25025090400,1944,77,257,204,1059,146,143,40,18,0
25025090600,971,38,246,75,397,63,85,67,0,0
25025090700,2958,52,294,209,1313,132,611,276,38,33
25025090901,1859,30,80,120,703,67,524,246,54,35
25025091001,1773,24,127,86,622,49,526,293,23,23
25025091100,2848,46,127,315,1216,133,586,308,86,31
25025091200,1902,128,98,210,866,153,315,120,12,0
25025091300,1006,93,163,138,480,28,45,48,11,0
25025091400,1518,45,150,253,791,87,107,85,0,0
25025091500,2886,256,483,247,1228,117,402,108,25,20
25025091600,1839,62,297,279,832,61,212,41,11,44
25025091700,1715,70,253,248,892,51,164,21,0,16
25025091800,1694,99,148,252,918,130,126,21,0,0
25025091900,1766,32,108,238,1120,64,140,64,0,0
25025092000,3034,45,199,574,1405,182,492,134,3,0
25025092101,3828,52,321,704,1814,257,445,216,0,19
25025092200,2048,41,110,181,839,72,465,250,37,53
25025092300,1722,13,70,262,964,105,225,83,0,0
25025092400,2952,12,289,322,1760,293,214,62,0,0
25025100100,2639,69,273,359,1365,183,267,99,24,0
25025100200,1876,22,146,237,1151,93,168,30,21,8
25025100300,2198,112,32,552,1144,132,150,59,17,0
25025100400,2980,133,154,244,1720,236,348,122,12,11
25025100500,3378,25,398,473,1511,140,527,229,31,44
25025100601,3214,59,104,479,1602,198,563,146,55,8
25025100603,1637,10,86,186,696,135,416,100,8,0
25025100700,3060,0,78,195,1413,235,630,380,114,15
25025100800,3903,143,186,170,1785,118,743,538,152,68
25025100900,3097,34,79,228,1864,211,441,168,44,28
25025101001,4223,41,41,514,2505,305,565,182,55,15
25025101002,4098,88,333,713,2121,226,386,160,63,8
25025101101,1962,27,146,183,1221,91,201,59,16,18
25025101102,2533,15,252,337,1491,122,245,71,0,0
25025110103,3883,106,177,154,1208,315,1040,646,157,80
25025110201,1369,5,38,18,872,123,220,93,0,0
25025110301,1686,22,141,107,755,90,308,207,26,30
25025110401,2307,65,225,119,1044,139,471,157,70,17
25025110403,2986,32,97,142,1551,251,544,277,60,32
25025110501,2507,32,77,168,831,129,691,427,64,88
25025110502,2412,5,68,174,1252,147,368,269,48,81
25025110601,2289,11,77,124,527,98,746,436,181,89
25025110607,4387,38,117,145,1558,111,1071,981,165,201
25025120103,1110,0,11,0,70,44,134,413,247,191
25025120104,1554,0,0,81,293,42,569,352,118,99
25025120105,1851,25,0,18,343,67,442,651,165,140
25025120201,2502,47,80,94,762,119,762,506,96,36
25025120301,3164,12,252,279,1080,160,590,414,195,182
25025120400,4490,0,115,109,953,104,1240,1249,368,352
25025120500,1496,16,253,77,525,120,252,127,104,22
25025120600,1833,0,9,0,259,7,981,410,95,72
25025120700,1540,18,101,98,206,14,381,379,190,153
25025130100,3318,0,77,33,1266,271,829,663,98,81
25025130200,3604,0,85,104,1282,248,1115,586,66,118
25025130300,3214,24,0,10,1058,195,837,756,205,129
25025130402,3503,20,35,106,1499,271,1080,330,65,97
25025130404,2076,11,20,100,933,109,500,297,18,88
25025130406,3097,30,155,285,1384,182,638,323,84,16
25025140102,2823,0,168,168,1523,229,471,198,45,21
25025140105,2411,0,26,137,1219,185,450,353,32,9
25025140106,1181,37,215,143,510,101,154,13,0,8
25025140107,1809,34,89,90,921,105,356,188,10,16
25025140201,1524,0,65,81,755,224,237,70,56,36
25025140202,3712,29,171,245,1730,320,806,304,89,18
25025140300,4158,39,152,422,2272,457,450,322,29,15
25025140400,5200,108,254,549,2886,325,672,302,7,97
25025160101,4841,625,785,437,2311,204,257,118,59,45
25025160200,1874,98,695,187,702,68,65,59,0,0
25025160300,1908,36,20,223,682,211,451,118,134,33
25025160400,1567,147,430,322,552,21,75,20,0,0
25025160501,3304,163,703,489,1555,61,243,90,0,0
25025160502,2503,120,368,112,1396,134,215,112,46,0
25025160601,2740,32,395,352,1540,67,226,109,0,19
25025160602,2881,161,226,306,1584,162,215,177,50,0
25025170100,4587,62,251,487,2465,357,790,121,54,0
25025170200,3413,149,450,616,1470,272,325,73,50,8
25025170300,6067,92,526,501,3674,242,737,177,103,15
25025170400,3731,80,408,309,2077,254,492,78,13,20
25025170501,2505,56,168,132,1444,108,266,255,42,34
25025170502,2539,0,128,215,1461,263,273,146,53,0
25025170601,3819,141,349,588,1845,184,557,96,0,59
25025170701,1089,20,55,108,645,46,157,47,11,0
25025170702,4424,389,570,345,2315,95,519,133,38,20
25025170800,3393,132,27,542,1898,97,523,174,0,0
25025180101,3364,100,18,223,1839,208,631,247,84,14
25025180200,2627,8,9,202,1380,213,471,194,76,74
25025180301,2096,0,20,93,1167,91,549,153,23,0
25025180400,1334,14,28,58,875,113,130,79,19,18
25025180500,3045,65,61,151,1269,233,948,296,8,14
25025980101,345,16,11,84,207,23,4,0,0,0
25025980300,394,2,17,126,184,16,49,0,0,0
25025980700,0,0,0,0,0,0,0,0,0,0
25025981000,0,0,0,0,0,0,0,0,0,0
25025981100,41,0,3,6,17,0,12,3,0,0
25025981201,0,0,0,0,0,0,0,0,0,0
25025981202,0,0,0,0,0,0,0,0,0,0
25025981300,223,0,0,0,19,10,90,55,49,0
25025981501,0,0,0,0,0,0,0,0,0,0
25025981502,26,0,0,0,26,0,0,0,0,0
25025981600,0,0,0,0,0,0,0,0,0,0
25025981700,0,0,0,0,0,0,0,0,0,0
25025981800,88,0,0,0,0,0,53,35,0,0
25025990101,216,0,0,23,193,0,0,0,0,0
