geoid,total (occupation),top_occ,service,sales,nat_construction,production
25025020200,2685,1671,505,446,0,63
25025020301,1283,932,0,339,12,0
25025020302,765,599,68,67,16,15
25025020303,1435,1172,51,193,0,19
25025030100,1535,708,384,373,22,48
25025030200,1326,692,265,313,17,39
25025030300,2887,2053,171,588,11,64
25025030400,1727,1000,267,395,21,44
25025030500,1874,1242,103,454,12,63
25025040100,1498,1098,7,381,12,0
25025040200,841,410,238,132,0,61
25025040300,2611,1597,217,633,27,137
25025040401,1304,550,249,350,97,58
25025040600,1698,845,241,505,70,37
25025040801,1562,740,244,389,12,177
25025050101,2490,260,1069,530,277,354
25025050200,3110,364,1135,647,449,515
25025050300,590,122,249,122,35,62
25025050400,1381,274,615,356,39,97
25025050500,1120,104,491,117,95,313
25025050600,1084,73,519,249,39,204
25025050700,2865,259,1137,481,526,462
25025050901,2208,241,1195,409,181,182
25025051000,1705,452,490,499,97,167
25025051101,3596,927,1436,784,209,240
25025051200,1468,269,424,369,246,160
25025060101,2054,782,363,608,220,81
25025060200,1404,699,205,396,55,49
25025060301,1953,1050,252,507,64,80
25025060400,3137,1606,436,711,182,202
25025060501,2447,1384,283,618,41,121
25025060600,1376,970,194,162,9,41
25025060700,592,0,344,204,12,32
25025060800,2522,1235,379,697,122,89
25025061000,1341,447,317,329,178,70
25025061101,631,76,377,110,0,68
25025061200,2109,1260,156,517,114,62
25025070101,2267,1439,267,449,12,100
25025070200,2101,481,837,568,0,215
25025070300,2851,2008,123,622,20,78
25025070402,591,152,235,124,10,70
25025070500,3663,2286,524,659,97,97
25025070600,1785,1176,156,298,132,23
25025070700,1419,932,183,249,27,28
25025070800,2163,978,386,518,127,154
25025070900,1735,873,284,474,69,35
25025071101,1974,1105,367,322,66,114
25025071201,1233,611,214,189,92,127
25025080100,643,215,148,117,37,126
25025080300,565,158,90,179,79,59
25025080401,622,129,207,228,20,38
25025080500,801,199,365,127,15,95
25025080601,1179,394,457,260,68,0
25025080801,1047,231,369,372,0,75
25025080900,2078,922,500,473,0,183
25025081001,2361,977,572,584,71,157
25025081100,2530,1356,350,734,0,90
25025081200,1110,451,362,219,8,70
25025081300,1409,314,555,356,13,171
25025081400,1815,1021,271,452,71,0
25025081500,760,255,174,214,59,58
25025081700,1358,379,498,358,27,96
25025081800,1344,399,359,409,50,127
25025081900,1231,369,251,378,17,216
25025082000,1211,491,287,285,11,137
25025082100,1637,544,542,422,70,59
25025090100,1899,415,734,373,174,203
25025090200,659,139,204,222,0,94
25025090300,771,105,390,242,0,34
25025090400,1443,386,515,356,54,132
25025090600,871,233,203,271,2,162
25025090700,2307,847,445,483,168,364
25025090901,1668,699,361,462,25,121
25025091001,1378,726,169,328,97,58
25025091100,2460,792,593,573,182,320
25025091200,1507,405,441,361,122,178
25025091300,637,149,166,158,31,133
25025091400,1069,360,236,301,82,90
25025091500,1893,579,588,401,135,190
25025091600,1238,314,329,320,63,212
25025091700,1424,295,431,386,44,268
25025091800,1476,156,453,474,46,347
25025091900,1294,269,418,399,123,85
25025092000,2120,608,839,390,163,120
25025092101,2972,793,702,741,302,434
25025092200,1482,545,394,279,49,215
25025092300,1352,340,462,390,35,125
25025092400,2404,493,1068,528,154,161
25025100100,2184,586,758,533,94,213
25025100200,1342,293,373,381,55,240
25025100300,1454,257,510,465,88,134
25025100400,2203,540,600,693,175,195
25025100500,2359,829,782,580,71,97
25025100601,2606,650,533,942,239,242
25025100603,1027,440,205,208,56,118
25025100700,2198,1076,370,432,187,133
25025100800,2882,1101,644,792,203,142
25025100900,2203,747,534,581,100,241
25025101001,2703,1171,487,405,390,250
25025101002,2601,742,1009,439,16,395
25025101101,1624,436,334,502,57,295
25025101102,1905,349,737,587,14,218
25025110103,3309,1717,625,689,80,198
25025110201,968,233,173,472,13,77
25025110301,1601,542,325,555,70,109
25025110401,1815,703,506,398,88,120
25025110403,2243,963,675,333,63,209
25025110501,1930,1120,226,370,110,104
25025110502,1824,602,398,454,140,230
25025110601,1450,916,102,257,116,59
25025110607,2770,1623,408,385,291,63
25025120103,966,694,89,150,19,14
25025120104,1301,785,188,293,16,19
25025120105,1210,847,73,253,37,0
25025120201,2687,1322,606,478,137,144
25025120301,2932,1427,602,633,123,147
25025120400,3644,2908,155,490,91,0
25025120500,1383,693,303,257,82,48
25025120600,1752,1228,210,219,15,80
25025120700,1413,924,272,183,32,2
25025130100,2519,1364,391,517,103,144
25025130200,2815,1497,422,530,233,133
25025130300,2544,1592,392,408,118,34
25025130402,2589,1450,414,530,120,75
25025130404,1517,669,271,520,22,35
25025130406,2505,1198,517,564,114,112
25025140102,2182,713,522,594,230,123
25025140105,2131,858,415,548,140,170
25025140106,789,198,303,244,19,25
25025140107,1376,528,345,342,58,103
25025140201,1368,505,366,451,41,5
25025140202,2797,1290,717,471,140,179
25025140300,3080,806,968,740,221,345
25025140400,4104,1203,1049,1236,217,399
25025160101,3779,592,1207,600,478,902
25025160200,1335,224,468,296,56,291
25025160300,1203,555,223,297,71,57
25025160400,1121,47,357,211,146,360
25025160501,2309,276,764,476,272,521
25025160502,1664,399,356,481,173,255
25025160601,1931,411,315,487,212,506
25025160602,2125,514,411,745,217,238
25025170100,3082,760,826,959,234,303
25025170200,2090,559,518,489,204,320
25025170300,4417,1003,889,1423,557,545
25025170400,2701,643,733,838,96,391
25025170501,1688,725,337,302,115,209
25025170502,1306,456,137,346,211,156
25025170601,2653,596,551,974,280,252
25025170701,805,185,268,302,10,40
25025170702,3342,461,820,756,433,872
25025170800,2222,574,692,510,251,195
25025180101,2433,1032,462,616,209,114
25025180200,1908,847,265,535,154,107
25025180301,1747,663,301,630,56,97
25025180400,872,232,228,248,82,82
25025180500,2203,874,389,580,212,148
25025980101,119,12,48,34,7,18
25025980300,62,0,23,13,12,14
25025980700,0,0,0,0,0,0
25025981000,0,0,0,0,0,0
25025981100,12,0,12,0,0,0
25025981201,0,0,0,0,0,0
25025981202,0,0,0,0,0,0
25025981300,223,139,0,65,0,19
25025981501,0,0,0,0,0,0
25025981502,26,0,26,0,0,0
25025981600,0,0,0,0,0,0
25025981700,0,0,0,0,0,0
25025981800,78,69,0,9,0,0
25025990101,146,21,103,22,0,0
