"GEO_ID","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Now married","Margin of Error!!Total!!Male!!Now married","Estimate!!Total!!Male!!Now married!!Married, spouse present","Margin of Error!!Total!!Male!!Now married!!Married, spouse present","Estimate!!Total!!Male!!Now married!!Married, spouse absent","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Male!!Widowed","Margin of Error!!Total!!Male!!Widowed","Estimate!!Total!!Male!!Divorced","Margin of Error!!Total!!Male!!Divorced","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Now married","Margin of Error!!Total!!Female!!Now married","Estimate!!Total!!Female!!Now married!!Married, spouse present","Margin of Error!!Total!!Female!!Now married!!Married, spouse present","Estimate!!Total!!Female!!Now married!!Married, spouse absent","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Female!!Widowed","Margin of Error!!Total!!Female!!Widowed","Estimate!!Total!!Female!!Divorced","Margin of Error!!Total!!Female!!Divorced","Geographic Area Name"
"1400000US25009250800","5149","418","2471","384","1032","314","1179","231","912","191","267","159","155","137","112","87","55","69","205","126","2678","272","1317","308","1070","204","846","174","224","129","154","101","70","71","120","75","171","96","Census Tract 2508, Essex County, Massachusetts"
"1400000US25009250900","1609","169","754","101","357","118","367","106","315","106","52","50","6","11","46","49","9","18","21","25","855","129","316","102","358","94","270","86","88","95","88","95","0","127","84","53","97","57","Census Tract 2509, Essex County, Massachusetts"
"1400000US25009251000","1226","252","492","181","302","124","168","95","137","82","31","50","0","127","31","50","12","19","10","15","734","144","351","106","205","93","123","70","82","74","44","55","38","49","97","81","81","58","Census Tract 2510, Essex County, Massachusetts"
"1400000US25009251100","1985","226","713","135","247","101","269","104","196","87","73","59","44","46","29","37","102","54","95","62","1272","233","490","150","296","93","178","80","118","65","39","41","79","54","343","129","143","80","Census Tract 2511, Essex County, Massachusetts"
"1400000US25009251200","1123","171","545","129","327","112","120","65","88","50","32","49","0","127","32","49","10","16","88","59","578","130","263","119","156","76","77","44","79","69","47","52","32","50","44","39","115","67","Census Tract 2512, Essex County, Massachusetts"
"1400000US25009251300","2219","326","927","216","481","158","383","157","221","113","162","107","78","60","84","88","0","127","63","57","1292","188","575","160","408","108","189","100","219","90","135","63","84","71","108","59","201","88","Census Tract 2513, Essex County, Massachusetts"
"1400000US25009251400","3583","342","1684","263","1029","288","509","153","435","145","74","59","33","41","41","45","38","33","108","62","1899","244","945","216","626","144","415","133","211","93","125","82","86","74","72","39","256","129","Census Tract 2514, Essex County, Massachusetts"
"1400000US25009251500","4798","559","2401","446","958","292","1097","216","772","178","325","215","119","115","206","154","78","57","268","156","2397","323","1044","267","901","141","705","165","196","127","129","103","67","79","114","71","338","133","Census Tract 2515, Essex County, Massachusetts"
"1400000US25009251600","4077","408","1870","265","947","196","639","139","518","143","121","73","27","35","94","68","82","67","202","124","2207","234","989","250","681","151","470","131","211","96","69","51","142","82","263","93","274","123","Census Tract 2516, Essex County, Massachusetts"
"1400000US25009251700","3533","289","1772","265","774","177","790","213","578","147","212","156","57","59","155","144","9","15","199","90","1761","174","742","177","669","141","533","131","136","74","88","62","48","43","133","74","217","95","Census Tract 2517, Essex County, Massachusetts"
