"GEO_ID","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Geographic Area Name"
"1400000US25017316102","2188","89","10","15","157","95","252","115","93","56","647","148","407","119","429","128","61","42","132","70","Census Tract 3161.02, Middlesex County, Massachusetts"
"1400000US25017316201","1398","48","98","53","23","24","80","43","127","59","183","65","540","108","169","74","48","34","130","62","Census Tract 3162.01, Middlesex County, Massachusetts"
"1400000US25017316202","1424","50","135","76","122","55","163","65","107","54","122","48","313","81","116","52","31","28","315","96","Census Tract 3162.02, Middlesex County, Massachusetts"
"1400000US25017316300","3309","91","240","107","231","112","361","141","396","147","638","165","305","135","550","153","136","90","452","140","Census Tract 3163, Middlesex County, Massachusetts"
"1400000US25017316400","2005","57","61","67","197","61","252","88","115","59","206","80","372","96","317","109","199","71","286","92","Census Tract 3164, Middlesex County, Massachusetts"
"1400000US25017316500","2228","111","62","45","17","27","237","88","143","85","251","98","331","116","365","138","155","93","667","143","Census Tract 3165, Middlesex County, Massachusetts"
"1400000US25017317101","2854","79","32","32","172","80","492","158","664","167","317","112","365","89","217","81","134","67","461","110","Census Tract 3171.01, Middlesex County, Massachusetts"
"1400000US25017317102","1627","56","7","12","35","23","202","74","269","85","139","72","433","104","210","74","13","16","319","84","Census Tract 3171.02, Middlesex County, Massachusetts"
"1400000US25017317103","1790","56","33","47","32","29","79","37","117","47","255","77","936","112","250","72","13","19","75","45","Census Tract 3171.03, Middlesex County, Massachusetts"
"1400000US25017317201","1032","29","0","127","0","127","36","33","55","36","166","72","686","87","14","22","23","25","52","33","Census Tract 3172.01, Middlesex County, Massachusetts"
"1400000US25017317202","1254","35","0","127","47","35","87","45","40","30","211","64","577","90","212","69","40","29","40","35","Census Tract 3172.02, Middlesex County, Massachusetts"
"1400000US25017317203","1621","64","29","22","0","127","147","74","214","67","162","51","159","57","475","103","107","45","328","87","Census Tract 3172.03, Middlesex County, Massachusetts"
