"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25021402400","5716","255","4992","319","116","102","55","65","381","117","172","102","Census Tract 4024, Norfolk County, Massachusetts"
"1400000US25021402500","4279","285","3789","270","26","33","39","30","283","110","142","88","Census Tract 4025, Norfolk County, Massachusetts"
"1400000US25021403100","6827","279","6210","306","79","113","28","31","450","145","60","50","Census Tract 4031, Norfolk County, Massachusetts"
"1400000US25021403300","3989","293","3681","282","18","30","10","17","190","102","90","62","Census Tract 4033, Norfolk County, Massachusetts"
"1400000US25021403400","6542","342","5800","346","11","18","101","56","441","161","189","118","Census Tract 4034, Norfolk County, Massachusetts"
"1400000US25021403500","5529","266","4423","313","0","127","14","22","883","212","209","133","Census Tract 4035, Norfolk County, Massachusetts"
"1400000US25021404100","3695","331","3039","291","9","17","0","127","371","129","276","158","Census Tract 4041, Norfolk County, Massachusetts"
"1400000US25021404201","3343","217","3028","192","8","13","0","127","72","54","235","168","Census Tract 4042.01, Norfolk County, Massachusetts"
"1400000US25021404202","5029","675","3760","423","60","66","179","148","408","143","622","290","Census Tract 4042.02, Norfolk County, Massachusetts"
"1400000US25021404301","4965","297","4437","311","18","21","100","74","250","89","160","79","Census Tract 4043.01, Norfolk County, Massachusetts"
"1400000US25021404302","3356","299","2512","281","17","19","26","22","488","155","313","207","Census Tract 4043.02, Norfolk County, Massachusetts"
"1400000US25021404400","7235","536","5823","503","15","25","158","88","680","182","559","190","Census Tract 4044, Norfolk County, Massachusetts"
"1400000US25021405100","5528","44","4938","167","0","127","124","69","288","98","178","105","Census Tract 4051, Norfolk County, Massachusetts"
"1400000US25021406101","5610","204","5014","275","0","127","103","84","322","120","171","87","Census Tract 4061.01, Norfolk County, Massachusetts"
"1400000US25021406102","6366","200","6062","218","0","127","26","30","202","110","76","50","Census Tract 4061.02, Norfolk County, Massachusetts"
"1400000US25021407100","7824","21","7345","172","0","127","22","29","187","99","270","141","Census Tract 4071, Norfolk County, Massachusetts"
"1400000US25021408101","8065","198","7386","316","0","127","25","29","394","137","260","184","Census Tract 4081.01, Norfolk County, Massachusetts"
"1400000US25021408102","4532","198","4213","193","22","25","64","42","200","94","33","30","Census Tract 4081.02, Norfolk County, Massachusetts"
"1400000US25021409101","6399","526","5594","310","159","64","46","38","154","81","446","297","Census Tract 4091.01, Norfolk County, Massachusetts"
"1400000US25021409102","4655","527","4322","503","10","16","19","24","111","59","193","105","Census Tract 4091.02, Norfolk County, Massachusetts"
"1400000US25021410100","6080","310","5928","323","0","127","0","127","72","69","80","77","Census Tract 4101, Norfolk County, Massachusetts"
"1400000US25021410300","4229","224","3875","238","41","60","17","20","250","91","46","41","Census Tract 4103, Norfolk County, Massachusetts"
"1400000US25021410400","6312","321","5894","383","18","27","0","127","255","130","145","93","Census Tract 4104, Norfolk County, Massachusetts"
"1400000US25021411100","8199","407","7622","399","34","48","28","46","206","118","309","181","Census Tract 4111, Norfolk County, Massachusetts"
"1400000US25021411200","6153","482","5603","494","9","17","1","9","338","174","202","130","Census Tract 4112, Norfolk County, Massachusetts"
"1400000US25021411301","5336","349","4880","389","14","23","26","31","333","135","83","68","Census Tract 4113.01, Norfolk County, Massachusetts"
"1400000US25021411302","3985","252","3662","267","38","20","42","52","140","94","103","80","Census Tract 4113.02, Norfolk County, Massachusetts"
"1400000US25021412100","5910","224","5529","278","0","127","30","25","252","101","99","66","Census Tract 4121, Norfolk County, Massachusetts"
"1400000US25021412200","3790","169","3428","237","0","127","0","127","258","105","104","118","Census Tract 4122, Norfolk County, Massachusetts"
"1400000US25021412300","4705","210","4021","226","0","127","38","39","471","147","175","95","Census Tract 4123, Norfolk County, Massachusetts"
"1400000US25021413100","5642","346","4571","370","83","75","10","16","474","209","504","271","Census Tract 4131, Norfolk County, Massachusetts"
"1400000US25021413200","6103","416","5252","424","30","34","33","39","455","201","333","163","Census Tract 4132, Norfolk County, Massachusetts"
"1400000US25021413300","4817","248","4227","283","0","127","19","23","323","114","248","138","Census Tract 4133, Norfolk County, Massachusetts"
"1400000US25021413401","3445","342","3173","382","0","127","22","27","104","68","146","102","Census Tract 4134.01, Norfolk County, Massachusetts"
"1400000US25021413402","4160","426","3182","429","0","127","26","36","167","132","785","268","Census Tract 4134.02, Norfolk County, Massachusetts"
"1400000US25021413500","4208","390","3000","282","0","127","63","55","382","141","763","303","Census Tract 4135, Norfolk County, Massachusetts"
"1400000US25021414100","5358","232","4211","231","9","16","23","28","628","164","487","214","Census Tract 4141, Norfolk County, Massachusetts"
"1400000US25021414200","7443","242","6464","269","0","127","39","36","572","180","368","145","Census Tract 4142, Norfolk County, Massachusetts"
"1400000US25021414300","4634","267","3845","327","11","18","65","47","398","162","315","113","Census Tract 4143, Norfolk County, Massachusetts"
"1400000US25021415101","4175","239","3647","301","16","24","8","13","377","143","127","72","Census Tract 4151.01, Norfolk County, Massachusetts"
"1400000US25021415102","7454","378","6348","419","36","56","23","26","661","187","386","151","Census Tract 4151.02, Norfolk County, Massachusetts"
"1400000US25021415200","5993","491","5391","452","0","127","42","52","456","211","104","85","Census Tract 4152, Norfolk County, Massachusetts"
"1400000US25021415300","3624","234","3446","235","0","127","0","127","149","92","29","29","Census Tract 4153, Norfolk County, Massachusetts"
"1400000US25021416101","5456","293","4868","341","0","127","49","71","439","204","100","78","Census Tract 4161.01, Norfolk County, Massachusetts"
"1400000US25021416102","3206","383","2800","430","15","24","70","78","249","145","72","78","Census Tract 4161.02, Norfolk County, Massachusetts"
"1400000US25021416200","7055","477","6049","487","71","91","64","70","532","151","339","134","Census Tract 4162, Norfolk County, Massachusetts"
"1400000US25021416300","4830","369","4296","352","41","52","35","29","272","110","186","99","Census Tract 4163, Norfolk County, Massachusetts"
"1400000US25021416400","6120","304","5439","297","0","127","52","42","513","151","116","92","Census Tract 4164, Norfolk County, Massachusetts"
"1400000US25021417100","4500","291","3365","316","26","36","6","12","738","147","365","230","Census Tract 4171, Norfolk County, Massachusetts"
"1400000US25021417200","7883","564","4554","464","0","127","14","23","1645","365","1670","387","Census Tract 4172, Norfolk County, Massachusetts"
