"GEO_ID","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Geographic Area Name"
"1400000US25009201100","3431","15","3210","153","119","136","0","127","58","78","0","127","34","31","10","17","0","127","10","17","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","2150","307","2127","311","0","127","0","127","0","127","0","127","23","35","0","127","0","127","0","127","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","5889","279","5459","361","164","116","0","127","75","78","0","127","152","138","39","42","0","127","39","42","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","5780","260","5563","274","26","29","49","78","75","82","0","127","48","48","19","29","0","127","19","29","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","6592","259","6446","284","90","105","0","127","34","41","0","127","0","127","22","26","0","127","22","26","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","4397","259","4263","267","0","127","0","127","75","66","0","127","59","65","0","127","0","127","0","127","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","4210","250","4045","246","0","127","44","58","74","51","0","127","11","19","36","42","0","127","36","42","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","4598","349","4461","348","0","127","0","127","39","37","0","127","0","127","98","89","0","127","98","89","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","4827","561","4219","515","124","98","0","127","69","63","0","127","334","225","81","56","22","27","59","50","Census Tract 2041.01, Essex County, Massachusetts"
