"GEO_ID","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Geographic Area Name"
"1400000US25009201100","1507","134","1082","143","425","81","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","762","73","640","99","122","62","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","2555","118","1875","175","680","157","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","2256","108","1825","116","431","109","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","2236","125","2041","143","195","97","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","1816","104","1478","115","338","90","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","1891","89","1330","121","561","124","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","2133","115","1508","138","625","149","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","1779","102","831","134","948","144","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","1861","105","1421","116","440","113","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","2388","120","1000","162","1388","179","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","1560","113","425","89","1135","134","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","1570","140","917","130","653","153","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","1595","134","844","123","751","123","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","2058","122","1272","151","786","158","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","2478","138","1310","151","1168","174","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","2245","138","1264","164","981","216","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","2085","129","1621","156","464","162","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","2087","111","1295","169","792","169","Census Tract 2052, Essex County, Massachusetts"
"1400000US25009205300","1658","74","1384","122","274","115","Census Tract 2053, Essex County, Massachusetts"
"1400000US25009205400","1715","64","1640","67","75","51","Census Tract 2054, Essex County, Massachusetts"
"1400000US25009205500","1578","98","930","106","648","116","Census Tract 2055, Essex County, Massachusetts"
"1400000US25009205600","1553","88","785","111","768","128","Census Tract 2056, Essex County, Massachusetts"
"1400000US25009205700","1646","120","1173","161","473","151","Census Tract 2057, Essex County, Massachusetts"
"1400000US25009205800","1134","107","506","107","628","137","Census Tract 2058, Essex County, Massachusetts"
"1400000US25009205900","1474","116","723","114","751","146","Census Tract 2059, Essex County, Massachusetts"
"1400000US25009206000","1029","90","281","90","748","111","Census Tract 2060, Essex County, Massachusetts"
"1400000US25009206100","1334","121","264","116","1070","137","Census Tract 2061, Essex County, Massachusetts"
"1400000US25009206200","1580","133","470","107","1110","167","Census Tract 2062, Essex County, Massachusetts"
"1400000US25009206300","1222","104","532","106","690","110","Census Tract 2063, Essex County, Massachusetts"
"1400000US25009206400","1959","110","1279","143","680","156","Census Tract 2064, Essex County, Massachusetts"
"1400000US25009206500","1027","95","407","107","620","119","Census Tract 2065, Essex County, Massachusetts"
"1400000US25009206600","2025","96","836","176","1189","181","Census Tract 2066, Essex County, Massachusetts"
"1400000US25009206700","1917","130","740","119","1177","157","Census Tract 2067, Essex County, Massachusetts"
"1400000US25009206800","1419","117","255","89","1164","134","Census Tract 2068, Essex County, Massachusetts"
