"GEO_ID","B25077_001E","B25077_001M","NAME"
"id","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Geographic Area Name"
"1400000US25009221700","325500","16903","Census Tract 2217, Essex County, Massachusetts"
"1400000US25009221800","412700","67851","Census Tract 2218, Essex County, Massachusetts"
"1400000US25009221901","421600","42444","Census Tract 2219.01, Essex County, Massachusetts"
"1400000US25009221902","425000","70620","Census Tract 2219.02, Essex County, Massachusetts"
"1400000US25009222100","498400","61776","Census Tract 2221, Essex County, Massachusetts"
"1400000US25009223100","544700","45055","Census Tract 2231, Essex County, Massachusetts"
"1400000US25009223200","376500","17704","Census Tract 2232, Essex County, Massachusetts"
"1400000US25009223300","464600","35131","Census Tract 2233, Essex County, Massachusetts"
"1400000US25009250100","-","**","Census Tract 2501, Essex County, Massachusetts"
"1400000US25009250200","262600","42825","Census Tract 2502, Essex County, Massachusetts"
"1400000US25009250300","285800","83668","Census Tract 2503, Essex County, Massachusetts"
"1400000US25009250400","240200","93086","Census Tract 2504, Essex County, Massachusetts"
"1400000US25009250500","218600","31245","Census Tract 2505, Essex County, Massachusetts"
"1400000US25009250600","262700","62646","Census Tract 2506, Essex County, Massachusetts"
"1400000US25009250700","263800","34702","Census Tract 2507, Essex County, Massachusetts"
"1400000US25009250800","304300","32288","Census Tract 2508, Essex County, Massachusetts"
"1400000US25009250900","178700","351440","Census Tract 2509, Essex County, Massachusetts"
"1400000US25009251000","312500","217203","Census Tract 2510, Essex County, Massachusetts"
"1400000US25009251100","244400","387477","Census Tract 2511, Essex County, Massachusetts"
"1400000US25009251200","164300","140807","Census Tract 2512, Essex County, Massachusetts"
"1400000US25009251300","198100","29349","Census Tract 2513, Essex County, Massachusetts"
"1400000US25009251400","245500","44722","Census Tract 2514, Essex County, Massachusetts"
"1400000US25009251500","244000","24891","Census Tract 2515, Essex County, Massachusetts"
"1400000US25009251600","268300","39917","Census Tract 2516, Essex County, Massachusetts"
"1400000US25009251700","279600","28940","Census Tract 2517, Essex County, Massachusetts"
"1400000US25009251800","254100","17493","Census Tract 2518, Essex County, Massachusetts"
"1400000US25009252101","254500","25075","Census Tract 2521.01, Essex County, Massachusetts"
"1400000US25009252102","358500","22638","Census Tract 2521.02, Essex County, Massachusetts"
"1400000US25009252201","306600","20923","Census Tract 2522.01, Essex County, Massachusetts"
"1400000US25009252202","360700","16464","Census Tract 2522.02, Essex County, Massachusetts"
"1400000US25009252300","288000","37399","Census Tract 2523, Essex County, Massachusetts"
"1400000US25009252400","240100","23458","Census Tract 2524, Essex County, Massachusetts"
"1400000US25009252501","269000","18479","Census Tract 2525.01, Essex County, Massachusetts"
"1400000US25009252502","312600","15576","Census Tract 2525.02, Essex County, Massachusetts"
"1400000US25009252601","283100","15368","Census Tract 2526.01, Essex County, Massachusetts"
"1400000US25009252602","385800","33242","Census Tract 2526.02, Essex County, Massachusetts"
"1400000US25009252603","358000","29263","Census Tract 2526.03, Essex County, Massachusetts"
"1400000US25009253100","340000","22299","Census Tract 2531, Essex County, Massachusetts"
"1400000US25009253201","342100","21790","Census Tract 2532.01, Essex County, Massachusetts"
"1400000US25009253202","308900","34495","Census Tract 2532.02, Essex County, Massachusetts"
"1400000US25009253203","582100","33171","Census Tract 2532.03, Essex County, Massachusetts"
"1400000US25009253204","572600","37223","Census Tract 2532.04, Essex County, Massachusetts"
"1400000US25009253205","617400","28215","Census Tract 2532.05, Essex County, Massachusetts"
"1400000US25009254100","431700","20442","Census Tract 2541, Essex County, Massachusetts"
"1400000US25009254200","480900","23277","Census Tract 2542, Essex County, Massachusetts"
"1400000US25009254301","598500","32124","Census Tract 2543.01, Essex County, Massachusetts"
"1400000US25009254302","591600","26643","Census Tract 2543.02, Essex County, Massachusetts"
"1400000US25009254401","539800","39246","Census Tract 2544.01, Essex County, Massachusetts"
"1400000US25009254402","628000","32471","Census Tract 2544.02, Essex County, Massachusetts"
"1400000US25009254403","626200","20206","Census Tract 2544.03, Essex County, Massachusetts"
"1400000US25009260100","199500","28986","Census Tract 2601, Essex County, Massachusetts"
"1400000US25009260200","273400","64332","Census Tract 2602, Essex County, Massachusetts"
"1400000US25009260301","289500","12880","Census Tract 2603.01, Essex County, Massachusetts"
"1400000US25009260302","340000","19135","Census Tract 2603.02, Essex County, Massachusetts"
"1400000US25009260401","290600","24226","Census Tract 2604.01, Essex County, Massachusetts"
"1400000US25009260402","309700","20717","Census Tract 2604.02, Essex County, Massachusetts"
"1400000US25009260500","306100","16344","Census Tract 2605, Essex County, Massachusetts"
"1400000US25009260600","269000","15852","Census Tract 2606, Essex County, Massachusetts"
"1400000US25009260700","257600","14773","Census Tract 2607, Essex County, Massachusetts"
"1400000US25009260800","276400","25500","Census Tract 2608, Essex County, Massachusetts"
"1400000US25009260900","237800","14933","Census Tract 2609, Essex County, Massachusetts"
"1400000US25009261000","276300","21523","Census Tract 2610, Essex County, Massachusetts"
"1400000US25009261101","362800","14791","Census Tract 2611.01, Essex County, Massachusetts"
"1400000US25009261102","249700","14777","Census Tract 2611.02, Essex County, Massachusetts"
"1400000US25009262100","351800","24955","Census Tract 2621, Essex County, Massachusetts"
"1400000US25009263100","496000","33492","Census Tract 2631, Essex County, Massachusetts"
"1400000US25009264100","369700","14428","Census Tract 2641, Essex County, Massachusetts"
"1400000US25009265101","413000","42019","Census Tract 2651.01, Essex County, Massachusetts"
"1400000US25009265102","472200","23767","Census Tract 2651.02, Essex County, Massachusetts"
"1400000US25009266100","378400","20032","Census Tract 2661, Essex County, Massachusetts"
"1400000US25009266200","279700","25878","Census Tract 2662, Essex County, Massachusetts"
"1400000US25009266300","330900","21358","Census Tract 2663, Essex County, Massachusetts"
"1400000US25009266400","326800","25824","Census Tract 2664, Essex County, Massachusetts"
