"GEO_ID","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Geographic Area Name"
"1400000US25017317103","2622","199","2419","205","2283","213","136","82","136","82","0","127","0","127","0","127","0","127","51","34","7","13","0","127","22","25","22","26","0","127","0","127","0","127","0","127","8","12","0","127","144","63","Census Tract 3171.03, Middlesex County, Massachusetts"
"1400000US25017317201","1408","145","1306","154","1236","143","70","43","58","37","0","127","0","127","0","127","12","21","39","36","0","127","0","127","0","127","39","36","0","127","0","127","0","127","11","17","0","127","11","17","41","41","Census Tract 3172.01, Middlesex County, Massachusetts"
"1400000US25017317202","1644","155","1546","153","1416","140","130","75","130","75","0","127","0","127","0","127","0","127","65","47","17","26","0","127","11","17","37","33","0","127","0","127","0","127","12","19","0","127","0","127","21","23","Census Tract 3172.02, Middlesex County, Massachusetts"
"1400000US25017317203","1778","160","1594","165","1454","167","140","91","107","75","33","53","0","127","0","127","0","127","58","52","0","127","0","127","0","127","58","52","0","127","14","20","0","127","0","127","0","127","24","37","88","49","Census Tract 3172.03, Middlesex County, Massachusetts"
"1400000US25017317301","1143","167","966","185","906","184","60","52","60","52","0","127","0","127","0","127","0","127","78","69","19","28","0","127","0","127","59","48","0","127","0","127","8","13","0","127","28","34","0","127","63","61","Census Tract 3173.01, Middlesex County, Massachusetts"
"1400000US25017317302","3188","276","3002","275","2774","276","228","115","213","112","0","127","0","127","0","127","15","24","53","51","0","127","0","127","0","127","53","51","0","127","0","127","0","127","0","127","0","127","0","127","133","75","Census Tract 3173.02, Middlesex County, Massachusetts"
"1400000US25017318100","3003","216","2739","213","2576","219","163","84","124","79","27","31","0","127","12","18","0","127","41","38","0","127","0","127","9","16","32","35","0","127","0","127","10","16","9","15","0","127","0","127","204","99","Census Tract 3181, Middlesex County, Massachusetts"
"1400000US25017318200","1880","172","1761","169","1602","156","159","63","131","52","28","44","0","127","0","127","0","127","23","24","0","127","0","127","0","127","23","24","0","127","0","127","0","127","0","127","8","13","17","22","71","42","Census Tract 3182, Middlesex County, Massachusetts"
"1400000US25017318300","3702","202","3205","222","2932","218","273","120","264","120","0","127","9","14","0","127","0","127","64","49","17","27","0","127","0","127","47","50","0","127","0","127","0","127","0","127","0","127","0","127","433","163","Census Tract 3183, Middlesex County, Massachusetts"
"1400000US25017318400","1829","165","1635","165","1547","173","88","46","58","42","0","127","14","23","0","127","16","25","38","36","0","127","0","127","14","23","24","27","0","127","0","127","0","127","0","127","34","31","7","11","115","61","Census Tract 3184, Middlesex County, Massachusetts"
"1400000US25017320102","2378","140","2001","160","1881","162","120","61","106","57","14","21","0","127","0","127","0","127","77","46","0","127","0","127","0","127","77","46","0","127","0","127","0","127","0","127","49","41","15","24","236","81","Census Tract 3201.02, Middlesex County, Massachusetts"
"1400000US25017320103","1279","107","1085","123","1036","125","49","57","49","57","0","127","0","127","0","127","0","127","71","67","0","127","0","127","0","127","71","67","0","127","0","127","0","127","0","127","75","87","0","127","48","40","Census Tract 3201.03, Middlesex County, Massachusetts"
