"GEO_ID","B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Geographic Area Name"
"1400000US25017374400","41.5","2.1","47.0","2.5","35.5","2.7","Census Tract 3744, Middlesex County, Massachusetts"
"1400000US25017374500","39.9","1.3","42.8","1.8","36.7","1.7","Census Tract 3745, Middlesex County, Massachusetts"
"1400000US25017374600","38.7","1.4","41.0","1.9","36.2","2.2","Census Tract 3746, Middlesex County, Massachusetts"
"1400000US25017374700","40.5","1.2","43.1","1.4","37.6","1.8","Census Tract 3747, Middlesex County, Massachusetts"
"1400000US25017374800","36.1","1.8","42.3","2.6","31.7","2.4","Census Tract 3748, Middlesex County, Massachusetts"
"1400000US25017382100","38.6","1.1","43.8","1.6","33.1","1.6","Census Tract 3821, Middlesex County, Massachusetts"
"1400000US25017382200","40.5","1.5","43.6","2.3","37.5","2.0","Census Tract 3822, Middlesex County, Massachusetts"
"1400000US25017382300","39.9","2.0","42.1","2.4","37.1","3.1","Census Tract 3823, Middlesex County, Massachusetts"
"1400000US25017382400","37.5","1.4","42.4","1.8","32.2","1.9","Census Tract 3824, Middlesex County, Massachusetts"
"1400000US25017382500","40.0","1.8","43.3","2.4","35.3","2.1","Census Tract 3825, Middlesex County, Massachusetts"
"1400000US25017382601","39.8","1.4","40.6","1.7","38.9","2.3","Census Tract 3826.01, Middlesex County, Massachusetts"
"1400000US25017382602","36.9","2.1","41.1","2.9","33.0","2.1","Census Tract 3826.02, Middlesex County, Massachusetts"
"1400000US25017383101","39.0","2.6","41.0","3.8","36.5","3.6","Census Tract 3831.01, Middlesex County, Massachusetts"
"1400000US25017383102","35.3","2.3","37.9","3.6","32.9","2.5","Census Tract 3831.02, Middlesex County, Massachusetts"
"1400000US25017383200","39.6","1.5","42.4","1.6","36.0","2.3","Census Tract 3832, Middlesex County, Massachusetts"
"1400000US25017383300","39.3","2.1","42.1","2.6","35.8","2.5","Census Tract 3833, Middlesex County, Massachusetts"
"1400000US25017383400","39.3","1.6","41.9","2.1","36.2","2.2","Census Tract 3834, Middlesex County, Massachusetts"
"1400000US25017383501","37.9","2.0","41.8","2.0","33.3","3.5","Census Tract 3835.01, Middlesex County, Massachusetts"
"1400000US25017383502","30.2","2.1","34.6","3.0","27.6","2.3","Census Tract 3835.02, Middlesex County, Massachusetts"
"1400000US25017383600","38.6","1.4","41.0","2.2","36.1","1.8","Census Tract 3836, Middlesex County, Massachusetts"
"1400000US25017383700","38.7","1.5","40.6","1.8","36.7","2.8","Census Tract 3837, Middlesex County, Massachusetts"
"1400000US25017383800","39.6","1.8","42.3","2.5","36.8","2.3","Census Tract 3838, Middlesex County, Massachusetts"
"1400000US25017383901","38.6","1.3","43.8","1.9","33.5","2.1","Census Tract 3839.01, Middlesex County, Massachusetts"
"1400000US25017383902","38.4","1.5","42.5","2.2","33.6","2.1","Census Tract 3839.02, Middlesex County, Massachusetts"
"1400000US25017384001","41.6","3.3","47.4","5.1","38.1","3.4","Census Tract 3840.01, Middlesex County, Massachusetts"
"1400000US25017384002","40.5","1.4","44.3","2.1","35.4","2.6","Census Tract 3840.02, Middlesex County, Massachusetts"
"1400000US25017385100","38.8","1.5","42.9","1.5","34.3","2.3","Census Tract 3851, Middlesex County, Massachusetts"
"1400000US25017385201","37.9","2.0","39.6","2.6","35.9","2.6","Census Tract 3852.01, Middlesex County, Massachusetts"
"1400000US25017385202","40.2","1.2","42.5","1.6","37.8","1.7","Census Tract 3852.02, Middlesex County, Massachusetts"
"1400000US25017386100","39.2","1.4","41.6","2.0","36.1","2.1","Census Tract 3861, Middlesex County, Massachusetts"
"1400000US25017387100","37.9","1.6","42.6","2.0","32.6","2.2","Census Tract 3871, Middlesex County, Massachusetts"
"1400000US25017387201","38.5","1.8","42.5","2.4","33.8","2.0","Census Tract 3872.01, Middlesex County, Massachusetts"
"1400000US25017387202","40.0","1.4","44.8","1.9","34.0","2.4","Census Tract 3872.02, Middlesex County, Massachusetts"
"1400000US25017388100","38.9","1.2","42.7","1.4","34.0","2.1","Census Tract 3881, Middlesex County, Massachusetts"
"1400000US25017388200","37.3","1.6","39.5","2.0","34.6","2.0","Census Tract 3882, Middlesex County, Massachusetts"
"1400000US25017388300","28.3","1.8","27.7","2.4","29.1","1.8","Census Tract 3883, Middlesex County, Massachusetts"
"1400000US25017980000","-","**","-","**","-","**","Census Tract 9800, Middlesex County, Massachusetts"
"1400000US25021400100","39.0","3.1","42.2","3.6","35.7","3.8","Census Tract 4001, Norfolk County, Massachusetts"
"1400000US25021400200","39.4","2.4","41.6","5.1","37.3","2.5","Census Tract 4002, Norfolk County, Massachusetts"
"1400000US25021400300","40.8","1.8","43.5","3.1","38.4","1.8","Census Tract 4003, Norfolk County, Massachusetts"
"1400000US25021400400","40.5","1.8","45.9","2.6","37.3","2.4","Census Tract 4004, Norfolk County, Massachusetts"
"1400000US25021400500","42.2","2.0","45.1","2.7","39.6","2.6","Census Tract 4005, Norfolk County, Massachusetts"
"1400000US25021400600","41.5","2.2","45.1","2.3","37.5","2.9","Census Tract 4006, Norfolk County, Massachusetts"
"1400000US25021400700","40.6","1.9","43.2","2.5","38.2","2.4","Census Tract 4007, Norfolk County, Massachusetts"
"1400000US25021400800","43.3","1.9","46.9","2.4","40.4","2.5","Census Tract 4008, Norfolk County, Massachusetts"
"1400000US25021400900","42.4","2.0","45.9","3.2","39.6","2.8","Census Tract 4009, Norfolk County, Massachusetts"
"1400000US25021401000","39.0","2.8","41.2","3.8","36.7","2.5","Census Tract 4010, Norfolk County, Massachusetts"
"1400000US25021401100","38.0","2.2","40.0","3.1","35.6","3.2","Census Tract 4011, Norfolk County, Massachusetts"
"1400000US25021401200","39.8","2.9","44.7","2.3","35.1","4.5","Census Tract 4012, Norfolk County, Massachusetts"
"1400000US25021402101","39.7","1.6","42.7","1.9","37.2","2.4","Census Tract 4021.01, Norfolk County, Massachusetts"
"1400000US25021402102","40.2","2.1","42.5","3.1","38.0","2.8","Census Tract 4021.02, Norfolk County, Massachusetts"
"1400000US25021402200","37.0","1.8","42.8","1.9","32.3","2.7","Census Tract 4022, Norfolk County, Massachusetts"
"1400000US25021402300","37.3","1.4","39.9","1.6","34.8","1.9","Census Tract 4023, Norfolk County, Massachusetts"
"1400000US25021402400","40.4","1.1","43.4","1.7","37.5","1.5","Census Tract 4024, Norfolk County, Massachusetts"
"1400000US25021402500","39.8","2.0","42.4","2.7","35.0","2.7","Census Tract 4025, Norfolk County, Massachusetts"
"1400000US25021403100","39.3","1.3","44.9","1.9","32.7","2.6","Census Tract 4031, Norfolk County, Massachusetts"
"1400000US25021403300","40.3","1.2","44.8","1.6","34.5","1.7","Census Tract 4033, Norfolk County, Massachusetts"
"1400000US25021403400","36.6","2.2","42.6","3.2","29.9","2.0","Census Tract 4034, Norfolk County, Massachusetts"
"1400000US25021403500","38.8","1.5","45.5","1.7","32.7","2.2","Census Tract 4035, Norfolk County, Massachusetts"
"1400000US25021404100","41.3","1.6","47.3","2.4","35.0","1.9","Census Tract 4041, Norfolk County, Massachusetts"
"1400000US25021404201","44.0","1.9","49.1","2.3","35.8","2.8","Census Tract 4042.01, Norfolk County, Massachusetts"
"1400000US25021404202","34.2","2.8","36.1","5.0","31.0","3.5","Census Tract 4042.02, Norfolk County, Massachusetts"
"1400000US25021404301","41.1","1.5","47.4","1.9","33.0","2.3","Census Tract 4043.01, Norfolk County, Massachusetts"
"1400000US25021404302","40.9","2.6","44.3","3.8","37.6","2.7","Census Tract 4043.02, Norfolk County, Massachusetts"
"1400000US25021404400","28.1","2.6","46.7","3.4","22.7","2.6","Census Tract 4044, Norfolk County, Massachusetts"
"1400000US25021405100","41.3","1.8","46.4","2.0","34.5","2.2","Census Tract 4051, Norfolk County, Massachusetts"
"1400000US25021406101","41.3","1.3","46.6","1.7","34.6","2.1","Census Tract 4061.01, Norfolk County, Massachusetts"
"1400000US25021406102","40.7","1.5","48.2","3.3","32.9","2.6","Census Tract 4061.02, Norfolk County, Massachusetts"
"1400000US25021407100","38.2","1.0","42.0","1.6","34.3","1.5","Census Tract 4071, Norfolk County, Massachusetts"
"1400000US25021408101","37.9","1.1","41.8","1.4","33.3","1.7","Census Tract 4081.01, Norfolk County, Massachusetts"
"1400000US25021408102","39.8","1.0","44.0","1.6","35.6","1.5","Census Tract 4081.02, Norfolk County, Massachusetts"
"1400000US25021409101","37.2","1.2","40.1","2.0","33.1","1.8","Census Tract 4091.01, Norfolk County, Massachusetts"
"1400000US25021409102","39.2","1.5","43.5","1.6","33.3","2.7","Census Tract 4091.02, Norfolk County, Massachusetts"
"1400000US25021410100","38.2","1.3","42.7","1.8","33.8","2.4","Census Tract 4101, Norfolk County, Massachusetts"
"1400000US25021410300","38.7","1.5","42.5","2.3","34.6","2.2","Census Tract 4103, Norfolk County, Massachusetts"
"1400000US25021410400","37.4","1.3","40.7","1.8","34.2","2.0","Census Tract 4104, Norfolk County, Massachusetts"
"1400000US25021411100","38.2","1.3","40.9","2.2","35.3","1.5","Census Tract 4111, Norfolk County, Massachusetts"
"1400000US25021411200","38.5","1.7","40.4","2.0","36.5","2.5","Census Tract 4112, Norfolk County, Massachusetts"
"1400000US25021411301","38.5","1.6","42.3","2.4","34.1","2.1","Census Tract 4113.01, Norfolk County, Massachusetts"
"1400000US25021411302","40.0","1.8","44.4","2.7","35.7","2.5","Census Tract 4113.02, Norfolk County, Massachusetts"
"1400000US25021412100","41.2","1.7","46.2","2.2","36.0","2.7","Census Tract 4121, Norfolk County, Massachusetts"
"1400000US25021412200","40.5","2.7","45.0","2.7","35.6","4.3","Census Tract 4122, Norfolk County, Massachusetts"
"1400000US25021412300","38.8","1.5","44.2","1.4","33.1","2.5","Census Tract 4123, Norfolk County, Massachusetts"
"1400000US25021413100","38.7","1.3","40.9","1.7","36.0","2.1","Census Tract 4131, Norfolk County, Massachusetts"
"1400000US25021413200","40.0","1.2","43.3","1.6","36.8","2.0","Census Tract 4132, Norfolk County, Massachusetts"
"1400000US25021413300","38.1","1.3","42.0","2.1","34.3","1.8","Census Tract 4133, Norfolk County, Massachusetts"
