,House Prices 2019,Percentage with Bachelor Degree or Higher 2019,Percentage Professional Workers 2019,Household Income 2019,Contract Rent 2019
0,554400.0,20.937642239417386,53.261171246183736,90980.0,1785.0
1,593400.0,24.495770982433314,58.1185135587546,93583.0,2010.0
2,620000.0,18.684025334271638,53.57841220179898,79783.0,1706.0
3,562200.0,18.351409978308027,59.77842003853564,126845.0,2232.0
4,501900.0,32.04292832502875,59.93761140819964,101958.0,1990.0
5,620400.0,26.258680555555557,65.08422664624808,72739.0,1505.0
6,608700.0,37.4812030075188,68.23238566131026,94063.0,1793.0
7,540800.0,40.50802139037433,57.6837416481069,65455.0,1615.0
8,362700.0,42.951015531660694,76.36010362694302,74242.0,1778.0
9,456600.0,33.82984094925524,72.38314680710994,62148.0,1603.0
10,395700.0,21.33378700238176,57.60908123448031,87500.0,1704.0
11,,,,,
12,424800.0,36.25332938739272,60.61145740575839,67181.0,1795.0
13,382500.0,44.92532764401097,73.30112721417069,63761.0,1770.0
14,607900.0,21.313390979200747,49.66145225309362,60772.0,1780.0
15,345200.0,39.03420523138833,50.0,32464.0,1785.0
16,813100.0,44.92563429571304,59.56491712707182,58750.0,1881.0
17,448000.0,37.27672793165933,69.94289149383829,41544.0,2037.0
18,488900.0,44.33150899139953,55.72289156626506,41667.0,1811.0
19,375000.0,44.25612052730697,33.051529790660226,43313.0,1790.0
20,,,,,
21,566800.0,36.788990825688074,46.23915139826422,26875.0,1779.0
22,609400.0,11.278195488721805,42.252456538170826,19000.0,527.0
23,528100.0,54.36543654365437,75.49857549857549,66389.0,1957.0
24,937500.0,39.7009165460685,72.91154791154791,54278.0,2094.0
25,1154900.0,47.14776632302405,77.07795560144554,89886.0,2549.0
26,1082300.0,44.48275862068966,66.723259762309,117875.0,1973.0
27,1153500.0,45.92941176470588,73.53279631760644,163938.0,2384.0
28,1431000.0,53.83609415867481,77.67616998386228,123594.0,2115.0
29,1083300.0,45.48886372215931,77.66652154984762,131518.0,2154.0
30,1185200.0,49.86907879076411,84.6999685830977,118250.0,2268.0
31,749100.0,36.85064935064935,80.02063273727647,94172.0,2053.0
32,544800.0,57.64241398759166,80.2962962962963,76563.0,2477.0
33,1015400.0,45.770065075921906,73.02013422818791,145625.0,2248.0
34,621700.0,41.27877237851663,79.79719188767551,106293.0,2825.0
35,588100.0,35.19029233314947,72.30857800805988,102426.0,1731.0
36,535500.0,22.77936962750716,72.79577995478523,95703.0,1747.0
37,1043300.0,37.68996960486322,74.31164901664145,143153.0,2782.0
38,790900.0,26.531671858774665,70.86161879895562,100281.0,1812.0
39,863000.0,34.4327836081959,67.9769392033543,117500.0,2002.0
40,,,,,
41,1003600.0,26.287471176018446,51.92519251925193,65500.0,817.0
42,697900.0,41.8421052631579,66.26865671641791,140313.0,1701.0
43,1001000.0,28.173515981735157,59.475218658892125,120234.0,1129.0
44,680000.0,40.80785201963005,67.58196721311475,142563.0,2332.0
45,691600.0,32.09840810419682,57.692307692307686,54917.0,622.0
46,415400.0,9.335071707953064,30.953206239168114,51230.0,1041.0
47,440100.0,8.79788639365918,20.108205590622184,60739.0,1375.0
48,,,,,
49,461800.0,14.300572022880914,38.346799254195155,67045.0,1467.0
50,284900.0,24.074074074074073,33.78684807256236,58910.0,1574.0
51,513200.0,9.867695700110254,21.469248291571756,67841.0,1385.0
52,504200.0,8.49624060150376,15.758640890451083,68384.0,1577.0
53,362200.0,7.040143798681846,15.595026642984013,56141.0,1395.0
54,441600.0,9.083019959502458,30.71512309495897,54174.0,1153.0
55,495300.0,6.24887448226184,23.089064261555805,69145.0,1439.0
56,473700.0,13.125512715340443,47.27547931382442,83952.0,1455.0
57,734700.0,29.267495094833222,67.52767527675276,132305.0,2008.0
58,601100.0,22.372881355932204,62.16385240775485,140592.0,2250.0
59,702400.0,24.976107040458746,65.75947039352702,134792.0,2049.0
60,630800.0,20.173878680102746,72.19938335046248,135750.0,1848.0
61,617600.0,25.357756153405838,65.86715867158671,137554.0,1617.0
62,669900.0,36.774699424986935,72.40651387213511,155379.0,3028.0
63,603000.0,24.26660408354846,71.62046298942555,124545.0,1794.0
64,682900.0,9.874826147426981,46.4797507788162,38056.0,525.0
65,732300.0,37.07253886010363,72.86184210526315,153869.0,2286.0
66,965000.0,45.7998825141962,68.56236270441786,85333.0,2498.0
67,700400.0,20.372216683283483,46.346830985915496,28646.0,802.0
68,1025400.0,48.113207547169814,73.92169873921699,115887.0,1608.0
69,1016700.0,21.87638950644731,58.04769001490313,36333.0,1137.0
70,1046300.0,37.06631532718489,63.37700145560407,62717.0,854.0
71,1133500.0,44.148148148148145,75.07436049970255,160750.0,2634.0
72,1143800.0,37.41707209199469,76.98412698412699,134085.0,1739.0
73,792200.0,34.688,67.23484848484848,94653.0,2310.0
74,858700.0,38.23529411764706,60.49751243781094,53000.0,1133.0
75,778800.0,33.61194029850746,74.2402992052361,73995.0,1088.0
76,713800.0,26.36363636363636,59.72396486825596,55179.0,568.0
77,477600.0,5.248917748917749,33.16519546027743,32258.0,1026.0
78,287900.0,8.932038834951456,23.20596458527493,42617.0,931.0
79,523000.0,12.412681354110692,39.840283939662825,18602.0,518.0
80,512100.0,5.779153766769865,26.056826056826054,30047.0,499.0
81,356800.0,4.376012965964344,41.65067178502879,17594.0,624.0
82,,,,,
83,475000.0,38.180856689582235,60.618846694796055,61528.0,2028.0
84,,,,,
85,433500.0,31.56836461126005,72.01814058956916,57687.0,1554.0
86,628200.0,11.366336633663368,45.358649789029535,24854.0,458.0
87,484100.0,3.86459802538787,46.56138563423332,16226.0,444.0
88,444100.0,18.307522123893804,48.4814398200225,55909.0,1496.0
