,House Prices 2010,Percentage with Bachelor Degree or Higher 2010,Percentage Professional Workers 2010,Household Income 2010,Contract Rent 2010
0,347800.0,8.712413261372397,24.66289691170074,55179.0,1266.0
1,563300.0,16.11320754716981,45.72305331799002,68010.0,1346.0
2,474800.0,20.056397603101868,39.58246346555324,54151.0,1223.0
3,449300.0,18.631955079122,59.52649379932357,87230.0,1407.0
4,373000.0,20.49248747913189,56.35785649409628,83357.0,1640.0
5,373200.0,29.44269190325973,61.556064073226544,42136.0,1174.0
6,461900.0,25.734914904589996,62.349676225716934,57530.0,1432.0
7,342700.0,42.36031927023946,70.458984375,51875.0,1372.0
8,240600.0,38.070739549839224,70.45009784735812,62083.0,1338.0
9,338700.0,36.476355247981544,61.602052451539336,39452.0,1280.0
10,357300.0,24.631147540983605,64.12017167381975,60343.0,1367.0
11,244600.0,30.585001963093838,39.94413407821229,25476.0,1028.0
12,277300.0,25.57200538358008,57.046299425481585,53083.0,1230.0
13,255400.0,22.494887525562373,55.38824918807204,41606.0,1210.0
14,375800.0,20.24671493698042,39.383496075052655,36734.0,1377.0
15,276700.0,35.294117647058826,28.48645076007931,16210.0,1324.0
16,462800.0,33.26800587947085,57.167352537722905,35262.0,1294.0
17,335100.0,45.93209481101857,77.40910695375926,35906.0,1474.0
18,457400.0,56.581740976645435,57.53911806543386,35023.0,1495.0
19,275000.0,34.13173652694611,24.66715976331361,26397.0,1146.0
20,284600.0,34.544468546637745,56.666666666666664,20365.0,1376.0
21,492000.0,31.948565776458953,41.46810146041506,17965.0,1450.0
22,263600.0,17.362428842504745,32.5895875591616,14188.0,673.0
23,410800.0,43.47826086956522,81.50619637750238,44492.0,1260.0
24,,,,,
25,,,,,
26,952000.0,54.61988304093567,65.17067003792667,88438.0,1640.0
27,877700.0,52.96502787633046,73.34410339256866,91071.0,1514.0
28,,,,,
29,805200.0,44.91525423728814,83.256291730868,85362.0,1467.0
30,818900.0,43.798561151079134,78.94557823129252,93244.0,1618.0
31,607100.0,45.2542372881356,62.23463687150838,54228.0,1447.0
32,359600.0,60.27131782945736,72.64224473889321,60347.0,1712.0
33,558400.0,56.7807351077313,78.30065359477125,62302.0,1627.0
34,435800.0,40.09840098400984,81.67247386759581,87244.0,1872.0
