geoid,RANK_10,RANK_19,SES_10,SES_19,SES_ASC,SES_PR_10,SES_PR_19,SES_PR_ASC
25009201100,179.0,273.0,0.43967420822438014,0.9656001180081004,0.5259259097837203,79.25407925407926,67.9245283018868,-11.329550952192463
25009202101,152.0,281.0,0.7015302580348567,0.9345929052286619,0.2330626471938052,82.4009324009324,66.98113207547169,-15.419800325460713
25009202102,487.0,414.0,-0.8060557768976049,0.22444347999845995,1.030499256896065,43.35664335664335,51.29716981132076,7.9405264546774035
25009202200,94.0,146.0,1.150634531408822,2.178237353054821,1.0276028216459991,89.16083916083916,82.90094339622641,-6.25989576461275
25009203100,67.0,132.0,1.5737940481670383,2.3427641747126224,0.7689701265455842,92.3076923076923,84.55188679245283,-7.755805515239473
25009203200,114.0,210.0,0.9738504570394004,1.4774551962094535,0.5036047391700531,86.82983682983682,75.35377358490565,-11.476063244931169
25009203301,268.0,298.0,-0.06778266686098078,0.8171580761467068,0.8849407430076875,68.88111888111888,64.97641509433963,-3.904703786779251
25009203302,138.0,163.0,0.8191615163231475,1.9903168295868567,1.1711553132637094,84.03263403263404,80.89622641509435,-3.136407617539689
25009204101,591.0,673.0,-1.1833465906332865,-0.9488359083564364,0.23451068227685012,31.23543123543124,20.754716981132077,-10.480714254299162
25009204102,519.0,618.0,-0.9329776076374491,-0.7144688076959235,0.2185087999415256,39.62703962703963,27.240566037735846,-12.386473589303783
25009204200,618.0,596.0,-1.2603423973580863,-0.6100968758620808,0.6502455214960055,28.088578088578085,29.83490566037736,1.7463275717992737
25009204300,713.0,715.0,-1.6084902362820586,-1.152754428865483,0.4557358074165756,17.016317016317018,15.80188679245283,-1.2144302238641878
25009204400,456.0,515.0,-0.7290124573473855,-0.21906587933206878,0.5099465780153167,46.96969696969697,39.386792452830186,-7.582904516866783
25009204500,455.0,491.0,-0.7274773177914111,-0.14060844538206332,0.5868688724093478,47.086247086247084,42.21698113207547,-4.869265954171617
25009204600,567.0,528.0,-1.1022772477587586,-0.27895376162132146,0.8233234861374371,34.032634032634036,37.85377358490566,3.8211395522716245
25009204701,560.0,631.0,-1.082191860800727,-0.7871116057074217,0.2950802550933054,34.84848484848485,25.707547169811324,-9.140937678673527
25009204702,561.0,569.0,-1.0871173510212722,-0.5176093672809702,0.569507983740302,34.731934731934736,33.0188679245283,-1.7130668074064346
25009205100,662.0,666.0,-1.44446614650071,-0.9145679292977111,0.5298982172029989,22.96037296037296,21.580188679245282,-1.3801842811276792
25009205200,655.0,730.0,-1.4187269203414712,-1.2225071522250728,0.1962197681163984,23.776223776223777,14.033018867924529,-9.743204908299248
25009205300,596.0,585.0,-1.1993769096619795,-0.5636694868327783,0.6357074228292012,30.65268065268065,31.132075471698112,0.47939481901746106
25009205400,411.0,444.0,-0.5950137365388632,0.1070874431733697,0.702101179712233,52.21445221445221,47.759433962264154,-4.455018252188054
25009205500,801.0,758.0,-1.99528730626022,-1.438526030493026,0.556761275767194,6.75990675990676,10.731132075471699,3.971225315564939
25009205600,810.0,793.0,-2.0702831211192425,-1.6599310822194462,0.4103520388997963,5.710955710955711,6.60377358490566,0.8928178739499488
25009205700,649.0,727.0,-1.3927753045116344,-1.2038762821425697,0.18889902236906475,24.475524475524477,14.38679245283019,-10.088732022694288
25009205800,805.0,798.0,-2.038793751601155,-1.7035799268763312,0.33521382472482397,6.293706293706294,6.014150943396227,-0.2795553503100674
25009205900,787.0,762.0,-1.9113017090361026,-1.4751585973925376,0.436143111643565,8.391608391608392,10.25943396226415,1.867825570655759
25009206000,831.0,802.0,-2.2980730703869363,-1.7352852200598792,0.5627878503270571,3.263403263403263,5.5424528301886795,2.2790495667854165
25009206100,812.0,810.0,-2.0889373764962134,-1.8059594114213111,0.28297796507490225,5.477855477855478,4.599056603773585,-0.8787988740818928
25009206200,777.0,790.0,-1.8525954211089901,-1.6342055751757498,0.2183898459332403,9.557109557109557,6.9575471698113205,-2.5995623872982367
25009206300,846.0,803.0,-2.4641794040573917,-1.7479129040007644,0.7162665000566273,1.5151515151515151,5.4245283018867925,3.9093767867352773
25009206400,763.0,718.0,-1.773906459537913,-1.1645180550439505,0.6093884044939626,11.188811188811188,15.44811320754717,4.259302018735982
25009206500,817.0,771.0,-2.12170133574111,-1.5328207794512434,0.5888805562898665,4.895104895104895,9.19811320754717,4.303008312442275
25009206600,750.0,739.0,-1.7174091766142978,-1.2691576287700872,0.4482515478442106,12.703962703962704,12.971698113207546,0.2677354092448425
25009206700,740.0,791.0,-1.6710306050397092,-1.6471962862032723,0.02383431883643694,13.86946386946387,6.839622641509433,-7.029841227954436
25009206800,850.0,834.0,-2.6412690580630254,-2.1528537347783434,0.48841532328468196,1.048951048951049,1.7688679245283019,0.7199168755772529
25009206900,823.0,836.0,-2.20747954521672,-2.203584056711209,0.0038954885055111355,4.195804195804196,1.5330188679245282,-2.662785327879668
25009207000,858.0,838.0,-2.9652228484242116,-2.348698093639524,0.6165247547846877,0.11655011655011654,1.2971698113207548,1.1806196947706382
25009207100,826.0,819.0,-2.247376550026554,-1.9373539471645946,0.3100226028619595,3.8461538461538463,3.5377358490566038,-0.3084179970972425
25009207200,828.0,843.0,-2.272191694616071,-2.5101318860492707,-0.23794019143319955,3.613053613053613,0.7075471698113208,-2.905506443242292
25009208101,532.0,686.0,-0.9774238383406424,-1.009142658231578,-0.0317188198909355,38.111888111888106,19.221698113207548,-18.890189998680558
25009208102,552.0,542.0,-1.0550122081252238,-0.41026998699025347,0.6447422211349703,35.78088578088578,36.20283018867924,0.4219444077934611
