Training Score,Test Score,Std. of Training Scores,Std. of Test Scores,rank,bootstrap,max_features
-0.13603963577292308,-0.35864403955503743,0.002935194264946289,0.01484533042102162,24,True,0.1
-0.13332857719494884,-0.3543619301158161,0.001940104096558567,0.01367499544844775,22,True,0.2
-0.13094918994383548,-0.35210231836627226,0.0017558600772993858,0.014943920278649492,18,True,0.30000000000000004
-0.1304329057957821,-0.35228368306853064,0.003410553198885224,0.012292441585024525,19,True,0.4
-0.1316069541854567,-0.34815415458447896,0.0022447218362377903,0.015313413476082364,13,True,0.5
-0.13060695362373295,-0.3523548626025399,0.0014935733910463708,0.013153678276710858,20,True,0.6
-0.13143427801966182,-0.3464225772048367,0.0025049637417174377,0.01467890254728939,10,True,0.7000000000000001
-0.13175225468164145,-0.3473723398989224,0.0013542145409374342,0.016456537720035504,12,True,0.8
-0.13085170121166226,-0.3455309138487895,0.0028842797734578676,0.014135776704560959,8,True,0.9
-0.12947510529705264,-0.3499321340136048,0.0015741658531227979,0.014690697919831748,16,True,1.0
-0.12947510529705264,-0.34993213401360473,0.0015741658531227979,0.014690697919831757,15,True,auto
-0.13425257579400804,-0.3581333594975484,0.003365555791024256,0.015301220233969364,23,True,sqrt
-1.0776697646114103e-15,-0.35376374992008064,7.693886179053033e-18,0.019420377047672625,21,False,0.1
-1.0776697646114103e-15,-0.35069624158536783,7.693886179053033e-18,0.014474287489082947,17,False,0.2
-1.0776697646114103e-15,-0.34250748512233775,7.693886179053033e-18,0.015776563201152338,2,False,0.30000000000000004
-1.0776697646114103e-15,-0.34594673262101977,7.693886179053033e-18,0.014400999809219188,9,False,0.4
-1.0776697646114103e-15,-0.34217298840233246,7.693886179053033e-18,0.014614916839828443,1,False,0.5
-1.0776697646114103e-15,-0.34668999379889404,7.693886179053033e-18,0.014422306124771671,11,False,0.6
-1.0776697646114103e-15,-0.3454727854961242,7.693886179053033e-18,0.019803927378706055,7,False,0.7000000000000001
-1.0776697646114103e-15,-0.34337971633765285,7.693886179053033e-18,0.014586412268569288,6,False,0.8
-1.0776697646114103e-15,-0.34268092932257727,7.693886179053033e-18,0.01657127873073229,3,False,0.9
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627326,5,False,1.0
-1.0776697646114103e-15,-0.34289399061295284,7.693886179053033e-18,0.01662083404627325,4,False,auto
-1.0776697646114103e-15,-0.34990331112460177,7.693886179053033e-18,0.00806734712626632,14,False,sqrt
