"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"5822","205","4903","248","45","38","0","17","590","171","7","11","95","87","182","102","1","2","181","102","1400000US25017338500","Census Tract 3385, Middlesex County, Massachusetts"
"6388","286","5472","386","293","174","0","17","280","105","14","24","82","64","247","177","45","49","202","173","1400000US25017339100","Census Tract 3391, Middlesex County, Massachusetts"
"5995","390","5350","344","152","165","19","32","234","153","0","17","38","46","202","137","0","17","202","137","1400000US25017339200","Census Tract 3392, Middlesex County, Massachusetts"
"2617","304","1359","240","843","223","0","12","221","121","0","12","7","10","187","116","26","43","161","108","1400000US25017339300","Census Tract 3393, Middlesex County, Massachusetts"
"3690","274","3201","296","51","35","0","12","305","138","0","12","45","49","88","56","16","25","72","49","1400000US25017339400","Census Tract 3394, Middlesex County, Massachusetts"
"5669","368","4542","370","359","231","0","17","524","179","7","14","68","35","169","74","32","30","137","64","1400000US25017339500","Census Tract 3395, Middlesex County, Massachusetts"
"5181","452","3642","481","418","205","0","17","834","368","0","17","62","98","225","120","98","86","127","113","1400000US25017339600","Census Tract 3396, Middlesex County, Massachusetts"
"3893","270","2107","318","714","231","0","12","453","95","0","12","138","110","481","324","14","22","467","327","1400000US25017339700","Census Tract 3397, Middlesex County, Massachusetts"
"5026","460","3474","457","226","147","0","17","962","458","0","17","106","105","258","208","0","17","258","208","1400000US25017339801","Census Tract 3398.01, Middlesex County, Massachusetts"
"5184","315","3610","343","832","262","27","48","605","237","0","17","17","27","93","83","14","23","79","77","1400000US25017339802","Census Tract 3398.02, Middlesex County, Massachusetts"
"5101","484","3976","482","510","191","0","17","346","386","0","17","15","23","254","189","18","32","236","184","1400000US25017339900","Census Tract 3399, Middlesex County, Massachusetts"
"2463","249","1726","289","233","72","0","12","451","211","0","12","30","44","23","24","0","12","23","24","1400000US25017340000","Census Tract 3400, Middlesex County, Massachusetts"
"6430","431","4835","624","693","643","28","42","492","272","0","17","133","179","249","171","0","17","249","171","1400000US25017340100","Census Tract 3401, Middlesex County, Massachusetts"
"3876","377","2000","277","688","414","0","12","1064","215","0","12","85","90","39","32","14","21","25","25","1400000US25017341101","Census Tract 3411.01, Middlesex County, Massachusetts"
"4320","390","2583","371","184","148","0","12","1296","285","0","12","221","127","36","54","0","12","36","54","1400000US25017341102","Census Tract 3411.02, Middlesex County, Massachusetts"
"6945","518","3567","559","1205","428","0","17","1904","348","0","17","66","77","203","195","0","17","203","195","1400000US25017341200","Census Tract 3412, Middlesex County, Massachusetts"
"5455","605","1852","368","1137","489","20","32","2241","587","0","17","122","183","83","90","11","25","72","86","1400000US25017341300","Census Tract 3413, Middlesex County, Massachusetts"
"6541","794","3487","852","1495","846","0","17","1041","421","14","23","36","41","468","424","10","16","458","423","1400000US25017341400","Census Tract 3414, Middlesex County, Massachusetts"
"5449","679","2238","399","1514","622","0","17","1319","438","0","17","62","56","316","212","0","17","316","212","1400000US25017341500","Census Tract 3415, Middlesex County, Massachusetts"
"5976","458","3627","412","1092","354","0","17","1163","339","0","17","26","38","68","69","0","17","68","69","1400000US25017341600","Census Tract 3416, Middlesex County, Massachusetts"
"5467","497","3298","456","1097","435","0","17","696","186","0","17","129","96","247","176","47","61","200","171","1400000US25017341700","Census Tract 3417, Middlesex County, Massachusetts"
"6585","539","3515","713","1493","689","0","17","1258","460","0","17","228","199","91","73","15","24","76","69","1400000US25017341800","Census Tract 3418, Middlesex County, Massachusetts"
"1372","102","1118","153","163","102","0","12","57","49","0","12","7","11","27","48","0","12","27","48","1400000US25017341901","Census Tract 3419.01, Middlesex County, Massachusetts"
"8998","585","5126","755","1185","425","0","17","1693","527","0","17","642","357","352","265","170","239","182","135","1400000US25017341902","Census Tract 3419.02, Middlesex County, Massachusetts"
"5096","508","2734","544","715","223","0","17","764","449","5","9","429","255","449","339","32","33","417","334","1400000US25017342101","Census Tract 3421.01, Middlesex County, Massachusetts"
"4033","322","2545","361","815","285","0","12","341","197","0","12","319","202","13","20","0","12","13","20","1400000US25017342102","Census Tract 3421.02, Middlesex County, Massachusetts"
"5038","521","3549","517","474","236","10","16","322","286","42","61","512","265","129","81","19","29","110","76","1400000US25017342201","Census Tract 3422.01, Middlesex County, Massachusetts"
"3893","401","2363","303","806","223","0","12","195","109","0","12","360","279","169","124","0","12","169","124","1400000US25017342202","Census Tract 3422.02, Middlesex County, Massachusetts"
"7661","647","4417","698","1355","419","0","17","858","466","0","17","409","287","622","389","69","60","553","395","1400000US25017342300","Census Tract 3423, Middlesex County, Massachusetts"
"7282","649","3744","813","1547","470","480","556","394","284","0","17","959","526","158","136","41","88","117","108","1400000US25017342400","Census Tract 3424, Middlesex County, Massachusetts"
"8369","696","4606","680","1724","634","0","17","599","265","0","17","1256","632","184","159","52","67","132","116","1400000US25017342500","Census Tract 3425, Middlesex County, Massachusetts"
"4746","449","2704","411","879","302","10","15","281","169","0","12","430","328","442","339","76","94","366","334","1400000US25017342600","Census Tract 3426, Middlesex County, Massachusetts"
"2260","230","1718","230","147","105","6","9","245","115","4","8","91","94","49","33","26","29","23","18","1400000US25017350103","Census Tract 3501.03, Middlesex County, Massachusetts"
"7926","607","4809","672","1541","390","42","46","751","474","0","17","651","449","132","128","0","17","132","128","1400000US25017350104","Census Tract 3501.04, Middlesex County, Massachusetts"
"7181","545","4859","653","571","498","41","86","685","330","0","17","531","313","494","465","22","36","472","466","1400000US25017350200","Census Tract 3502, Middlesex County, Massachusetts"
"2799","252","2271","236","132","63","0","12","231","137","0","12","121","135","44","48","0","12","44","48","1400000US25017350300","Census Tract 3503, Middlesex County, Massachusetts"
"5740","479","5036","493","70","66","0","17","483","241","0","17","100","80","51","59","0","17","51","59","1400000US25017350400","Census Tract 3504, Middlesex County, Massachusetts"
"1593","145","1475","137","18","19","0","12","58","56","0","12","9","13","33","23","0","12","33","23","1400000US25017350500","Census Tract 3505, Middlesex County, Massachusetts"
"5054","355","4120","337","177","65","0","17","524","126","1","4","26","21","206","94","4","9","202","95","1400000US25017350600","Census Tract 3506, Middlesex County, Massachusetts"
"5849","525","4540","582","662","272","0","17","309","167","0","17","59","94","279","160","0","17","279","160","1400000US25017350700","Census Tract 3507, Middlesex County, Massachusetts"
"2090","165","1698","156","117","57","7","11","146","66","0","12","0","12","122","75","0","12","122","75","1400000US25017350800","Census Tract 3508, Middlesex County, Massachusetts"
"3720","280","3265","263","21","31","0","12","324","111","0","12","0","12","110","54","11","18","99","52","1400000US25017350900","Census Tract 3509, Middlesex County, Massachusetts"
"6787","511","5664","528","1","3","0","17","930","327","0","17","19","32","173","105","26","42","147","95","1400000US25017351000","Census Tract 3510, Middlesex County, Massachusetts"
"5690","523","4754","570","266","174","11","19","427","160","0","17","70","78","162","83","0","17","162","83","1400000US25017351100","Census Tract 3511, Middlesex County, Massachusetts"
