"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1295","63","17","21","0","12","12","20","67","53","34","54","24","23","16","20","88","61","12","18","1025","115","1400000US25025091200","Census Tract 912, Suffolk County, Massachusetts"
"929","41","22","27","0","12","84","40","5","6","41","29","82","43","12","13","73","48","82","50","528","80","1400000US25025091300","Census Tract 913, Suffolk County, Massachusetts"
"1069","35","15","14","32","30","126","60","120","49","82","45","18","24","52","39","0","12","33","27","591","94","1400000US25025091400","Census Tract 914, Suffolk County, Massachusetts"
"1824","59","14","23","38","26","145","76","74","48","29","28","96","42","47","40","176","79","0","17","1205","120","1400000US25025091500","Census Tract 915, Suffolk County, Massachusetts"
"1280","41","0","12","0","12","122","103","4","6","16","21","34","28","92","70","18","26","56","61","938","100","1400000US25025091600","Census Tract 916, Suffolk County, Massachusetts"
"1178","24","17","20","0","12","34","29","22","26","32","28","93","52","75","45","77","42","110","59","718","98","1400000US25025091700","Census Tract 917, Suffolk County, Massachusetts"
"1369","51","0","12","0","12","32","29","79","54","0","12","80","61","276","139","26","43","90","53","786","159","1400000US25025091800","Census Tract 918, Suffolk County, Massachusetts"
"1522","69","0","12","0","12","123","66","0","12","71","49","171","81","143","83","105","63","120","83","789","127","1400000US25025091900","Census Tract 919, Suffolk County, Massachusetts"
"1921","46","0","17","29","32","34","39","0","17","24","27","126","71","108","72","89","57","118","59","1393","118","1400000US25025092000","Census Tract 920, Suffolk County, Massachusetts"
"2674","84","43","48","118","100","173","104","100","85","0","17","144","98","166","96","51","68","191","125","1688","193","1400000US25025092101","Census Tract 921.01, Suffolk County, Massachusetts"
"1230","79","0","12","0","12","47","42","9","15","10","17","65","56","90","58","57","48","32","31","920","118","1400000US25025092200","Census Tract 922, Suffolk County, Massachusetts"
"1165","46","80","44","27","30","0","12","38","29","77","43","40","28","14","15","97","57","34","29","758","98","1400000US25025092300","Census Tract 923, Suffolk County, Massachusetts"
"2280","135","0","17","32","50","380","168","107","95","161","125","112","107","0","17","290","147","85","72","1113","259","1400000US25025092400","Census Tract 924, Suffolk County, Massachusetts"
"2384","74","63","40","145","94","316","159","271","137","38","42","121","83","234","122","102","73","245","113","849","184","1400000US25025100100","Census Tract 1001, Suffolk County, Massachusetts"
"1038","53","0","12","0","12","130","58","12","20","6","9","37","30","44","32","167","65","101","51","541","86","1400000US25025100200","Census Tract 1002, Suffolk County, Massachusetts"
"1396","53","14","20","29","31","134","81","95","59","103","64","65","58","56","49","105","71","73","59","722","125","1400000US25025100300","Census Tract 1003, Suffolk County, Massachusetts"
"2022","102","13","22","79","91","27","39","0","17","36","59","183","110","117","60","217","144","196","91","1154","220","1400000US25025100400","Census Tract 1004, Suffolk County, Massachusetts"
"2496","109","15","26","93","74","98","92","36","40","53","61","23","39","88","88","52","66","151","101","1887","206","1400000US25025100500","Census Tract 1005, Suffolk County, Massachusetts"
"2334","84","0","17","0","17","24","40","22","35","113","109","0","17","0","17","170","124","178","130","1827","211","1400000US25025100601","Census Tract 1006.01, Suffolk County, Massachusetts"
"920","60","11","12","71","45","90","51","41","33","76","42","87","56","100","60","21","18","61","53","362","86","1400000US25025100603","Census Tract 1006.03, Suffolk County, Massachusetts"
"2099","43","8","13","0","12","45","35","0","12","121","65","78","63","44","33","100","68","168","77","1535","132","1400000US25025100700","Census Tract 1007, Suffolk County, Massachusetts"
"2832","91","0","17","0","17","152","86","26","35","76","48","232","118","289","146","199","89","246","120","1612","188","1400000US25025100800","Census Tract 1008, Suffolk County, Massachusetts"
"1869","65","0","12","7","13","22","25","71","44","73","58","142","87","102","59","270","110","206","79","976","146","1400000US25025100900","Census Tract 1009, Suffolk County, Massachusetts"
"2455","145","0","17","0","17","59","59","37","44","35","55","106","80","375","179","360","155","504","193","979","228","1400000US25025101001","Census Tract 1010.01, Suffolk County, Massachusetts"
"2508","60","0","17","81","96","103","65","94","79","0","17","53","39","389","199","1089","251","191","125","508","182","1400000US25025101002","Census Tract 1010.02, Suffolk County, Massachusetts"
"1197","74","0","12","0","12","144","82","0","12","0","12","137","73","32","34","131","78","116","74","637","132","1400000US25025101101","Census Tract 1011.01, Suffolk County, Massachusetts"
"1852","64","0","17","0","17","31","35","11","17","0","17","97","80","107","77","166","91","247","95","1193","140","1400000US25025101102","Census Tract 1011.02, Suffolk County, Massachusetts"
"2446","80","32","36","0","17","87","72","65","61","61","52","22","25","183","107","135","89","469","157","1392","220","1400000US25025110103","Census Tract 1101.03, Suffolk County, Massachusetts"
"975","34","0","12","0","12","46","26","26","27","100","53","98","67","246","78","61","41","89","48","309","77","1400000US25025110201","Census Tract 1102.01, Suffolk County, Massachusetts"
"1081","23","4","6","0","12","89","49","10","11","30","21","57","40","99","51","150","42","91","48","551","85","1400000US25025110301","Census Tract 1103.01, Suffolk County, Massachusetts"
"1480","64","13","20","0","12","7","11","12","18","202","76","130","75","91","61","109","63","105","62","811","122","1400000US25025110401","Census Tract 1104.01, Suffolk County, Massachusetts"
"1928","46","16","24","10","16","41","31","56","42","214","91","74","57","159","85","166","61","101","58","1091","165","1400000US25025110403","Census Tract 1104.03, Suffolk County, Massachusetts"
"1484","36","0","12","0","12","22","25","3","6","14","20","0","12","149","72","230","90","81","49","985","102","1400000US25025110501","Census Tract 1105.01, Suffolk County, Massachusetts"
"1819","115","35","27","0","12","20","18","8","13","142","71","65","76","136","93","54","34","99","52","1260","147","1400000US25025110502","Census Tract 1105.02, Suffolk County, Massachusetts"
"1350","64","0","12","44","66","77","47","135","58","71","43","26","25","30","28","270","81","121","53","576","114","1400000US25025110601","Census Tract 1106.01, Suffolk County, Massachusetts"
"2317","95","0","17","60","46","60","61","40","32","48","45","41","45","96","80","169","100","133","80","1670","172","1400000US25025110607","Census Tract 1106.07, Suffolk County, Massachusetts"
"756","27","0","12","0","12","34","24","22","20","28","20","25","21","17","18","8","9","32","28","590","52","1400000US25025120103","Census Tract 1201.03, Suffolk County, Massachusetts"
"1148","21","0","12","0","12","0","12","10","16","32","24","66","56","92","64","166","96","54","40","728","99","1400000US25025120104","Census Tract 1201.04, Suffolk County, Massachusetts"
"1002","37","7","10","15","16","7","9","32","24","93","36","148","51","131","50","106","30","66","29","397","64","1400000US25025120105","Census Tract 1201.05, Suffolk County, Massachusetts"
"1952","95","194","88","33","27","34","29","79","58","119","64","139","60","80","51","162","75","10","15","1102","147","1400000US25025120201","Census Tract 1202.01, Suffolk County, Massachusetts"
"2104","76","59","54","17","20","179","72","43","42","111","76","46","33","46","37","85","80","82","71","1436","157","1400000US25025120301","Census Tract 1203.01, Suffolk County, Massachusetts"
"3014","65","15","25","15","24","222","120","139","106","90","74","118","85","111","60","198","94","118","93","1988","212","1400000US25025120400","Census Tract 1204, Suffolk County, Massachusetts"
"1030","40","16","15","52","43","96","40","79","40","67","42","14","14","13","17","46","30","45","33","602","81","1400000US25025120500","Census Tract 1205, Suffolk County, Massachusetts"
"1106","78","0","12","0","12","69","48","19","18","51","37","17","20","22","25","72","41","27","22","829","121","1400000US25025120600","Census Tract 1206, Suffolk County, Massachusetts"
"1112","30","0","12","8","12","32","33","13","9","27","19","38","22","366","69","28","18","19","18","581","77","1400000US25025120700","Census Tract 1207, Suffolk County, Massachusetts"
"3080","71","0","17","19","31","178","100","160","87","211","113","222","125","494","178","528","182","348","149","920","146","1400000US25025130100","Census Tract 1301, Suffolk County, Massachusetts"
"2051","36","0","17","31","25","35","32","21","24","124","76","86","68","100","60","268","87","201","86","1185","129","1400000US25025130200","Census Tract 1302, Suffolk County, Massachusetts"
"1866","78","0","12","0","12","13","20","55","67","21","25","38","29","142","64","239","87","124","66","1234","129","1400000US25025130300","Census Tract 1303, Suffolk County, Massachusetts"
"2256","108","0","12","32","36","37","39","40","37","80","55","291","155","356","132","634","171","177","88","609","161","1400000US25025130402","Census Tract 1304.02, Suffolk County, Massachusetts"
"1437","35","18","22","0","12","71","52","41","31","372","104","144","68","349","87","88","52","116","70","238","72","1400000US25025130404","Census Tract 1304.04, Suffolk County, Massachusetts"
"2635","83","0","17","205","104","109","52","91","78","296","150","487","195","980","231","161","126","43","44","263","167","1400000US25025130406","Census Tract 1304.06, Suffolk County, Massachusetts"
"1893","54","11","18","17","20","154","83","62","41","124","72","85","56","309","92","389","106","91","54","651","136","1400000US25025140102","Census Tract 1401.02, Suffolk County, Massachusetts"
"1444","43","10","17","0","12","36","31","49","69","48","38","52","46","268","85","377","125","171","93","433","145","1400000US25025140105","Census Tract 1401.05, Suffolk County, Massachusetts"
"971","57","0","12","145","51","70","41","262","67","38","36","84","52","186","57","55","37","0","12","131","52","1400000US25025140106","Census Tract 1401.06, Suffolk County, Massachusetts"
"1127","41","0","12","0","12","60","33","44","29","87","41","98","49","119","57","81","36","133","52","505","86","1400000US25025140107","Census Tract 1401.07, Suffolk County, Massachusetts"
"993","40","0","12","0","12","20","25","26","22","27","31","124","46","128","81","247","72","131","60","290","75","1400000US25025140201","Census Tract 1402.01, Suffolk County, Massachusetts"
"2395","48","0","17","0","17","17","14","167","84","36","33","326","137","180","85","459","139","310","115","900","189","1400000US25025140202","Census Tract 1402.02, Suffolk County, Massachusetts"
"2711","125","0","17","13","21","180","117","130","94","222","163","359","151","151","100","299","120","224","136","1133","208","1400000US25025140300","Census Tract 1403, Suffolk County, Massachusetts"
"3189","89","14","26","20","32","90","90","61","57","372","184","440","171","319","145","461","190","227","93","1185","289","1400000US25025140400","Census Tract 1404, Suffolk County, Massachusetts"
"2453","88","27","41","80","65","318","131","112","82","117","76","69","61","184","107","38","44","72","60","1436","212","1400000US25025160101","Census Tract 1601.01, Suffolk County, Massachusetts"
"1318","61","0","12","0","12","25","30","13","18","38","27","45","34","41","42","79","59","55","44","1022","99","1400000US25025160200","Census Tract 1602, Suffolk County, Massachusetts"
"1356","75","7","11","20","17","147","67","42","28","461","102","154","84","21","20","59","37","0","12","445","103","1400000US25025160300","Census Tract 1603, Suffolk County, Massachusetts"
"1504","72","301","73","134","59","85","48","6","9","82","43","69","39","11","14","20","17","52","42","744","102","1400000US25025160400","Census Tract 1604, Suffolk County, Massachusetts"
"2017","84","0","17","0","17","9","14","64","54","50","46","177","85","134","93","108","64","40","31","1435","178","1400000US25025160501","Census Tract 1605.01, Suffolk County, Massachusetts"
"1814","73","9","14","112","78","234","112","134","98","105","61","59","44","34","30","17","25","44","37","1066","162","1400000US25025160502","Census Tract 1605.02, Suffolk County, Massachusetts"
"1603","106","0","12","209","86","335","119","41","34","40","29","294","91","66","61","48","37","44","30","526","135","1400000US25025160601","Census Tract 1606.01, Suffolk County, Massachusetts"
"1842","86","0","17","8","13","5","7","18","21","124","76","44","32","186","92","268","102","120","63","1069","165","1400000US25025160602","Census Tract 1606.02, Suffolk County, Massachusetts"
"2812","123","0","17","18","29","249","137","194","114","251","138","86","60","277","147","543","146","180","101","1014","231","1400000US25025170100","Census Tract 1701, Suffolk County, Massachusetts"
"1714","82","9","11","0","12","81","66","18","18","237","94","179","90","241","89","401","144","69","49","479","140","1400000US25025170200","Census Tract 1702, Suffolk County, Massachusetts"
"3510","202","85","61","69","82","652","186","260","119","147","73","261","124","686","212","460","178","156","97","734","221","1400000US25025170300","Census Tract 1703, Suffolk County, Massachusetts"
"2020","134","89","58","0","17","28","30","176","129","228","109","199","104","152","82","277","128","81","66","790","163","1400000US25025170400","Census Tract 1704, Suffolk County, Massachusetts"
"1955","76","212","71","0","12","151","63","109","64","648","148","185","96","104","78","101","73","31","31","414","124","1400000US25025170501","Census Tract 1705.01, Suffolk County, Massachusetts"
"1383","79","23","25","47","46","47","44","138","81","220","68","220","75","59","34","133","51","142","47","354","93","1400000US25025170502","Census Tract 1705.02, Suffolk County, Massachusetts"
"1838","114","10","14","0","17","45","38","23","27","145","75","132","61","116","61","200","64","48","34","1119","151","1400000US25025170601","Census Tract 1706.01, Suffolk County, Massachusetts"
"1012","49","30","17","0","12","138","53","76","46","138","51","64","24","139","65","59","40","55","40","313","74","1400000US25025170701","Census Tract 1707.01, Suffolk County, Massachusetts"
"2203","143","9","17","0","17","119","111","72","79","133","86","55","53","143","107","123","81","124","97","1425","237","1400000US25025170702","Census Tract 1707.02, Suffolk County, Massachusetts"
"2112","92","188","135","0","17","30","33","191","114","124","82","73","64","174","122","112","76","184","103","1036","217","1400000US25025170800","Census Tract 1708, Suffolk County, Massachusetts"
"2477","122","0","12","19","31","33","41","149","89","325","127","502","156","224","129","129","65","195","111","901","179","1400000US25025180101","Census Tract 1801.01, Suffolk County, Massachusetts"
"1786","97","11","17","0","12","70","45","0","12","0","12","55","38","90","68","136","58","82","62","1342","130","1400000US25025180200","Census Tract 1802, Suffolk County, Massachusetts"
"1247","53","0","12","12","18","0","12","11","18","0","12","17","19","8","12","36","29","134","72","1029","98","1400000US25025180301","Census Tract 1803.01, Suffolk County, Massachusetts"
"851","34","63","41","0","12","0","12","13","14","23","28","83","48","54","34","7","11","31","22","577","68","1400000US25025180400","Census Tract 1804, Suffolk County, Massachusetts"
"2006","81","0","12","21","24","30","30","39","27","88","57","89","49","112","56","154","60","169","81","1304","138","1400000US25025180500","Census Tract 1805, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025980101","Census Tract 9801.01, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025980300","Census Tract 9803, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025980700","Census Tract 9807, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981000","Census Tract 9810, Suffolk County, Massachusetts"
"116","39","4","7","18","21","82","39","0","12","0","12","0","12","12","20","0","12","0","12","0","12","1400000US25025981100","Census Tract 9811, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981201","Census Tract 9812.01, Suffolk County, Massachusetts"
"14","23","0","12","0","12","0","12","0","12","14","23","0","12","0","12","0","12","0","12","0","12","1400000US25025981202","Census Tract 9812.02, Suffolk County, Massachusetts"
"291","49","10","10","0","12","80","35","11","12","6","9","3","4","13","19","0","12","16","13","152","32","1400000US25025981300","Census Tract 9813, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981501","Census Tract 9815.01, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981502","Census Tract 9815.02, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981600","Census Tract 9816, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981700","Census Tract 9817, Suffolk County, Massachusetts"
"14","10","0","12","0","12","0","12","0","12","8","9","3","6","0","12","0","12","3","6","0","12","1400000US25025981800","Census Tract 9818, Suffolk County, Massachusetts"
"12","19","0","12","0","12","12","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025990101","Census Tract 9901.01, Suffolk County, Massachusetts"
