"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1847","97","6","10","0","17","127","62","107","56","129","51","267","83","173","62","238","98","162","74","638","96","1400000US25025000502","Census Tract 5.02, Suffolk County, Massachusetts"
"1370","61","0","12","0","12","7","13","46","35","54","42","107","57","165","83","145","67","305","71","541","110","1400000US25025000503","Census Tract 5.03, Suffolk County, Massachusetts"
"2660","128","0","12","0","12","413","128","49","55","217","102","292","130","335","162","375","131","155","83","824","185","1400000US25025000504","Census Tract 5.04, Suffolk County, Massachusetts"
"1496","53","9","14","0","12","96","59","31","28","122","48","113","63","210","83","177","71","84","65","654","83","1400000US25025000601","Census Tract 6.01, Suffolk County, Massachusetts"
"2060","97","8","14","0","12","56","36","43","49","271","112","395","139","343","111","146","91","208","108","590","163","1400000US25025000602","Census Tract 6.02, Suffolk County, Massachusetts"
"2249","98","0","12","11","17","0","12","243","111","122","77","193","85","375","136","245","115","77","54","983","206","1400000US25025000701","Census Tract 7.01, Suffolk County, Massachusetts"
"1108","66","7","13","0","12","17","19","35","20","42","27","143","59","99","48","138","52","81","48","546","97","1400000US25025000703","Census Tract 7.03, Suffolk County, Massachusetts"
"2411","98","72","66","166","102","7","12","65","50","300","127","432","155","191","88","148","76","275","169","755","158","1400000US25025000704","Census Tract 7.04, Suffolk County, Massachusetts"
"2884","141","53","40","20","32","146","100","159","81","355","99","164","98","441","161","152","93","266","137","1128","212","1400000US25025000802","Census Tract 8.02, Suffolk County, Massachusetts"
"649","81","11","12","6","8","130","45","27","19","82","37","356","83","10","11","8","12","0","17","19","14","1400000US25025000803","Census Tract 8.03, Suffolk County, Massachusetts"
"493","48","0","12","8","9","117","50","70","42","38","38","51","36","142","51","12","10","7","11","48","27","1400000US25025010103","Census Tract 101.03, Suffolk County, Massachusetts"
"1912","94","8","14","0","17","0","17","23","18","98","69","85","38","119","73","102","57","106","50","1371","131","1400000US25025010104","Census Tract 101.04, Suffolk County, Massachusetts"
"3749","174","431","157","178","109","908","229","247","127","46","40","84","64","216","109","147","81","294","175","1198","251","1400000US25025010203","Census Tract 102.03, Suffolk County, Massachusetts"
"1154","76","19","24","0","12","99","50","76","57","94","55","151","81","66","36","79","65","63","58","507","134","1400000US25025010204","Census Tract 102.04, Suffolk County, Massachusetts"
"280","19","0","17","0","17","0","17","21","17","18","14","20","19","6","6","57","30","18","15","140","37","1400000US25025010300","Census Tract 103, Suffolk County, Massachusetts"
"2076","95","183","117","0","12","18","28","32","34","96","74","579","165","271","104","258","119","52","42","587","165","1400000US25025010403","Census Tract 104.03, Suffolk County, Massachusetts"
"1457","94","0","17","18","24","0","17","101","44","214","102","99","47","138","49","53","38","86","51","748","120","1400000US25025010404","Census Tract 104.04, Suffolk County, Massachusetts"
"961","61","19","21","0","17","0","17","79","44","104","54","184","48","71","33","83","39","96","42","325","72","1400000US25025010405","Census Tract 104.05, Suffolk County, Massachusetts"
"903","55","0","12","4","7","5","7","42","34","88","38","46","23","107","45","50","23","71","30","490","76","1400000US25025010408","Census Tract 104.08, Suffolk County, Massachusetts"
