"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","id","Geographic Area Name"
"97778","16778","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"135481","30530","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"80433","13367","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"149263","10461","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"166875","16719","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"103964","23486","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"90352","17001","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"102542","20627","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"63811","6617","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"75265","9251","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"55423","7234","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"36845","11306","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"73889","10406","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"88468","11362","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"90714","16615","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"70045","12633","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"70603","6883","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"76797","21578","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"49639","20075","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"104931","16218","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"108799","8468","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"60550","19159","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"49026","5216","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"76484","12591","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"59410","12074","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"80264","11020","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"50675","8293","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"31000","11779","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"60453","11630","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"62235","8763","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"71791","7531","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"41019","7267","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"48750","15737","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"44167","15401","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"29205","24970","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"25132","11373","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"26346","8464","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"50444","6375","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"33875","5991","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"78359","16605","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"79394","17484","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"80669","17580","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"82361","12439","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"109888","21062","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"108854","12956","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"151168","14247","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"117204","10072","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"106844","10352","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"57424","5096","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"78551","8261","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"92894","10920","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"59786","13558","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"54153","8262","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"50440","7498","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"81333","10214","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"84306","15844","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"81154","12040","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"93368","22526","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"80547","14806","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"106083","4788","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"125204","12164","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"184007","22873","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"136863","8096","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"147273","15572","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"93875","22497","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"128056","34826","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"88478","17970","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"82317","11873","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"101250","11630","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"56705","9197","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"56615","8756","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"96029","14137","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"110694","36923","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"148854","30566","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"82169","17606","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"85777","11485","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
