"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"2492","206","2082","196","0","12","77","46","169","78","164","71","1400000US25025030500","Census Tract 305, Suffolk County, Massachusetts"
"2442","271","2046","206","0","12","17","24","147","103","232","146","1400000US25025040100","Census Tract 401, Suffolk County, Massachusetts"
"1975","223","1431","188","68","65","11","12","292","91","173","80","1400000US25025040200","Census Tract 402, Suffolk County, Massachusetts"
"4665","359","4131","341","0","12","66","71","302","122","166","83","1400000US25025040300","Census Tract 403, Suffolk County, Massachusetts"
"2964","288","2558","307","44","43","8","13","160","91","194","144","1400000US25025040401","Census Tract 404.01, Suffolk County, Massachusetts"
"3395","258","3104","237","10","14","90","90","126","74","65","53","1400000US25025040600","Census Tract 406, Suffolk County, Massachusetts"
"4449","355","2870","310","177","122","77","50","778","215","547","225","1400000US25025040801","Census Tract 408.01, Suffolk County, Massachusetts"
"5656","490","2825","380","300","193","19","24","636","198","1876","420","1400000US25025050101","Census Tract 501.01, Suffolk County, Massachusetts"
"5713","758","2217","409","134","90","78","58","907","226","2377","660","1400000US25025050200","Census Tract 502, Suffolk County, Massachusetts"
"2803","317","1593","276","115","73","15","15","600","134","480","163","1400000US25025050300","Census Tract 503, Suffolk County, Massachusetts"
"2284","284","1094","166","35","40","17","18","262","108","876","246","1400000US25025050400","Census Tract 504, Suffolk County, Massachusetts"
"2278","336","1179","164","26","31","0","12","343","109","730","283","1400000US25025050500","Census Tract 505, Suffolk County, Massachusetts"
"2481","310","1111","165","13","19","14","15","137","81","1206","318","1400000US25025050600","Census Tract 506, Suffolk County, Massachusetts"
"5607","583","2020","329","73","75","29","33","586","210","2899","555","1400000US25025050700","Census Tract 507, Suffolk County, Massachusetts"
"4587","570","1969","418","18","28","51","38","480","187","2069","502","1400000US25025050901","Census Tract 509.01, Suffolk County, Massachusetts"
"4721","428","2950","362","11","19","99","115","709","242","952","311","1400000US25025051000","Census Tract 510, Suffolk County, Massachusetts"
"7687","695","4221","443","130","137","149","127","782","253","2405","657","1400000US25025051101","Census Tract 511.01, Suffolk County, Massachusetts"
"3033","287","1943","228","0","12","61","60","594","215","435","242","1400000US25025051200","Census Tract 512, Suffolk County, Massachusetts"
"3763","463","3600","465","0","12","9","14","59","41","95","62","1400000US25025060101","Census Tract 601.01, Suffolk County, Massachusetts"
"2103","199","2020","196","1","9","6","9","54","44","22","25","1400000US25025060200","Census Tract 602, Suffolk County, Massachusetts"
"3737","281","3479","317","0","12","75","69","98","72","85","58","1400000US25025060301","Census Tract 603.01, Suffolk County, Massachusetts"
"5622","451","5289","454","0","17","49","73","148","104","136","159","1400000US25025060400","Census Tract 604, Suffolk County, Massachusetts"
"4249","402","3951","415","0","12","26","33","218","148","54","54","1400000US25025060501","Census Tract 605.01, Suffolk County, Massachusetts"
"4162","376","3501","394","2","10","65","60","201","80","393","155","1400000US25025060600","Census Tract 606, Suffolk County, Massachusetts"
"2557","247","1432","205","56","39","19","23","524","123","526","119","1400000US25025060700","Census Tract 607, Suffolk County, Massachusetts"
"4694","452","4030","451","123","191","28","36","457","274","56","53","1400000US25025060800","Census Tract 608, Suffolk County, Massachusetts"
"3158","303","2309","331","246","167","13","25","268","115","322","161","1400000US25025061000","Census Tract 610, Suffolk County, Massachusetts"
"2305","160","1457","196","109","51","15","20","461","100","263","106","1400000US25025061101","Census Tract 611.01, Suffolk County, Massachusetts"
"4584","363","3898","415","24","41","69","65","216","133","377","171","1400000US25025061200","Census Tract 612, Suffolk County, Massachusetts"
"7409","622","4197","508","104","89","103","63","1157","246","1848","367","1400000US25025070101","Census Tract 701.01, Suffolk County, Massachusetts"
"5373","542","2683","387","0","17","71","49","1371","274","1248","304","1400000US25025070200","Census Tract 702, Suffolk County, Massachusetts"
"4450","407","3393","456","14","23","15","27","590","236","438","165","1400000US25025070300","Census Tract 703, Suffolk County, Massachusetts"
"2701","231","1434","165","26","22","14","13","745","111","482","115","1400000US25025070402","Census Tract 704.02, Suffolk County, Massachusetts"
"5843","519","4419","483","158","91","16","27","618","189","632","260","1400000US25025070500","Census Tract 705, Suffolk County, Massachusetts"
"2491","360","2151","294","2","4","126","104","161","113","51","37","1400000US25025070600","Census Tract 706, Suffolk County, Massachusetts"
"2676","268","2058","272","66","97","25","41","268","116","259","127","1400000US25025070700","Census Tract 707, Suffolk County, Massachusetts"
"3597","465","3041","441","20","33","22","27","345","175","169","140","1400000US25025070800","Census Tract 708, Suffolk County, Massachusetts"
"3132","283","2414","299","107","78","103","75","305","143","203","75","1400000US25025070900","Census Tract 709, Suffolk County, Massachusetts"
"3980","416","2667","317","92","88","88","98","661","201","472","211","1400000US25025071101","Census Tract 711.01, Suffolk County, Massachusetts"
"3701","467","2567","453","263","140","17","19","462","164","392","188","1400000US25025071201","Census Tract 712.01, Suffolk County, Massachusetts"
"2749","338","1759","284","76","43","56","46","471","129","387","147","1400000US25025080100","Census Tract 801, Suffolk County, Massachusetts"
"2205","291","1719","311","24","28","8","12","376","172","78","50","1400000US25025080300","Census Tract 803, Suffolk County, Massachusetts"
"3040","291","2129","292","307","152","61","57","301","135","242","127","1400000US25025080401","Census Tract 804.01, Suffolk County, Massachusetts"
"3600","470","2432","477","85","67","71","68","678","194","334","114","1400000US25025080500","Census Tract 805, Suffolk County, Massachusetts"
"4022","785","2946","726","157","64","117","73","345","122","457","160","1400000US25025080601","Census Tract 806.01, Suffolk County, Massachusetts"
"4679","578","3180","423","353","130","49","44","323","121","774","285","1400000US25025080801","Census Tract 808.01, Suffolk County, Massachusetts"
"3586","356","2257","376","113","104","256","123","132","77","828","305","1400000US25025080900","Census Tract 809, Suffolk County, Massachusetts"
"5005","435","2798","491","122","84","179","122","1054","276","852","298","1400000US25025081001","Census Tract 810.01, Suffolk County, Massachusetts"
"4116","343","2696","386","131","91","72","44","600","179","617","173","1400000US25025081100","Census Tract 811, Suffolk County, Massachusetts"
"3712","409","2216","390","178","113","223","205","644","193","451","217","1400000US25025081200","Census Tract 812, Suffolk County, Massachusetts"
"4885","633","3097","890","364","217","9","27","689","181","726","413","1400000US25025081300","Census Tract 813, Suffolk County, Massachusetts"
"2924","263","2371","285","97","78","48","49","162","94","246","149","1400000US25025081400","Census Tract 814, Suffolk County, Massachusetts"
"2807","274","2181","325","97","67","43","29","342","138","144","68","1400000US25025081500","Census Tract 815, Suffolk County, Massachusetts"
"3990","487","2745","535","132","95","98","113","709","200","306","128","1400000US25025081700","Census Tract 817, Suffolk County, Massachusetts"
"3300","386","2094","336","236","215","62","60","578","232","330","166","1400000US25025081800","Census Tract 818, Suffolk County, Massachusetts"
"3704","502","2160","401","129","92","14","21","816","320","585","301","1400000US25025081900","Census Tract 819, Suffolk County, Massachusetts"
"3421","406","2708","281","122","130","0","12","341","133","250","136","1400000US25025082000","Census Tract 820, Suffolk County, Massachusetts"
"5998","894","3113","771","620","482","17","26","1109","318","1139","528","1400000US25025082100","Census Tract 821, Suffolk County, Massachusetts"
"5026","523","2697","496","182","152","155","101","1053","285","939","313","1400000US25025090100","Census Tract 901, Suffolk County, Massachusetts"
"2348","407","1327","297","186","110","0","12","428","122","407","230","1400000US25025090200","Census Tract 902, Suffolk County, Massachusetts"
"3095","579","1992","584","174","124","26","63","500","179","403","222","1400000US25025090300","Census Tract 903, Suffolk County, Massachusetts"
"4396","669","2054","423","218","174","0","12","1048","404","1076","452","1400000US25025090400","Census Tract 904, Suffolk County, Massachusetts"
"2740","408","1500","372","43","44","40","31","552","146","605","238","1400000US25025090600","Census Tract 906, Suffolk County, Massachusetts"
"3878","382","2791","344","67","93","70","62","655","174","295","121","1400000US25025090700","Census Tract 907, Suffolk County, Massachusetts"
"3653","344","1747","274","185","97","26","30","446","188","1249","223","1400000US25025090901","Census Tract 909.01, Suffolk County, Massachusetts"
"2821","406","1824","293","11","19","97","98","631","198","258","132","1400000US25025091001","Census Tract 910.01, Suffolk County, Massachusetts"
"4818","294","2947","297","73","72","81","74","1177","211","540","200","1400000US25025091100","Census Tract 911, Suffolk County, Massachusetts"
"3375","508","2260","338","32","44","0","12","692","222","391","160","1400000US25025091200","Census Tract 912, Suffolk County, Massachusetts"
"2676","322","1356","278","165","91","82","75","604","172","469","186","1400000US25025091300","Census Tract 913, Suffolk County, Massachusetts"
"3244","374","1916","227","134","57","37","46","711","181","446","240","1400000US25025091400","Census Tract 914, Suffolk County, Massachusetts"
"5192","610","2317","399","212","158","132","150","1359","290","1172","336","1400000US25025091500","Census Tract 915, Suffolk County, Massachusetts"
"3089","284","1717","359","115","68","0","12","747","298","510","243","1400000US25025091600","Census Tract 916, Suffolk County, Massachusetts"
"3267","328","1625","286","50","55","44","42","702","145","846","247","1400000US25025091700","Census Tract 917, Suffolk County, Massachusetts"
"3579","492","1944","399","22","40","223","201","646","212","744","327","1400000US25025091800","Census Tract 918, Suffolk County, Massachusetts"
"4528","681","2728","574","223","127","30","54","942","279","605","319","1400000US25025091900","Census Tract 919, Suffolk County, Massachusetts"
"5590","524","3027","426","165","177","101","81","1416","311","881","284","1400000US25025092000","Census Tract 920, Suffolk County, Massachusetts"
"7321","632","4118","566","0","17","106","82","1961","339","1136","362","1400000US25025092101","Census Tract 921.01, Suffolk County, Massachusetts"
"3282","275","1961","244","32","34","139","86","788","153","362","181","1400000US25025092200","Census Tract 922, Suffolk County, Massachusetts"
"3443","349","2156","324","114","86","108","100","575","141","490","191","1400000US25025092300","Census Tract 923, Suffolk County, Massachusetts"
"6413","537","4350","588","406","268","83","79","747","263","827","334","1400000US25025092400","Census Tract 924, Suffolk County, Massachusetts"
"7013","736","4747","516","357","201","47","53","1121","375","741","306","1400000US25025100100","Census Tract 1001, Suffolk County, Massachusetts"
"3328","326","2322","293","95","76","24","37","634","178","253","103","1400000US25025100200","Census Tract 1002, Suffolk County, Massachusetts"
"4394","489","2796","503","15","19","82","94","843","280","658","297","1400000US25025100300","Census Tract 1003, Suffolk County, Massachusetts"
"6040","641","3927","574","207","161","49","57","1255","394","602","251","1400000US25025100400","Census Tract 1004, Suffolk County, Massachusetts"
"6623","998","4351","906","140","187","99","96","1053","377","980","424","1400000US25025100500","Census Tract 1005, Suffolk County, Massachusetts"
"6321","608","3990","704","24","38","90","112","1368","322","849","336","1400000US25025100601","Census Tract 1006.01, Suffolk County, Massachusetts"
"1912","199","1510","236","0","12","1","2","234","84","167","104","1400000US25025100603","Census Tract 1006.03, Suffolk County, Massachusetts"
"4410","374","3789","374","0","12","31","30","431","171","159","126","1400000US25025100700","Census Tract 1007, Suffolk County, Massachusetts"
"6230","525","4819","428","0","17","120","113","612","189","679","366","1400000US25025100800","Census Tract 1008, Suffolk County, Massachusetts"
"4684","408","3289","352","81","39","52","58","770","222","492","211","1400000US25025100900","Census Tract 1009, Suffolk County, Massachusetts"
"6014","928","3457","718","350","285","17","26","1155","301","1035","514","1400000US25025101001","Census Tract 1010.01, Suffolk County, Massachusetts"
"6662","710","4337","658","33","153","0","17","1317","387","975","474","1400000US25025101002","Census Tract 1010.02, Suffolk County, Massachusetts"
"3592","374","2317","450","0","12","29","38","800","206","446","240","1400000US25025101101","Census Tract 1011.01, Suffolk County, Massachusetts"
"5265","576","3242","486","21","38","0","17","929","210","1073","428","1400000US25025101102","Census Tract 1011.02, Suffolk County, Massachusetts"
"6812","533","4260","568","29","34","179","186","1273","410","1071","353","1400000US25025110103","Census Tract 1101.03, Suffolk County, Massachusetts"
"2534","255","1390","208","71","54","21","23","691","169","361","136","1400000US25025110201","Census Tract 1102.01, Suffolk County, Massachusetts"
"2656","167","1759","168","102","78","37","42","502","105","256","87","1400000US25025110301","Census Tract 1103.01, Suffolk County, Massachusetts"
"3807","341","2445","366","165","86","53","41","745","183","399","169","1400000US25025110401","Census Tract 1104.01, Suffolk County, Massachusetts"
"4881","425","3400","356","391","250","45","37","813","251","232","117","1400000US25025110403","Census Tract 1104.03, Suffolk County, Massachusetts"
"3429","316","2892","308","0","12","14","22","302","114","221","120","1400000US25025110501","Census Tract 1105.01, Suffolk County, Massachusetts"
"4740","425","3110","416","65","63","173","166","876","266","516","175","1400000US25025110502","Census Tract 1105.02, Suffolk County, Massachusetts"
"2997","191","2312","178","1","2","20","23","422","126","242","150","1400000US25025110601","Census Tract 1106.01, Suffolk County, Massachusetts"
"5675","491","4656","405","61","69","168","111","575","182","215","97","1400000US25025110607","Census Tract 1106.07, Suffolk County, Massachusetts"
"1852","152","1473","147","24","20","18","18","167","79","170","110","1400000US25025120103","Census Tract 1201.03, Suffolk County, Massachusetts"
"2335","219","1834","222","40","69","45","54","123","70","293","117","1400000US25025120104","Census Tract 1201.04, Suffolk County, Massachusetts"
"2696","516","2264","396","0","12","95","91","194","66","143","108","1400000US25025120105","Census Tract 1201.05, Suffolk County, Massachusetts"
"3991","348","3002","300","85","56","93","52","531","172","280","106","1400000US25025120201","Census Tract 1202.01, Suffolk County, Massachusetts"
"5326","468","3708","368","148","109","108","80","674","223","688","313","1400000US25025120301","Census Tract 1203.01, Suffolk County, Massachusetts"
"6511","518","5217","537","7","16","130","116","704","231","453","229","1400000US25025120400","Census Tract 1204, Suffolk County, Massachusetts"
"2850","311","1964","242","96","81","90","53","409","136","291","98","1400000US25025120500","Census Tract 1205, Suffolk County, Massachusetts"
"2507","323","2071","245","72","60","22","20","109","60","233","213","1400000US25025120600","Census Tract 1206, Suffolk County, Massachusetts"
"2243","199","1573","229","14","15","26","20","251","90","379","160","1400000US25025120700","Census Tract 1207, Suffolk County, Massachusetts"
"6807","448","5333","459","0","17","89","73","937","233","448","186","1400000US25025130100","Census Tract 1301, Suffolk County, Massachusetts"
"5026","287","4126","280","0","17","41","41","620","163","239","87","1400000US25025130200","Census Tract 1302, Suffolk County, Massachusetts"
"4456","275","3607","304","42","63","68","72","572","178","167","118","1400000US25025130300","Census Tract 1303, Suffolk County, Massachusetts"
"4762","363","3402","376","9","19","47","76","833","192","471","181","1400000US25025130402","Census Tract 1304.02, Suffolk County, Massachusetts"
"3394","246","2434","246","49","52","33","30","518","132","360","169","1400000US25025130404","Census Tract 1304.04, Suffolk County, Massachusetts"
"6084","433","3486","639","287","165","188","194","1391","281","732","365","1400000US25025130406","Census Tract 1304.06, Suffolk County, Massachusetts"
"5779","382","3683","423","109","64","138","115","1170","273","679","288","1400000US25025140102","Census Tract 1401.02, Suffolk County, Massachusetts"
"4099","356","2680","295","335","227","0","12","923","265","161","87","1400000US25025140105","Census Tract 1401.05, Suffolk County, Massachusetts"
"2299","210","1264","212","66","49","8","12","632","169","329","127","1400000US25025140106","Census Tract 1401.06, Suffolk County, Massachusetts"
"2912","292","2020","266","136","70","69","93","496","127","191","103","1400000US25025140107","Census Tract 1401.07, Suffolk County, Massachusetts"
"2454","229","1611","180","65","51","14","17","436","95","328","123","1400000US25025140201","Census Tract 1402.01, Suffolk County, Massachusetts"
"6874","461","4756","521","175","86","65","43","990","232","888","438","1400000US25025140202","Census Tract 1402.02, Suffolk County, Massachusetts"
"7750","781","4661","624","259","248","92","136","1751","458","987","606","1400000US25025140300","Census Tract 1403, Suffolk County, Massachusetts"
"9056","775","5356","731","372","204","100","85","1896","392","1332","403","1400000US25025140400","Census Tract 1404, Suffolk County, Massachusetts"
"8870","729","3956","496","461","230","249","165","1191","427","3013","811","1400000US25025160101","Census Tract 1601.01, Suffolk County, Massachusetts"
"4151","471","1776","249","207","104","44","44","390","158","1734","481","1400000US25025160200","Census Tract 1602, Suffolk County, Massachusetts"
"2283","326","1504","247","98","73","0","12","324","91","357","205","1400000US25025160300","Census Tract 1603, Suffolk County, Massachusetts"
"3276","290","1476","254","315","123","17","27","282","96","1186","269","1400000US25025160400","Census Tract 1604, Suffolk County, Massachusetts"
"5854","603","2699","437","409","172","53","44","805","263","1888","463","1400000US25025160501","Census Tract 1605.01, Suffolk County, Massachusetts"
"5105","532","2574","395","227","106","11","15","741","271","1552","424","1400000US25025160502","Census Tract 1605.02, Suffolk County, Massachusetts"
"4713","478","2495","338","143","90","37","45","894","210","1144","344","1400000US25025160601","Census Tract 1606.01, Suffolk County, Massachusetts"
"5740","461","2943","404","109","61","46","37","1059","245","1583","369","1400000US25025160602","Census Tract 1606.02, Suffolk County, Massachusetts"
"7935","765","4956","575","48","44","104","67","1349","314","1478","444","1400000US25025170100","Census Tract 1701, Suffolk County, Massachusetts"
"4844","495","3193","425","36","44","67","41","880","206","668","300","1400000US25025170200","Census Tract 1702, Suffolk County, Massachusetts"
"9417","643","6571","686","152","141","41","38","1100","390","1553","426","1400000US25025170300","Census Tract 1703, Suffolk County, Massachusetts"
"5041","481","2970","487","44","70","65","57","1021","264","941","304","1400000US25025170400","Census Tract 1704, Suffolk County, Massachusetts"
"4117","564","2081","275","168","138","72","59","894","230","902","441","1400000US25025170501","Census Tract 1705.01, Suffolk County, Massachusetts"
"2430","295","2047","264","0","12","30","26","99","62","254","206","1400000US25025170502","Census Tract 1705.02, Suffolk County, Massachusetts"
"5530","628","2754","436","118","162","200","221","1307","321","1151","460","1400000US25025170601","Census Tract 1706.01, Suffolk County, Massachusetts"
"2099","181","1267","161","16","18","26","20","372","107","418","154","1400000US25025170701","Census Tract 1707.01, Suffolk County, Massachusetts"
"5798","521","1988","413","133","126","49","63","1308","438","2320","615","1400000US25025170702","Census Tract 1707.02, Suffolk County, Massachusetts"
"6481","606","3440","457","115","126","16","34","1336","448","1574","565","1400000US25025170800","Census Tract 1708, Suffolk County, Massachusetts"
"4992","442","3363","447","0","12","61","91","771","293","797","498","1400000US25025180101","Census Tract 1801.01, Suffolk County, Massachusetts"
"4330","257","3923","271","38","61","103","123","171","112","95","111","1400000US25025180200","Census Tract 1802, Suffolk County, Massachusetts"
"2864","199","2681","209","0","12","8","14","70","49","105","85","1400000US25025180301","Census Tract 1803.01, Suffolk County, Massachusetts"
"2001","201","1721","175","25","40","27","23","99","58","129","67","1400000US25025180400","Census Tract 1804, Suffolk County, Massachusetts"
"4355","293","3605","288","0","12","35","26","309","127","406","235","1400000US25025180500","Census Tract 1805, Suffolk County, Massachusetts"
"457","425","364","330","18","43","19","43","6","13","50","75","1400000US25025980101","Census Tract 9801.01, Suffolk County, Massachusetts"
"380","177","306","130","42","70","0","12","20","33","12","18","1400000US25025980300","Census Tract 9803, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025980700","Census Tract 9807, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981000","Census Tract 9810, Suffolk County, Massachusetts"
"442","137","378","128","23","21","2","4","16","12","23","38","1400000US25025981100","Census Tract 9811, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981201","Census Tract 9812.01, Suffolk County, Massachusetts"
"241","60","233","55","0","12","0","12","8","19","0","12","1400000US25025981202","Census Tract 9812.02, Suffolk County, Massachusetts"
"413","97","311","75","13","13","5","8","33","23","51","40","1400000US25025981300","Census Tract 9813, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981501","Census Tract 9815.01, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981502","Census Tract 9815.02, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981600","Census Tract 9816, Suffolk County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","1400000US25025981700","Census Tract 9817, Suffolk County, Massachusetts"
"32","21","25","16","0","12","0","12","7","10","0","12","1400000US25025981800","Census Tract 9818, Suffolk County, Massachusetts"
"67","105","0","12","0","12","0","12","0","12","67","105","1400000US25025990101","Census Tract 9901.01, Suffolk County, Massachusetts"
