"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"38.9","3.5","42.1","5.8","35.5","2.2","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"39.2","1.1","41.2","1.7","37.2","2.1","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"37.9","1.8","40.6","2.3","35.5","2.4","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"36.2","1.6","38.3","2.0","34.4","2.0","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"35.4","1.9","39.3","3.4","31.8","2.1","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"39.4","1.4","41.9","2.1","36.9","2.3","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"39.5","2.1","41.5","2.0","37.6","3.3","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"39.2","1.7","43.4","2.2","33.9","2.1","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"39.3","1.9","44.2","1.9","33.8","2.6","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"38.4","1.6","40.6","1.9","35.7","2.7","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"37.3","1.5","40.5","1.8","32.9","2.1","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"38.1","1.3","40.1","1.7","35.8","2.7","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"31.4","1.4","37.3","2.1","26.3","1.7","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"37.9","1.3","40.8","2.2","35.4","1.6","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"39.2","1.4","42.7","2.6","36.0","1.9","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"38.2","1.5","40.5","2.0","35.1","1.9","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"39.5","1.8","41.7","2.3","37.8","2.0","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"38.7","2.1","41.9","2.3","35.4","2.9","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"37.2","1.9","41.6","3.2","33.3","2.1","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"35.0","1.8","38.8","1.9","31.6","2.1","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"40.7","1.7","44.5","2.2","36.9","2.5","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"40.1","4.0","43.5","4.4","37.1","4.3","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"39.6","2.5","42.1","2.9","37.2","3.0","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
"38.3","1.5","40.8","1.7","35.6","2.4","1400000US25009221100","Census Tract 2211, Essex County, Massachusetts"
"38.0","2.1","41.2","2.9","34.4","3.0","1400000US25009221300","Census Tract 2213, Essex County, Massachusetts"
"38.4","2.2","42.7","4.0","34.6","2.6","1400000US25009221400","Census Tract 2214, Essex County, Massachusetts"
"38.8","2.7","41.2","4.1","36.1","3.1","1400000US25009221500","Census Tract 2215, Essex County, Massachusetts"
"35.6","1.7","42.1","2.8","29.4","2.5","1400000US25009221600","Census Tract 2216, Essex County, Massachusetts"
"35.9","2.5","38.9","4.0","33.4","2.5","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"39.2","1.6","40.3","1.7","38.0","2.5","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"37.8","1.7","41.2","2.7","33.6","2.4","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"35.3","1.3","38.3","2.2","32.0","1.5","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"39.6","1.9","44.3","3.0","34.4","2.7","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"35.9","1.3","39.2","1.9","32.7","2.5","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"37.3","1.8","39.2","2.2","35.4","2.4","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
"36.3","2.3","40.9","2.7","32.3","2.7","1400000US25009223300","Census Tract 2233, Essex County, Massachusetts"
