"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"318700","37128","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"457800","21667","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"501300","61202","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"407400","30060","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"574600","58846","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"581500","41043","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"418800","22736","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
"505400","35265","1400000US25009223300","Census Tract 2233, Essex County, Massachusetts"
"-","**","1400000US25009250100","Census Tract 2501, Essex County, Massachusetts"
"305200","38372","1400000US25009250200","Census Tract 2502, Essex County, Massachusetts"
"262200","24991","1400000US25009250300","Census Tract 2503, Essex County, Massachusetts"
"190400","42602","1400000US25009250400","Census Tract 2504, Essex County, Massachusetts"
"316700","49252","1400000US25009250500","Census Tract 2505, Essex County, Massachusetts"
"278200","43995","1400000US25009250600","Census Tract 2506, Essex County, Massachusetts"
"327100","48224","1400000US25009250700","Census Tract 2507, Essex County, Massachusetts"
"291600","32982","1400000US25009250800","Census Tract 2508, Essex County, Massachusetts"
"209500","71119","1400000US25009250900","Census Tract 2509, Essex County, Massachusetts"
"229200","204098","1400000US25009251000","Census Tract 2510, Essex County, Massachusetts"
"247400","157576","1400000US25009251100","Census Tract 2511, Essex County, Massachusetts"
"169600","80128","1400000US25009251200","Census Tract 2512, Essex County, Massachusetts"
"147700","33041","1400000US25009251300","Census Tract 2513, Essex County, Massachusetts"
"286200","34202","1400000US25009251400","Census Tract 2514, Essex County, Massachusetts"
"221800","46175","1400000US25009251500","Census Tract 2515, Essex County, Massachusetts"
"272300","29019","1400000US25009251600","Census Tract 2516, Essex County, Massachusetts"
"270300","14976","1400000US25009251700","Census Tract 2517, Essex County, Massachusetts"
"268800","9239","1400000US25009251800","Census Tract 2518, Essex County, Massachusetts"
"277200","13225","1400000US25009252101","Census Tract 2521.01, Essex County, Massachusetts"
"415600","30278","1400000US25009252102","Census Tract 2521.02, Essex County, Massachusetts"
"306400","26772","1400000US25009252201","Census Tract 2522.01, Essex County, Massachusetts"
"350300","11675","1400000US25009252202","Census Tract 2522.02, Essex County, Massachusetts"
"283800","18649","1400000US25009252300","Census Tract 2523, Essex County, Massachusetts"
"312000","34933","1400000US25009252400","Census Tract 2524, Essex County, Massachusetts"
"331600","17248","1400000US25009252501","Census Tract 2525.01, Essex County, Massachusetts"
"320600","14176","1400000US25009252502","Census Tract 2525.02, Essex County, Massachusetts"
"328200","13851","1400000US25009252601","Census Tract 2526.01, Essex County, Massachusetts"
"388400","24767","1400000US25009252602","Census Tract 2526.02, Essex County, Massachusetts"
"356000","19198","1400000US25009252603","Census Tract 2526.03, Essex County, Massachusetts"
"373700","27437","1400000US25009253100","Census Tract 2531, Essex County, Massachusetts"
"372400","31761","1400000US25009253201","Census Tract 2532.01, Essex County, Massachusetts"
"275500","57543","1400000US25009253202","Census Tract 2532.02, Essex County, Massachusetts"
"633100","24630","1400000US25009253203","Census Tract 2532.03, Essex County, Massachusetts"
"589000","19571","1400000US25009253204","Census Tract 2532.04, Essex County, Massachusetts"
"612800","21371","1400000US25009253205","Census Tract 2532.05, Essex County, Massachusetts"
"551800","58701","1400000US25009254100","Census Tract 2541, Essex County, Massachusetts"
