"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"1602","121","1129","121","473","86","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"839","66","619","60","220","67","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"2630","132","1725","219","905","209","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"2311","126","2114","129","197","85","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"2475","108","2255","139","220","116","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"1803","88","1431","99","372","90","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"1737","98","1287","119","450","94","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"2107","97","1345","149","762","158","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"1840","118","923","142","917","154","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"1855","123","1283","121","572","128","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"2300","209","895","181","1405","222","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"1839","114","468","88","1371","134","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"1648","119","955","122","693","156","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"1664","110","778","132","886","143","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"2206","114","1304","173","902","187","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"2605","166","1419","161","1186","181","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"2480","111","1476","210","1004","183","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"1848","126","1482","165","366","152","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"2001","112","1068","176","933","185","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"1425","80","1174","102","251","92","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"1679","54","1455","68","224","55","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"1631","68","754","134","877","133","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"1382","83","671","73","711","103","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"1563","84","1168","120","395","107","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"1067","78","478","109","589","103","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"1383","60","855","107","528","120","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"1068","65","149","66","919","90","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"1422","83","265","87","1157","131","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"1683","89","551","142","1132","167","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"1317","63","632","110","685","137","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"1731","109","980","122","751","142","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"1099","87","403","115","696","129","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"1840","81","694","107","1146","131","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"1744","113","547","116","1197","156","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"1539","94","298","87","1241","129","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"2100","110","358","111","1742","153","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"1000","59","91","49","909","71","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"1049","70","260","63","789","95","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"1028","70","298","85","730","115","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"1828","129","1469","143","359","110","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"1200","91","947","108","253","86","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"2161","168","1669","161","492","158","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"2891","171","2383","200","508","135","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"2344","104","1933","211","411","176","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"2399","136","1998","152","401","127","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"2191","112","1907","129","284","94","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"2437","88","2309","111","128","84","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"1881","66","1757","80","124","65","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"4460","245","2429","337","2031","347","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"2853","160","1772","155","1081","183","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"2455","100","2226","122","229","90","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"1740","72","1110","126","630","130","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"1816","87","734","126","1082","154","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"2399","127","811","173","1588","198","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"1672","102","1142","91","530","109","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"1614","78","1056","89","558","98","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"2630","148","1696","190","934","166","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"2395","127","1987","174","408","129","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"1638","96","909","116","729","118","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"2412","120","1978","147","434","128","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"2999","206","2650","193","349","141","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"2839","118","2773","112","66","54","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"2206","134","1992","165","214","92","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"1624","88","1360","103","264","77","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"1095","87","840","88","255","86","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"1418","92","1276","89","142","63","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"3012","136","2000","145","1012","152","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"1787","90","1166","98","621","110","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"1424","76","1175","87","249","73","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"2109","141","846","138","1263","179","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"2830","156","1078","181","1752","210","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"2588","167","1635","173","953","182","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"2693","171","2052","186","641","159","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"2075","150","1581","127","494","135","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"1957","132","1382","114","575","112","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"1367","106","910","126","457","112","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
"1754","153","1445","153","309","95","1400000US25009221100","Census Tract 2211, Essex County, Massachusetts"
"2038","153","1679","174","359","141","1400000US25009221300","Census Tract 2213, Essex County, Massachusetts"
"1455","110","709","133","746","152","1400000US25009221400","Census Tract 2214, Essex County, Massachusetts"
"1682","83","576","121","1106","133","1400000US25009221500","Census Tract 2215, Essex County, Massachusetts"
"1071","54","506","71","565","80","1400000US25009221600","Census Tract 2216, Essex County, Massachusetts"
"1319","86","682","124","637","135","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"678","52","623","52","55","27","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"1546","95","1087","113","459","117","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"1567","132","1088","135","479","129","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"1457","109","1197","90","260","84","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"1758","121","1129","115","629","133","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"1780","106","1090","116","690","148","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
"2223","116","1912","156","311","102","1400000US25009223300","Census Tract 2233, Essex County, Massachusetts"
"1438","84","13","17","1425","87","1400000US25009250100","Census Tract 2501, Essex County, Massachusetts"
"1818","120","870","183","948","189","1400000US25009250200","Census Tract 2502, Essex County, Massachusetts"
"678","58","145","58","533","85","1400000US25009250300","Census Tract 2503, Essex County, Massachusetts"
"1250","95","309","103","941","121","1400000US25009250400","Census Tract 2504, Essex County, Massachusetts"
"1146","71","326","96","820","109","1400000US25009250500","Census Tract 2505, Essex County, Massachusetts"
"1667","89","557","125","1110","151","1400000US25009250600","Census Tract 2506, Essex County, Massachusetts"
"1484","90","421","115","1063","136","1400000US25009250700","Census Tract 2507, Essex County, Massachusetts"
"2284","156","903","187","1381","235","1400000US25009250800","Census Tract 2508, Essex County, Massachusetts"
"747","50","68","35","679","54","1400000US25009250900","Census Tract 2509, Essex County, Massachusetts"
"517","49","114","43","403","55","1400000US25009251000","Census Tract 2510, Essex County, Massachusetts"
"1214","74","60","50","1154","92","1400000US25009251100","Census Tract 2511, Essex County, Massachusetts"
"520","46","39","31","481","51","1400000US25009251200","Census Tract 2512, Essex County, Massachusetts"
"1132","88","305","97","827","104","1400000US25009251300","Census Tract 2513, Essex County, Massachusetts"
"1519","86","609","107","910","115","1400000US25009251400","Census Tract 2514, Essex County, Massachusetts"
"1968","158","554","151","1414","169","1400000US25009251500","Census Tract 2515, Essex County, Massachusetts"
"2050","140","487","120","1563","161","1400000US25009251600","Census Tract 2516, Essex County, Massachusetts"
"1726","110","521","109","1205","132","1400000US25009251700","Census Tract 2517, Essex County, Massachusetts"
