"B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"2057","145","1670","162","1480","155","190","132","181","130","0","12","9","15","0","12","0","12","221","102","20","29","153","83","48","55","0","12","0","12","0","12","0","12","0","12","28","31","35","44","103","66","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"1255","118","905","111","839","111","66","32","57","29","1","5","0","12","0","12","8","11","210","55","10","13","49","30","151","47","0","12","0","12","0","12","0","12","8","12","36","26","32","46","64","34","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"3435","309","2534","401","2240","413","294","191","265","186","29","36","0","17","0","17","0","17","669","234","91","115","130","78","448","211","0","17","0","17","0","17","0","17","0","17","37","40","0","17","195","137","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"3261","279","2514","297","2303","305","211","136","150","109","35","57","0","17","26","42","0","17","289","100","0","17","166","74","123","68","0","17","0","17","0","17","0","17","0","17","100","92","28","32","330","125","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"3719","350","2842","333","2654","305","188","115","188","115","0","17","0","17","0","17","0","17","357","125","18","28","234","88","105","91","0","17","0","17","0","17","13","21","12","20","85","74","27","31","383","122","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"2357","173","1874","179","1729","176","145","71","129","73","0","12","0","12","0","12","16","17","204","78","42","38","115","55","47","39","0","12","0","12","0","12","0","12","0","12","35","39","7","12","237","92","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"1999","194","1440","200","1364","189","76","48","50","43","26","21","0","12","0","12","0","12","150","64","43","42","77","44","30","32","0","12","0","12","0","12","0","12","18","21","229","127","14","24","148","70","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"2144","212","1457","207","1292","229","165","97","96","72","69","68","0","12","0","12","0","12","152","81","70","55","0","12","47","39","19","30","16","25","0","12","0","12","18","25","269","144","0","12","248","110","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"2531","273","1745","215","1605","213","140","63","82","48","39","39","9","16","9","14","1","10","250","106","71","56","22","24","157","79","0","12","0","12","33","31","0","12","42","42","269","101","90","95","102","47","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"2619","258","1972","213","1813","214","159","73","111","66","11","21","0","17","17","27","20","28","169","79","40","33","39","46","90","58","0","17","0","17","0","17","0","17","0","17","220","84","54","60","204","93","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"2789","619","1941","453","1569","396","372","180","316","162","56","66","0","12","0","12","0","12","228","130","95","96","38","51","95","70","0","12","0","12","18","28","0","12","34","40","395","183","35","39","138","116","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"2095","320","1173","249","1058","257","115","70","72","51","25","39","18","38","0","12","0","12","309","194","214","168","28","27","67","58","0","12","0","12","0","12","0","12","12","17","251","117","148","104","202","121","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"1891","243","1372","226","1220","220","152","64","145","64","0","12","7","12","0","12","0","12","251","75","0","12","49","33","202","70","0","12","0","12","10","16","0","12","0","12","168","86","0","12","90","45","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"1859","193","1249","202","1169","201","80","44","80","44","0","12","0","12","0","12","0","12","272","85","0","12","76","57","196","72","0","12","0","12","11","17","0","12","14","21","111","50","11","16","191","80","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"2821","351","1849","316","1773","320","76","60","45","46","31","35","0","12","0","12","0","12","406","187","63","94","121","116","222","128","0","12","0","12","0","12","32","38","109","102","97","91","0","12","328","156","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"3155","448","2802","424","2421","437","381","209","269","155","112","128","0","17","0","17","0","17","154","100","18","30","28","33","95","88","13","21","0","17","15","24","0","17","0","17","137","100","0","17","47","45","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"3954","305","3138","317","2776","332","362","168","317","157","45","77","0","17","0","17","0","17","341","171","132","107","45","58","164","101","0","17","0","17","78","93","0","17","41","46","55","46","47","66","254","141","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"2853","422","2390","437","1803","449","587","369","267","125","96","84","224","339","0","17","0","17","285","130","168","101","100","85","17","28","0","17","0","17","0","17","0","17","0","17","32","35","63","83","83","94","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"2549","399","1752","383","1656","377","96","77","63","64","33","41","0","17","0","17","0","17","465","254","225","97","230","217","0","17","10","20","0","17","32","39","25","41","0","17","58","83","85","94","132","114","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"2398","254","2135","267","1959","264","176","101","98","67","78","87","0","12","0","12","0","12","137","67","49","42","76","42","12","19","0","12","0","12","0","12","0","12","0","12","25","29","44","44","57","50","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"2677","194","2439","188","2258","173","181","82","122","65","17","27","14","24","8","13","20","16","106","51","12","15","59","36","35","44","0","12","0","12","0","12","0","12","0","12","9","14","16","17","107","58","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"2247","344","1699","262","1431","286","268","156","233","151","7","12","28","43","0","17","0","17","286","142","223","132","63","62","0","17","0","17","0","17","8","13","0","17","0","17","75","72","52","43","127","107","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"1510","190","1366","178","1243","175","123","70","123","70","0","12","0","12","0","12","0","12","114","88","92","87","10","15","12","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","30","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"2898","382","2476","355","2048","285","428","188","428","188","0","12","0","12","0","12","0","12","135","93","86","70","49","41","0","12","0","12","0","12","0","12","0","12","0","12","80","68","12","25","195","161","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"1555","268","1099","204","960","198","139","86","121","77","16","19","0","12","2","4","0","12","247","117","224","112","23","25","0","12","0","12","0","12","12","20","0","12","0","12","66","50","87","101","44","48","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"2209","233","1750","266","1528","242","222","77","131","56","91","64","0","12","0","12","0","12","196","111","109","89","57","42","30","44","0","12","0","12","0","12","0","12","0","12","76","66","61","61","126","71","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"1871","266","1240","254","1091","244","149","96","149","96","0","12","0","12","0","12","0","12","245","86","173","78","72","53","0","12","0","12","0","12","0","12","0","12","0","12","91","77","175","98","120","89","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"1919","260","1317","245","943","251","374","153","134","80","162","106","41","62","22","36","15","24","98","66","11","20","80","59","7","10","0","12","0","12","46","46","0","12","0","12","186","107","207","111","65","61","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"2913","382","2190","291","1813","240","377","166","230","122","80","76","23","35","44","68","0","17","370","135","246","119","8","12","52","55","55","49","9","18","18","27","0","17","0","17","102","64","86","119","147","99","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"2398","324","1676","283","1404","289","272","114","205","109","20","29","47","46","0","12","0","12","206","128","158","112","39","42","0","12","0","12","9","19","13","22","0","12","0","12","244","193","98","60","161","89","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"3128","415","2265","378","1986","377","279","127","279","127","0","17","0","17","0","17","0","17","512","181","356","133","76","66","80","63","0","17","0","17","43","40","0","17","0","17","71","66","90","84","147","84","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"1602","296","1236","254","968","189","268","122","65","55","110","86","49","61","44","50","0","12","128","71","95","62","25","35","8","18","0","12","0","12","54","74","0","12","0","12","17","21","51","55","116","109","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"2177","269","1416","204","1247","225","169","104","151","102","7","12","8","12","0","12","3","7","484","197","284","175","73","51","127","107","0","12","0","12","10","15","0","12","0","12","30","32","64","61","173","137","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"2031","356","1489","348","1279","299","210","170","56","47","108","153","46","54","0","12","0","12","256","105","168","87","88","70","0","12","0","12","0","12","10","17","0","12","37","57","106","82","34","42","99","67","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"1701","333","1005","322","872","288","133","106","101","96","23","27","0","12","9","16","0","12","350","192","187","156","134","104","29","27","0","12","0","12","0","12","0","12","0","12","225","186","90","77","31","37","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"1671","334","1088","359","828","249","260","192","113","91","125","152","0","12","22","36","0","12","369","156","295","143","74","69","0","12","0","12","0","12","0","12","0","12","0","12","84","83","65","98","65","83","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"1040","196","790","166","675","120","115","110","41","73","66","78","0","12","8","13","0","12","34","38","9","26","25","27","0","12","0","12","0","12","0","12","0","12","0","12","109","83","31","46","76","51","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"1860","260","1170","236","908","201","262","119","121","71","100","71","0","12","41","57","0","12","322","123","263","110","23","25","23","25","13","18","0","12","0","12","0","12","0","12","45","42","228","163","95","84","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"1027","185","820","146","700","148","120","79","99","65","4","7","17","29","0","12","0","12","64","37","37","30","27","27","0","12","0","12","0","12","0","12","0","12","0","12","22","31","42","46","79","101","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"2566","305","2127","291","1915","285","212","110","183","93","29","35","0","12","0","12","0","12","338","134","71","41","129","77","116","103","22","35","0","12","0","12","0","12","0","12","0","12","74","69","27","25","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"1773","261","1643","250","1413","239","230","107","188","103","33","40","0","12","0","12","9","15","117","57","97","55","20","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","19","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"3098","421","2662","393","2337","373","325","163","298","155","0","17","27","35","0","17","0","17","268","128","99","84","169","100","0","17","0","17","0","17","58","67","0","17","21","33","70","61","19","32","0","17","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"4084","518","3660","500","3304","557","356","189","299","174","17","38","0","17","40","56","0","17","187","105","27","43","160","99","0","17","0","17","0","17","0","17","0","17","0","17","12","21","43","52","182","117","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"3526","317","3130","310","2610","323","520","239","394","224","113","121","0","17","13","29","0","17","234","140","0","17","234","140","0","17","0","17","0","17","0","17","0","17","38","50","14","28","39","50","71","73","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"3299","296","2989","283","2571","284","418","200","324","206","94","146","0","17","0","17","0","17","52","51","0","17","30","36","22","37","0","17","0","17","0","17","0","17","0","17","1","2","0","17","257","125","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"3161","250","2848","275","2678","287","170","67","136","62","3","8","10","15","21","24","0","17","113","58","1","4","58","41","54","40","0","17","0","17","0","17","6","10","0","17","11","18","0","17","183","71","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"3858","327","3650","315","3330","337","320","141","229","120","76","95","0","17","15","23","0","17","75","75","19","33","56","69","0","17","0","17","0","17","0","17","0","17","0","17","0","17","38","31","95","76","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"2844","238","2593","242","2486","231","107","54","85","48","22","27","0","17","0","17","0","17","122","58","11","17","111","63","0","17","0","17","0","17","25","38","0","17","0","17","1","2","0","17","103","47","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"3804","440","3354","412","3015","416","339","257","339","257","0","17","0","17","0","17","0","17","236","203","201","192","35","54","0","17","0","17","0","17","18","31","0","17","0","17","102","86","0","17","94","75","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"3716","410","3372","438","3059","451","313","148","313","148","0","17","0","17","0","17","0","17","80","62","0","17","27","41","53","51","0","17","0","17","0","17","0","17","0","17","89","89","51","57","124","82","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"3445","422","3324","408","3192","379","132","95","132","95","0","17","0","17","0","17","0","17","66","49","17","28","21","27","28","32","0","17","0","17","0","17","0","17","0","17","8","15","0","17","47","48","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"2248","199","1938","206","1742","262","196","115","122","124","64","72","0","12","0","12","10","17","95","74","0","12","83","71","12","20","0","12","0","12","75","66","0","12","0","12","13","21","57","55","70","55","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"2492","291","2184","287","1795","261","389","128","338","119","37","60","14","22","0","12","0","12","132","101","105","96","0","12","27","33","0","12","0","12","45","50","0","12","24","25","69","50","0","12","38","34","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"2268","304","1983","330","1715","347","268","181","227","150","41","58","0","12","0","12","0","12","134","107","41","76","19","31","74","74","0","12","0","12","72","110","0","12","0","12","58","62","21","33","0","12","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"2242","254","1999","244","1837","243","162","66","142","62","0","12","0","12","0","12","20","32","57","43","19","31","0","12","38","29","0","12","0","12","0","12","0","12","1","2","14","21","84","64","87","61","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"1954","202","1751","200","1607","213","144","97","106","74","38","53","0","12","0","12","0","12","84","50","9","14","9","15","66","44","0","12","0","12","0","12","0","12","0","12","19","30","61","61","39","30","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"3698","352","3351","355","2997","342","354","187","144","98","21","34","175","144","0","17","14","23","114","90","0","17","24","27","90","78","0","17","0","17","0","17","0","17","14","21","66","79","0","17","153","105","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"3392","445","3139","453","2922","444","217","102","177","105","0","17","0","17","0","17","40","57","53","53","0","17","0","17","53","53","0","17","0","17","7","14","0","17","0","17","13","30","0","17","180","96","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"2214","278","2055","269","1916","264","139","61","107","54","21","24","11","17","0","12","0","12","64","65","10","15","10","23","44","58","0","12","0","12","0","12","0","12","0","12","30","32","40","45","25","23","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"3507","273","3238","255","3009","266","229","115","205","107","3","6","21","34","0","17","0","17","109","66","0","17","54","38","55","53","0","17","0","17","0","17","0","17","0","17","22","28","11","19","127","78","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"4331","338","3884","346","3670","377","214","112","208","111","0","17","0","17","0","17","6","15","72","60","18","31","16","24","38","43","0","17","0","17","25","41","18","29","0","17","47","48","16","26","269","124","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"4336","302","3663","309","3298","276","365","182","305","156","60","97","0","17","0","17","0","17","138","105","0","17","44","50","94","96","0","17","0","17","0","17","0","17","0","17","0","17","113","122","422","161","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"2869","310","2487","299","2335","300","152","98","152","98","0","17","0","17","0","17","0","17","59","55","19","31","24","38","0","17","16","26","0","17","0","17","0","17","0","17","1","2","56","56","266","118","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"2314","234","1768","199","1527","201","241","123","207","119","24","24","10","15","0","12","0","12","192","69","0","12","23","20","169","68","0","12","0","12","11","16","0","12","0","12","96","50","17","23","230","74","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"1521","190","1091","167","1010","162","81","86","52","47","0","12","0","12","0","12","29","44","150","86","0","12","0","12","150","86","0","12","0","12","8","15","0","12","9","14","109","66","3","6","151","76","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"2562","173","1718","188","1606","188","112","60","54","38","30","26","4","8","14","21","10","14","121","66","18","26","71","45","32","31","0","17","0","17","0","17","0","17","29","29","292","90","15","17","387","116","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"3692","334","3161","340","2937","348","224","128","218","128","1","5","0","17","0","17","5","12","325","169","16","25","0","17","309","168","0","17","0","17","0","17","0","17","0","17","18","25","20","26","168","102","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"2283","232","2057","233","1891","221","166","132","115","112","51","42","0","12","0","12","0","12","102","67","35","52","0","12","67","49","0","12","0","12","31","46","8","11","0","12","53","40","8","13","24","23","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"2084","194","1875","192","1690","165","185","108","185","108","0","12","0","12","0","12","0","12","100","52","0","12","14","21","86","48","0","12","0","12","0","12","0","12","8","13","21","25","41","51","39","33","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"2443","270","1965","267","1914","255","51","52","48","51","3","8","0","12","0","12","0","12","292","95","13","19","22","24","257","96","0","12","0","12","40","45","0","12","0","12","64","55","19","27","63","48","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"3564","487","2462","485","2236","439","226","140","195","142","17","26","14","23","0","17","0","17","481","209","60","68","50","60","371","190","0","17","0","17","57","70","0","17","0","17","265","144","31","48","268","135","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"3637","310","2655","318","2420","321","235","101","173","87","17","29","0","17","45","44","0","17","450","110","0","17","33","43","417","108","0","17","0","17","0","17","0","17","19","30","251","124","0","17","262","90","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"4697","451","3127","359","2839","364","288","183","169","119","16","30","86","116","3","6","14","17","490","167","16","26","83","61","391","153","0","17","0","17","0","17","0","17","20","24","585","237","18","27","457","140","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"2681","270","1836","251","1747","250","89","61","34","38","38","41","0","17","0","17","17","25","362","96","0","17","0","17","362","96","0","17","0","17","0","17","0","17","18","25","94","95","0","17","371","115","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"2112","204","1540","180","1456","181","84","93","84","93","0","12","0","12","0","12","0","12","149","68","13","20","17","20","119","64","0","12","0","12","0","12","0","12","0","12","242","115","9","13","172","54","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"1478","187","1299","188","1165","169","134","79","99","75","15","17","0","12","0","12","20","30","57","37","0","12","20","22","37","29","0","12","0","12","0","12","8","12","0","12","40","33","0","12","74","46","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
"1951","218","1646","216","1543","209","103","63","93","60","10","16","0","12","0","12","0","12","72","62","0","12","0","12","63","67","9","16","0","12","0","12","0","12","0","12","55","37","9","14","169","65","1400000US25009221100","Census Tract 2211, Essex County, Massachusetts"
"2585","356","2199","361","2057","353","142","79","118","64","24","29","0","12","0","12","0","12","103","78","0","12","0","12","103","78","0","12","0","12","0","12","0","12","0","12","119","86","0","12","164","89","1400000US25009221300","Census Tract 2213, Essex County, Massachusetts"
"1815","212","1401","212","1309","207","92","51","92","51","0","12","0","12","0","12","0","12","87","104","75","102","0","12","12","20","0","12","0","12","20","24","0","12","10","15","226","136","0","12","71","42","1400000US25009221400","Census Tract 2214, Essex County, Massachusetts"
"1407","229","1117","196","1026","190","91","50","71","44","11","17","9","16","0","12","0","12","52","50","29","47","0","12","23","19","0","12","0","12","21","24","0","12","0","12","180","83","0","12","37","30","1400000US25009221500","Census Tract 2215, Essex County, Massachusetts"
"1205","177","1020","149","864","160","156","63","142","65","6","9","0","12","8","14","0","12","53","38","21","31","7","10","25","21","0","12","0","12","0","12","0","12","12","23","43","40","53","66","24","18","1400000US25009221600","Census Tract 2216, Essex County, Massachusetts"
"1597","264","1292","290","1214","286","78","51","68","52","10","16","0","12","0","12","0","12","33","31","12","18","0","12","21","26","0","12","0","12","0","12","0","12","11","17","179","83","53","60","29","30","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"880","96","821","94","764","90","57","33","37","27","14","18","6","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","6","19","27","36","28","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"1784","188","1594","172","1399","169","195","91","188","93","0","12","0","12","7","12","0","12","24","26","0","12","0","12","24","26","0","12","0","12","0","12","14","22","0","12","41","47","0","12","111","55","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"2087","218","1913","204","1769","208","144","63","115","62","13","15","16","25","0","12","0","12","58","46","5","15","19","32","34","31","0","12","0","12","8","13","0","12","0","12","0","12","0","12","108","52","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"1826","180","1457","174","1308","175","149","106","105","73","44","60","0","12","0","12","0","12","133","78","0","12","8","13","125","77","0","12","0","12","0","12","0","12","0","12","77","53","14","18","145","76","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"2058","192","1652","198","1614","200","38","31","31","28","0","12","0","12","0","12","7","12","114","50","0","12","7","11","107","49","0","12","0","12","0","12","0","12","0","12","152","84","16","24","124","68","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"2088","240","1558","226","1347","218","211","82","158","83","53","56","0","12","0","12","0","12","131","64","0","12","27","43","104","54","0","12","0","12","0","12","9","14","0","12","226","83","0","12","164","63","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
"3136","374","2796","371","2695","348","101","71","47","70","19","33","20","34","15","22","0","17","116","75","0","17","33","38","83","60","0","17","0","17","1","3","18","29","14","23","0","17","0","17","191","101","1400000US25009223300","Census Tract 2233, Essex County, Massachusetts"
"950","207","656","164","554","170","102","62","78","50","11","16","0","12","0","12","13","20","120","84","103","89","0","12","17","26","0","12","0","12","31","30","0","12","0","12","76","87","18","19","49","49","1400000US25009250100","Census Tract 2501, Essex County, Massachusetts"
"2443","418","2134","360","1937","358","197","87","131","79","15","25","31","41","0","17","20","29","122","82","72","74","0","17","50","39","0","17","0","17","54","54","0","17","0","17","44","41","28","41","61","57","1400000US25009250200","Census Tract 2502, Essex County, Massachusetts"
"1001","162","784","161","599","165","185","93","113","81","0","12","38","35","34","37","0","12","8","15","0","12","0","12","8","15","0","12","0","12","16","18","0","12","0","12","143","68","36","43","14","17","1400000US25009250300","Census Tract 2503, Essex County, Massachusetts"
"1773","315","1358","305","901","281","457","200","173","138","143","100","26","34","67","55","48","56","17","25","0","12","0","12","17","25","0","12","0","12","36","36","0","12","0","12","159","92","158","142","45","31","1400000US25009250400","Census Tract 2504, Essex County, Massachusetts"
"1892","277","1480","251","1239","238","241","139","113","61","85","106","0","12","43","66","0","12","152","89","152","89","0","12","0","12","0","12","0","12","116","87","0","12","0","12","87","59","30","32","27","36","1400000US25009250500","Census Tract 2505, Essex County, Massachusetts"
"2830","377","2519","394","1754","320","765","222","440","173","128","111","41","38","111","90","45","44","118","94","90","84","28","45","0","17","0","17","0","17","82","77","0","17","0","17","46","45","8","14","57","42","1400000US25009250600","Census Tract 2506, Essex County, Massachusetts"
"2388","264","2111","253","1650","257","461","162","324","138","18","24","16","24","14","23","89","100","64","46","64","46","0","17","0","17","0","17","0","17","35","40","0","17","0","17","105","96","0","17","73","66","1400000US25009250700","Census Tract 2507, Essex County, Massachusetts"
"3814","573","3474","573","2914","528","560","315","467","269","31","54","0","17","51","88","11","23","138","116","138","116","0","17","0","17","0","17","0","17","24","37","0","17","0","17","36","47","83","100","59","78","1400000US25009250800","Census Tract 2508, Essex County, Massachusetts"
"768","167","563","139","446","113","117","61","67","45","15","17","21","24","0","12","14","15","6","8","0","12","0","12","6","8","0","12","0","12","44","32","0","12","0","12","54","41","67","38","34","32","1400000US25009250900","Census Tract 2509, Essex County, Massachusetts"
"960","149","667","128","550","131","117","54","60","52","18","22","12","18","11","17","16","20","69","61","69","61","0","12","0","12","0","12","0","12","35","33","9","14","43","35","60","39","31","34","46","32","1400000US25009251000","Census Tract 2510, Essex County, Massachusetts"
"846","198","544","197","403","208","141","105","107","93","0","12","14","20","20","31","0","12","36","45","36","45","0","12","0","12","0","12","0","12","37","43","0","12","56","62","56","57","22","31","95","64","1400000US25009251100","Census Tract 2511, Essex County, Massachusetts"
"572","159","453","147","256","114","197","114","64","41","44","33","72","72","3","7","14","20","3","7","3","7","0","12","0","12","0","12","0","12","4","11","0","12","14","22","69","40","14","18","15","16","1400000US25009251200","Census Tract 2512, Essex County, Massachusetts"
"1509","252","1101","275","812","215","289","108","254","104","7","14","28","36","0","12","0","12","117","89","117","89","0","12","0","12","0","12","0","12","15","23","0","12","0","12","167","123","99","74","10","16","1400000US25009251300","Census Tract 2513, Essex County, Massachusetts"
"2280","298","1914","297","1749","275","165","86","120","69","45","39","0","17","0","17","0","17","25","31","17","29","0","17","8","12","0","17","0","17","86","67","0","17","0","17","81","64","124","100","50","50","1400000US25009251400","Census Tract 2514, Essex County, Massachusetts"
"2589","445","2049","483","1886","470","163","104","147","101","3","6","11","19","2","6","0","17","188","122","103","80","0","17","85","81","0","17","0","17","55","48","0","17","0","17","166","119","121","77","10","16","1400000US25009251500","Census Tract 2515, Essex County, Massachusetts"
