"B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"3735","303","2530","298","2224","271","306","102","206","95","81","60","0","17","19","32","0","17","905","241","164","82","328","133","413","194","0","17","0","17","0","17","0","17","55","63","58","47","32","35","155","95","1400000US25017339200","Census Tract 3392, Middlesex County, Massachusetts"
"1489","222","1099","204","965","198","134","78","134","78","0","12","0","12","0","12","0","12","274","93","83","63","122","53","69","50","0","12","0","12","0","12","0","12","56","39","19","20","0","12","41","37","1400000US25017339300","Census Tract 3393, Middlesex County, Massachusetts"
"2297","175","1216","158","1125","158","91","47","77","41","0","12","14","23","0","12","0","12","490","119","192","73","290","97","8","12","0","12","0","12","0","12","17","27","109","69","335","114","20","22","110","51","1400000US25017339400","Census Tract 3394, Middlesex County, Massachusetts"
"3149","261","1788","245","1468","229","320","101","193","78","96","72","0","17","31","33","0","17","530","173","252","101","278","156","0","17","0","17","0","17","0","17","12","18","61","42","612","112","27","30","119","58","1400000US25017339500","Census Tract 3395, Middlesex County, Massachusetts"
"3890","331","2379","318","1920","360","459","298","367","305","92","85","0","17","0","17","0","17","901","342","237","141","658","299","6","17","0","17","0","17","0","17","0","17","162","156","324","179","0","17","124","107","1400000US25017339600","Census Tract 3396, Middlesex County, Massachusetts"
"2334","223","1387","202","1237","194","150","93","66","54","0","12","73","78","0","12","11","17","714","189","267","158","447","130","0","12","0","12","0","12","0","12","0","12","61","58","89","57","0","12","83","106","1400000US25017339700","Census Tract 3397, Middlesex County, Massachusetts"
"2968","322","1803","271","1548","250","255","136","153","116","13","28","89","74","0","17","0","17","1000","236","15","25","985","238","0","17","0","17","0","17","14","23","0","17","23","29","42","32","26","33","60","43","1400000US25017339801","Census Tract 3398.01, Middlesex County, Massachusetts"
"2890","284","2012","333","1936","335","76","61","76","61","0","17","0","17","0","17","0","17","619","224","128","85","483","198","8","14","0","17","0","17","0","17","0","17","0","17","45","49","15","26","199","121","1400000US25017339802","Census Tract 3398.02, Middlesex County, Massachusetts"
"3185","363","2237","339","1824","349","413","195","330","171","83","86","0","17","0","17","0","17","686","230","301","154","332","160","53","53","0","17","0","17","0","17","0","17","0","17","147","127","27","32","88","64","1400000US25017339900","Census Tract 3399, Middlesex County, Massachusetts"
"1429","133","1069","128","975","120","94","60","79","56","15","21","0","12","0","12","0","12","293","100","187","77","88","51","9","15","9","14","0","12","0","12","0","12","0","12","22","27","0","12","45","52","1400000US25017340000","Census Tract 3400, Middlesex County, Massachusetts"
"3374","423","2652","370","2131","383","521","257","339","177","182","141","0","17","0","17","0","17","527","182","64","62","463","179","0","17","0","17","0","17","33","39","0","17","0","17","57","83","13","21","92","80","1400000US25017340100","Census Tract 3401, Middlesex County, Massachusetts"
"2348","323","1332","217","1125","223","207","90","142","83","36","38","1","2","0","12","28","25","866","198","97","75","757","183","5","10","7","11","0","12","0","12","0","12","12","19","31","30","50","41","57","40","1400000US25017341101","Census Tract 3411.01, Middlesex County, Massachusetts"
"2433","312","1022","215","964","200","58","39","58","39","0","12","0","12","0","12","0","12","1242","235","94","100","1118","214","30","35","0","12","0","12","0","12","0","12","0","12","2","6","2","4","165","81","1400000US25017341102","Census Tract 3411.02, Middlesex County, Massachusetts"
