"B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","id","Geographic Area Name"
"1724","124","1198","130","21","22","193","80","68","47","117","48","65","39","43","26","19","21","0","12","0","12","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"903","39","501","69","59","40","151","70","75","44","72","32","10","12","13","15","7","11","15","20","0","12","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"2767","114","1179","180","146","88","374","123","392","210","77","64","0","17","223","92","376","97","0","17","0","17","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"2403","121","1882","134","122","55","184","88","118","89","0","17","0","17","42","34","12","20","43","68","0","17","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"2588","88","2271","143","15","24","207","111","65","62","0","17","0","17","30","46","0","17","0","17","0","17","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"1929","81","1421","102","28","31","120","56","181","68","86","70","47","35","46","34","0","12","0","12","0","12","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"1955","90","1159","121","193","71","168","70","349","101","78","45","0","12","0","12","8","14","0","12","0","12","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"2244","84","1207","145","201","94","226","117","344","121","214","138","36","40","16","26","0","12","0","12","0","12","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"1977","91","498","103","115","58","354","95","659","121","198","86","115","78","38","34","0","12","0","12","0","12","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"1956","92","771","101","329","103","150","75","184","71","80","33","8","13","40","23","351","90","0","17","43","51","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"2553","97","213","96","143","90","661","177","856","171","313","153","160","100","156","79","51","61","0","12","0","12","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"1954","95","105","68","71","51","232","92","601","157","406","119","205","82","168","93","166","70","0","12","0","12","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"1814","81","525","97","98","52","384","104","474","124","252","88","57","51","24","38","0","12","0","12","0","12","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"1831","89","444","74","20","23","317","104","241","92","194","102","170","60","175","64","270","66","0","12","0","12","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"2256","101","921","161","167","129","669","161","402","131","61","95","21","33","15","23","0","12","0","12","0","12","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"2772","126","708","123","534","126","160","103","267","116","50","37","138","81","230","145","672","166","0","17","13","20","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
