"B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M","GEO_ID","NAME"
"2518","98","1490","202","33","38","196","120","342","157","117","85","35","45","288","112","17","29","0","17","0","17","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"1947","98","1399","181","77","68","271","156","13","21","0","17","51","42","117","59","19","30","0","17","0","17","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"2048","99","879","185","131","53","370","124","422","172","14","22","160","141","50","69","22","34","0","17","0","17","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"1547","43","1368","80","21","24","76","54","19","21","0","12","22","25","41","64","0","12","0","12","0","12","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"1688","51","1464","73","10","16","12","18","9","14","0","12","17","20","87","48","79","42","10","16","0","12","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"1672","64","377","79","34","32","432","139","477","128","177","103","20","26","56","60","99","39","0","17","0","17","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"1422","70","661","91","264","75","82","66","5","17","68","56","36","32","155","55","151","76","0","12","0","12","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"1617","76","858","129","64","53","400","127","238","92","16","18","41","42","0","12","0","12","0","12","0","12","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"1141","51","295","76","29","24","313","107","327","90","52","44","30","29","78","37","16","24","1","9","0","12","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"1402","59","610","111","74","51","340","112","301","111","62","56","0","12","0","12","15","23","0","12","0","12","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"1096","64","103","55","23","26","257","94","136","71","55","46","216","103","279","97","27","34","0","12","0","12","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"1495","68","94","55","34","28","190","89","446","112","127","81","275","118","189","73","140","58","0","12","0","12","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"1720","87","329","92","9","14","274","108","735","155","104","82","166","77","92","64","11","17","0","17","0","17","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"1317","63","454","122","56","41","427","133","340","122","12","21","0","12","0","12","19","20","9","19","0","12","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"1870","73","847","111","22","26","455","106","355","100","29","35","58","54","93","49","11","18","0","17","0","17","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"1122","81","332","101","13","20","254","98","407","122","45","58","57","56","0","12","0","12","14","22","0","12","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"1920","56","464","108","107","61","299","98","434","126","189","93","58","61","180","101","189","54","0","12","0","12","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"1912","69","163","75","58","46","350","125","407","119","181","93","245","86","300","94","208","75","0","12","0","12","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"1649","63","169","88","0","12","142","76","339","121","64","54","42","37","459","125","434","151","0","12","0","12","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"2213","67","65","49","61","67","71","68","51","66","250","115","244","120","387","151","1084","144","0","12","0","12","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"1000","59","23","37","90","69","0","12","191","63","67","68","108","94","80","66","441","135","0","12","0","12","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"1144","53","229","68","61","42","184","64","416","106","100","68","104","68","43","30","0","12","7","12","0","12","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"1047","66","165","78","59","57","172","78","147","94","105","66","10","12","72","58","317","78","0","12","0","12","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"2075","75","1583","133","39","47","381","94","36","24","29","31","0","12","0","12","7","12","0","12","0","12","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"1302","62","785","99","53","44","383","110","61","52","11","16","0","12","0","12","9","15","0","12","0","12","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"2390","93","1503","194","154","87","231","143","32","37","108","65","108","86","55","52","199","128","0","17","0","17","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"2970","125","2051","198","156","76","9","15","31","34","0","17","48","76","326","126","0","17","349","245","0","17","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"2381","101","1538","209","258","123","119","121","69","68","78","62","141","91","0","17","172","95","6","12","0","17","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"2642","111","2030","156","103","74","52","51","16","26","0","17","49","38","27","40","365","187","0","17","0","17","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"2237","116","1868","145","73","70","11","18","55","33","37","31","0","17","102","68","91","71","0","17","0","17","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"2486","66","2125","109","32","36","21","35","15","24","0","17","0","17","0","17","0","17","293","85","0","17","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"1928","56","1526","86","201","56","27","25","39","40","19","21","0","17","8","12","0","17","108","56","0","17","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"4806","137","1472","212","219","111","0","17","165","141","145","93","758","225","409","194","1433","274","205","143","0","17","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"2923","151","1685","172","34","39","113","67","379","135","480","180","174","104","19","31","39","47","0","17","0","17","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"2512","75","1986","130","158","72","184","99","31","34","12","20","0","17","0","17","124","62","0","17","17","27","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"1783","55","958","95","64","58","271","122","250","95","0","12","65","53","101","57","74","62","0","12","0","12","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"1825","86","422","93","90","42","462","120","387","113","178","77","152","85","120","53","14","22","0","12","0","12","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"2497","85","309","105","196","116","310","118","731","193","138","110","87","79","178","72","548","102","0","12","0","12","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"1778","63","1037","108","80","45","245","73","171","85","29","25","10","16","51","47","155","65","0","12","0","12","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"1632","75","888","85","65","37","96","53","146","85","231","107","47","23","53","50","78","45","19","21","9","14","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"2781","105","1308","180","239","100","348","143","221","100","302","135","83","55","264","96","16","27","0","17","0","17","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"2487","115","2001","177","38","54","158","101","0","17","65","74","28","45","78","82","119","69","0","17","0","17","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"1729","67","629","90","104","70","87","58","28","23","104","78","148","66","321","90","253","82","55","61","0","12","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"2499","100","1620","130","213","78","82","67","169","113","176","113","101","82","87","48","18","29","33","35","0","17","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"3153","227","2062","240","561","152","33","37","52","50","105","115","0","17","0","17","314","83","26","33","0","17","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"2867","119","2623","162","0","17","104","96","53","82","66","49","0","17","0","17","0","17","0","17","21","34","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"2287","153","1913","168","160","118","16","25","132","70","34","40","0","17","0","17","32","35","0","17","0","17","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"1737","103","1434","100","20","22","36","46","6","10","32","37","13","20","176","66","11","17","9","14","0","12","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"1218","70","1081","91","10","17","40","42","8","13","79","57","0","12","0","12","0","12","0","12","0","12","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"1454","100","1149","103","86","54","32","24","37","29","106","42","37","36","0","17","0","17","7","13","0","17","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"3152","109","1882","166","64","46","242","134","149","103","205","105","287","101","174","87","149","76","0","17","0","17","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"1839","60","1123","99","52","51","44","50","20","33","93","43","295","105","166","77","46","40","0","12","0","12","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"1488","54","1137","96","70","53","182","77","30","26","31","48","0","12","0","12","38","19","0","12","0","12","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"2221","113","509","114","104","61","343","119","611","145","172","81","155","69","227","100","100","47","0","12","0","12","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"3016","121","505","139","121","70","326","131","697","168","481","152","169","108","254","91","410","134","0","17","53","81","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"2751","120","1427","156","64","54","220","107","546","163","191","92","36","42","193","121","74","71","0","17","0","17","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"2749","131","1976","172","59","55","104","66","179","111","21","35","69","47","153","76","188","84","0","17","0","17","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"2294","167","1591","191","36","40","183","122","232","104","207","99","18","27","0","17","27","32","0","17","0","17","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"2642","131","1795","150","69","62","378","118","294","116","81","50","9","14","7","13","9","13","0","12","0","12","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"1557","99","919","144","191","86","188","89","39","33","168","82","23","24","29","20","0","12","0","12","0","12","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
"2201","72","1840","123","60","36","178","87","83","56","9","14","0","12","0","12","31","49","0","12","0","12","1400000US25009221100","Census Tract 2211, Essex County, Massachusetts"
"2548","115","1755","204","253","124","168","92","173","107","125","101","52","66","0","12","22","34","0","12","0","12","1400000US25009221300","Census Tract 2213, Essex County, Massachusetts"
"1548","92","437","90","23","37","468","121","458","138","116","82","28","46","0","12","18","20","0","12","0","12","1400000US25009221400","Census Tract 2214, Essex County, Massachusetts"
"1781","49","278","68","64","61","493","140","409","114","128","78","10","15","29","21","370","81","0","12","0","12","1400000US25009221500","Census Tract 2215, Essex County, Massachusetts"
"1125","42","399","63","70","41","222","70","259","76","60","41","66","47","10","11","39","20","0","12","0","12","1400000US25009221600","Census Tract 2216, Essex County, Massachusetts"
"1383","60","527","96","32","30","484","123","229","106","81","59","19","20","11","17","0","12","0","12","0","12","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"754","27","697","38","6","8","51","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"1642","78","1091","97","159","65","90","59","55","35","60","37","95","72","47","30","45","37","0","12","0","12","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"1896","103","1317","135","146","57","120","74","80","72","10","16","78","72","145","64","0","12","0","12","0","12","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"1730","135","1201","118","155","80","245","115","47","29","18","20","38","46","26","43","0","12","0","12","0","12","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"2026","103","1319","123","61","28","94","70","228","90","60","55","27","34","54","36","156","76","27","42","0","12","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"1863","104","771","129","214","88","247","93","364","111","202","75","57","36","8","14","0","12","0","12","0","12","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
"2358","108","1742","136","263","82","18","27","79","55","17","28","24","35","158","64","57","47","0","17","0","17","1400000US25009223300","Census Tract 2233, Essex County, Massachusetts"
"1502","70","0","12","0","12","16","23","15","24","77","44","99","56","341","104","942","124","0","12","12","18","1400000US25009250100","Census Tract 2501, Essex County, Massachusetts"
"1865","105","560","150","106","71","602","150","460","125","110","59","0","17","0","17","27","43","0","17","0","17","1400000US25009250200","Census Tract 2502, Essex County, Massachusetts"
"767","27","117","49","35","29","111","45","291","68","78","37","55","38","0","12","80","44","0","12","0","12","1400000US25009250300","Census Tract 2503, Essex County, Massachusetts"
"1356","55","98","72","97","67","235","89","600","127","78","61","6","10","16","25","226","77","0","12","0","12","1400000US25009250400","Census Tract 2504, Essex County, Massachusetts"
"1176","62","76","52","242","90","165","73","605","122","45","40","43","40","0","12","0","12","0","12","0","12","1400000US25009250500","Census Tract 2505, Essex County, Massachusetts"
"1777","74","193","83","117","62","485","123","837","131","32","38","49","33","64","39","0","17","0","17","0","17","1400000US25009250600","Census Tract 2506, Essex County, Massachusetts"
"1617","67","228","85","114","80","229","107","766","148","159","91","66","47","55","41","0","17","0","17","0","17","1400000US25009250700","Census Tract 2507, Essex County, Massachusetts"
"2436","137","685","162","209","139","492","195","598","224","127","129","24","39","241","153","60","62","0","17","0","17","1400000US25009250800","Census Tract 2508, Essex County, Massachusetts"
"776","45","15","14","32","21","113","48","240","59","76","40","11","12","56","37","233","47","0","12","0","12","1400000US25009250900","Census Tract 2509, Essex County, Massachusetts"
"550","44","36","32","104","42","40","31","167","58","132","58","56","34","0","12","0","12","0","12","15","25","1400000US25009251000","Census Tract 2510, Essex County, Massachusetts"
"1214","74","82","46","21","24","82","56","248","92","145","75","105","73","83","52","448","89","0","12","0","12","1400000US25009251100","Census Tract 2511, Essex County, Massachusetts"
"578","36","54","34","33","24","42","32","175","52","135","41","42","36","55","34","42","26","0","12","0","12","1400000US25009251200","Census Tract 2512, Essex County, Massachusetts"
"1259","55","92","55","113","62","101","63","504","129","241","81","88","59","120","58","0","12","0","12","0","12","1400000US25009251300","Census Tract 2513, Essex County, Massachusetts"
"1555","84","345","72","157","89","394","117","483","118","83","63","52","47","0","17","41","35","0","17","0","17","1400000US25009251400","Census Tract 2514, Essex County, Massachusetts"
"2255","96","562","149","190","91","211","91","734","161","108","78","166","91","284","116","0","17","0","17","0","17","1400000US25009251500","Census Tract 2515, Essex County, Massachusetts"
"2214","98","275","93","227","96","264","117","940","162","237","109","131","80","30","37","110","47","0","17","0","17","1400000US25009251600","Census Tract 2516, Essex County, Massachusetts"
"1893","81","509","105","86","58","227","108","502","137","197","87","224","71","57","46","71","50","20","23","0","17","1400000US25009251700","Census Tract 2517, Essex County, Massachusetts"
"2891","125","1630","207","146","104","271","164","248","128","90","99","180","96","234","111","92","92","0","17","0","17","1400000US25009251800","Census Tract 2518, Essex County, Massachusetts"
"1549","52","839","113","154","81","85","62","153","71","0","12","136","69","21","20","161","58","0","12","0","12","1400000US25009252101","Census Tract 2521.01, Essex County, Massachusetts"
"1603","46","1350","80","161","52","81","45","11","13","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25009252102","Census Tract 2521.02, Essex County, Massachusetts"
"1213","54","950","96","25","37","49","55","40","26","20","22","7","13","114","75","0","12","8","12","0","12","1400000US25009252201","Census Tract 2522.01, Essex County, Massachusetts"
"1096","48","1053","76","0","12","0","12","0","12","0","12","43","63","0","12","0","12","0","12","0","12","1400000US25009252202","Census Tract 2522.02, Essex County, Massachusetts"
"2860","137","997","177","145","118","409","170","419","179","233","115","224","129","142","81","291","129","0","17","0","17","1400000US25009252300","Census Tract 2523, Essex County, Massachusetts"
"1549","70","327","103","116","67","459","142","477","151","40","50","57","45","58","42","15","25","0","12","0","12","1400000US25009252400","Census Tract 2524, Essex County, Massachusetts"
"1459","65","715","118","196","97","260","94","95","50","76","62","67","37","8","12","9","14","33","49","0","12","1400000US25009252501","Census Tract 2525.01, Essex County, Massachusetts"
"1801","50","1365","115","24","38","183","82","37","39","0","12","121","80","37","21","10","15","24","38","0","12","1400000US25009252502","Census Tract 2525.02, Essex County, Massachusetts"
"2803","125","1791","143","275","109","68","54","130","133","93","63","212","106","160","97","74","61","0","17","0","17","1400000US25009252601","Census Tract 2526.01, Essex County, Massachusetts"
"1657","84","1165","91","124","57","0","12","19","24","42","34","164","58","119","85","24","26","0","12","0","12","1400000US25009252602","Census Tract 2526.02, Essex County, Massachusetts"
"1110","39","776","85","70","43","86","66","26","28","47","32","49","53","49","34","7","13","0","12","0","12","1400000US25009252603","Census Tract 2526.03, Essex County, Massachusetts"
"2555","110","1052","174","364","174","437","176","397","172","77","38","14","23","71","58","143","76","0","17","0","17","1400000US25009253100","Census Tract 2531, Essex County, Massachusetts"
"1336","37","490","89","247","63","139","60","88","54","0","12","225","85","70","50","77","69","0","12","0","12","1400000US25009253201","Census Tract 2532.01, Essex County, Massachusetts"
"2771","76","517","109","430","159","125","94","118","89","543","184","741","155","79","63","200","121","18","29","0","17","1400000US25009253202","Census Tract 2532.02, Essex County, Massachusetts"
"1532","64","1228","92","19","20","17","19","10","17","20","21","9","14","38","30","191","68","0","12","0","12","1400000US25009253203","Census Tract 2532.03, Essex County, Massachusetts"
"2172","79","1604","116","144","81","9","14","9","15","0","17","37","34","140","56","229","80","0","17","0","17","1400000US25009253204","Census Tract 2532.04, Essex County, Massachusetts"
"1390","36","1335","54","43","28","12","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25009253205","Census Tract 2532.05, Essex County, Massachusetts"
"2767","103","1645","152","185","74","34","39","195","98","73","55","313","116","154","68","168","118","0","17","0","17","1400000US25009254100","Census Tract 2541, Essex County, Massachusetts"
"1980","80","943","96","104","48","109","51","155","72","266","75","69","46","127","63","207","80","0","17","0","17","1400000US25009254200","Census Tract 2542, Essex County, Massachusetts"
"1310","66","1211","70","25","26","0","12","9","14","28","36","37","25","0","12","0","12","0","12","0","12","1400000US25009254301","Census Tract 2543.01, Essex County, Massachusetts"
"1692","71","1440","90","11","17","0","12","47","62","21","16","173","62","0","12","0","12","0","12","0","12","1400000US25009254302","Census Tract 2543.02, Essex County, Massachusetts"
"1320","35","1018","72","19","22","20","21","14","23","0","12","0","12","6","11","243","67","0","12","0","12","1400000US25009254401","Census Tract 2544.01, Essex County, Massachusetts"
"2632","106","1992","127","103","62","25","40","11","17","70","55","75","76","90","61","266","100","0","17","0","17","1400000US25009254402","Census Tract 2544.02, Essex County, Massachusetts"
"1413","40","1199","62","47","29","34","27","26","26","34","25","0","12","8","12","65","39","0","12","0","12","1400000US25009254403","Census Tract 2544.03, Essex County, Massachusetts"
"2648","108","137","87","172","96","448","217","428","188","276","131","187","129","277","143","723","183","0","17","0","17","1400000US25009260100","Census Tract 2601, Essex County, Massachusetts"
"1605","94","217","72","182","81","273","100","222","79","146","71","130","72","44","36","391","82","0","12","0","12","1400000US25009260200","Census Tract 2602, Essex County, Massachusetts"
"1787","62","1172","113","50","29","250","92","146","71","82","53","64","44","8","13","7","12","8","13","0","12","1400000US25009260301","Census Tract 2603.01, Essex County, Massachusetts"
"1145","65","944","81","89","58","48","43","0","12","10","13","10","16","0","12","44","38","0","12","0","12","1400000US25009260302","Census Tract 2603.02, Essex County, Massachusetts"
"1605","44","805","99","313","79","70","45","23","21","221","93","69","47","82","46","8","13","14","16","0","12","1400000US25009260401","Census Tract 2604.01, Essex County, Massachusetts"
"2497","79","1495","143","475","166","35","38","162","104","150","104","41","40","112","92","27","45","0","17","0","17","1400000US25009260402","Census Tract 2604.02, Essex County, Massachusetts"
"1406","37","941","109","129","74","172","67","118","78","0","12","0","12","19","19","0","12","27","44","0","12","1400000US25009260500","Census Tract 2605, Essex County, Massachusetts"
"1418","70","437","100","72","66","384","120","266","106","120","77","38","45","91","46","10","14","0","12","0","12","1400000US25009260600","Census Tract 2606, Essex County, Massachusetts"
"1846","52","594","102","391","94","195","88","444","136","71","67","40","49","103","52","8","14","0","12","0","12","1400000US25009260700","Census Tract 2607, Essex County, Massachusetts"
"2025","81","271","84","158","72","505","119","596","140","234","95","79","52","18","21","164","55","0","17","0","17","1400000US25009260800","Census Tract 2608, Essex County, Massachusetts"
"2149","62","658","146","362","130","380","145","325","159","169","116","72","49","118","68","65","49","0","12","0","12","1400000US25009260900","Census Tract 2609, Essex County, Massachusetts"
"1709","69","676","112","308","120","304","112","241","93","114","74","58","69","8","12","0","12","0","12","0","12","1400000US25009261000","Census Tract 2610, Essex County, Massachusetts"
"1675","68","1403","85","66","43","156","61","19","21","0","12","20","22","11","18","0","12","0","12","0","12","1400000US25009261101","Census Tract 2611.01, Essex County, Massachusetts"
"2126","55","563","138","441","131","56","54","111","95","188","122","607","149","145","91","15","23","0","17","0","17","1400000US25009261102","Census Tract 2611.02, Essex County, Massachusetts"
"2784","153","1862","170","176","84","247","137","140","111","46","63","41","48","9","14","0","17","263","106","0","17","1400000US25009262100","Census Tract 2621, Essex County, Massachusetts"
"1788","81","1635","103","53","31","52","38","0","12","0","12","9","15","0","12","0","12","39","48","0","12","1400000US25009263100","Census Tract 2631, Essex County, Massachusetts"
"2507","154","1984","147","184","97","86","85","132","104","28","33","0","17","40","30","53","41","0","17","0","17","1400000US25009264100","Census Tract 2641, Essex County, Massachusetts"
"1573","63","1142","105","129","76","34","43","165","80","37","29","58","32","0","12","8","15","0","12","0","12","1400000US25009265101","Census Tract 2651.01, Essex County, Massachusetts"
"1791","70","1472","91","32","29","100","78","0","12","12","19","69","34","41","30","65","49","0","12","0","12","1400000US25009265102","Census Tract 2651.02, Essex County, Massachusetts"
"1840","68","1267","109","95","43","29","23","171","93","72","52","48","30","130","62","28","32","0","12","0","12","1400000US25009266100","Census Tract 2661, Essex County, Massachusetts"
"2322","122","1080","145","331","96","178","94","189","100","59","37","137","80","281","93","67","64","0","17","0","17","1400000US25009266200","Census Tract 2662, Essex County, Massachusetts"
"1813","58","772","106","183","84","159","68","106","57","170","86","87","50","75","61","261","60","0","12","0","12","1400000US25009266300","Census Tract 2663, Essex County, Massachusetts"
"1574","49","858","111","109","59","165","68","103","61","67","48","171","79","78","44","23","28","0","12","0","12","1400000US25009266400","Census Tract 2664, Essex County, Massachusetts"
"2924","132","1197","211","270","100","336","128","370","143","278","119","109","73","159","71","85","39","120","79","0","12","1400000US25009267101","Census Tract 2671.01, Essex County, Massachusetts"
"2138","152","1607","137","89","42","70","49","61","37","12","20","0","17","0","17","0","17","299","105","0","17","1400000US25009267102","Census Tract 2671.02, Essex County, Massachusetts"
"968","50","951","56","0","12","0","12","17","28","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25009268100","Census Tract 2681, Essex County, Massachusetts"
"2943","151","1512","173","315","103","254","113","153","110","198","142","199","146","212","97","100","64","0","17","0","17","1400000US25009268200","Census Tract 2682, Essex County, Massachusetts"
"2267","131","637","140","419","127","249","134","269","97","321","111","30","34","17","27","325","93","0","12","0","12","1400000US25009268300","Census Tract 2683, Essex County, Massachusetts"
"2477","100","1306","207","388","146","321","135","156","83","141","110","0","12","12","18","93","72","60","88","0","12","1400000US25009268400","Census Tract 2684, Essex County, Massachusetts"
"2954","239","2536","255","249","128","57","47","0","17","70","35","28","31","14","22","0","17","0","17","0","17","1400000US25009269100","Census Tract 2691, Essex County, Massachusetts"
"2361","128","1707","158","267","90","39","43","0","17","146","70","112","63","72","96","18","27","0","17","0","17","1400000US25009270100","Census Tract 2701, Essex County, Massachusetts"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US25009990100","Census Tract 9901, Essex County, Massachusetts"
"1246","63","1189","66","6","8","31","27","11","12","3","5","0","12","0","12","0","12","6","8","0","12","1400000US25017300100","Census Tract 3001, Middlesex County, Massachusetts"
"1734","85","1353","97","100","53","0","12","63","56","39","29","0","12","131","57","21","26","27","42","0","12","1400000US25017301101","Census Tract 3011.01, Middlesex County, Massachusetts"
"1952","78","1781","96","21","24","32","29","8","12","0","17","44","30","66","39","0","17","0","17","0","17","1400000US25017301102","Census Tract 3011.02, Middlesex County, Massachusetts"
"3146","129","31","35","16","26","80","73","116","84","453","170","218","123","520","170","1712","193","0","17","0","17","1400000US25017310100","Census Tract 3101, Middlesex County, Massachusetts"
"2235","115","852","176","82","94","552","216","430","191","110","121","55","80","154","102","0","17","0","17","0","17","1400000US25017310200","Census Tract 3102, Middlesex County, Massachusetts"
"2383","99","733","178","135","106","459","156","207","106","179","134","508","182","103","71","59","48","0","17","0","17","1400000US25017310300","Census Tract 3103, Middlesex County, Massachusetts"
